*	singular	plural
animal	animal	animales
attention	attencion	attenciones
bird	parajo	parajos
brother	hermano	hermanos
boat	barco	barcos
book	libro	libros
bug	bicha	bichas
clothing	ropa	ropas
daughter	hija	hijas
dog	perro	perros
drum	tambor	tambores
enemy	enemiga	enemigas
fire	fuego	fuegos
food	comida	comidas
gift	regalo	regalos
guard	guardia	guardias
horse	caballo	caballos
house	casa	casas
livestock	ganado	ganados
love	amor	amores
idea	idea	ideas
man	hombre	hombres
monster	monstruo	monstruos
name	nombre	nombres
rock	piedra	piedras
rope	soga	sogas
sister	hermana	hermanas
size	tamaño	tamaños
son	hijo	hijos
sound	sonido	sonidos
warmth	calor	calores
water	agua	aguas
way	vía	vías
window	ventana	ventanas
woman	mujer	mujeres
work	trabajo	trabajos
hello	hola	hola
