*	*	*	*	infinitive	participle	participle	participle	participle	participle
*	*	*	*		present	past	past	past	past
*	*	*	*			masculine	feminine	masculine	feminine
*	*	*	*			singular	singular	plural	plural
appear	participle	past	singular	aparecer	apareciendo	aparecido	aparecida	aparecidos	aparecidas
be-inherently	participle	past	singular	ser	siendo	sido	sida	sidos	sidas
be-momentarily	participle	past	singular	estar	estando	estado	estada	estados	estadas
change	participle	past	singular	cambiar	cambiando	cambiado	cambiada	cambiados	cambiadas
climb	participle	past	singular	escalar	escalando	escalado	escalada	escalados	escaladas
crawl	participle	past	singular	arrastrar	arrastrando	arrastrado	arrastrada	arrastrados	arrastradas
cool	participle	past	singular	enfriar	enfriando	enfriado	enfriada	enfriados	enfriadas
direct	participle	past	singular	guiar	guiando	guiado	guiada	guiados	guiadas
displease	participle	past	singular	desazonar	desazonando	desazonado	desazonada	desazonados	desazonadas
eat	participle	past	singular	comer	comiendo	comido	comida	comidos	comidas
endure	participle	past	singular	tolerar	tolerando	tolerado	tolerada	tolerados	toleradas
fall	participle	past	singular	caer	cayendo	caído	caída	caídos	caídas
fly	participle	past	singular	volar	volando	volado	volada	volados	voladas
flow	participle	past	singular	fluir	fluyendo	fluido	fluida	fluidos	fluidas
hear	participle	past	singular	oír	oyendo	oído	oída	oídos	oídas
occupy	participle	past	singular	ocupar	ocupando	ocupado	ocupada	ocupados	ocupadas
resemble	participle	past	singular	semejar	semejando	semejado	semejada	semejados	semejadas
rest	participle	past	singular	reposar	reposando	reposado	reposada	reposados	reposadas
see	participle	past	singular	ver	viendo	visto	vista	vistos	vistas
show	participle	past	singular	mostrar	mostrando	mostrado	mostrada	mostrados	mostradas
startle	participle	past	singular	atemorizar	atemorizando	atemorizado	atemorizada	atemorizados	atemorizadas
swim	participle	past	singular	nadar	nadando	nadado	nadada	nadados	nadadas
walk	participle	past	singular	caminar	caminando	caminado	caminada	caminados	caminadas
warm	participle	past	singular	calentar	calentando	calentado	calentada	calentados	calentadas
watch	participle	past	singular	mirar	mirando	mirado	mirada	mirados	miradas
work	participle	past	singular	trabajar	trabajando	trabajado	trabajada	trabajados	trabajadas
have	participle	past	singular	haber	habiendo	habido	habida	habidos	habidas
have-in-possession	participle	past	singular	tener	teniendo	tenido	tenida	tenidos	tenidas
go	participle	past	singular	ir	yendo	ido	ida	idos	idas
love	participle	past	singular	amar	amando	amado	amada	amados	amadas
fear	participle	past	singular	temer	temiendo	temido	temida	temidos	temidas
part	participle	past	singular	partir	partiendo	partido	partida	partidos	partidas
know	participle	past	singular	conocer	conociendo	conocido	conocida	conocidos	conocidas
drive	participle	past	singular	conducir	conduciendo	conducido	conducida	conducidos	conducidas
