*	*	*	*	*	nominative	dative	accusative	disjunctive	
personal	1        	singular 			yo        	me    	me        	mi         	
personal	1        	plural   		masculine	nosotros  	nos   	nos       	nosotros   	
personal	1        	plural   		neuter	nosotros  	nos   	nos       	nosotros   	
personal	2        	singular 	tuteo		tú        	te    	te        	ti         	
personal	2        	singular 	voseo		vos	vos	vos	vos	
personal	2        	singular 	formal     	masculine	usted     	le    	lo        	           	
personal	2        	plural   	familiar   	masculine	vosotros  	os    	os        	vosotros   	
personal	2        	singular 	formal     	feminine 	usted     	le    	la        	usted      	
personal	2        	plural   	familiar   	feminine 	vosotras  	os    	os        	vosotras   	
personal	2        	plural   	formal     	masculine	ustedes   	les   	los       	ustedes    	
personal	2        	plural   	formal     	feminine 	ustedes   	les   	las       	ustedes    	
personal	3        	singular 		masculine	él        	le    	lo        	él         	
personal	3        	singular 		feminine 	ella      	le    	la        	ella       	
personal	3        	singular 		neuter   	ello      	le    	lo        	ello       	
personal	3        	plural   		masculine	ellos     	les   	los       	ellos      	
personal	3        	plural   		feminine 	ellas     	les   	las       	ellas      	
reflexive		plural   			          	se    	se        	si         	
