animal			singular		plural		archaic plural	
animal	nominative		ცხოველი ()	cxoveli	ცხოველები ()	cxovelebi	ცხოველნი ()	cxovelni
animal	ergative		ცხოველმა ()	cxovelma	ცხოველებმა ()	cxovelebma	ცხოველთ(ა) ()	cxovelt(a)
animal	dative		ცხოველს(ა) ()	cxovels(a)	ცხოველებს(ა) ()	cxovelebs(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	genitive		ცხოველის(ა) ()	cxovelis(a)	ცხოველების(ა) ()	cxovelebis(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	instrumental		ცხოველით(ა) ()	cxovelit(a)	ცხოველებით(ა) ()	cxovelebit(a)		
animal	adverbial		ცხოველად(ა) ()	cxovelad(a)	ცხოველებად(ა) ()	cxovelebad(a)		
animal	vocative		ცხოველო ()	cxovelo	ცხოველებო ()	cxovelebo	ცხოველნო ()	cxovelno
animal	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
animal	postpositions taking a dative case		singular		plural	
animal	-ზე (on - )		ცხოველზე ()	cxovelze	ცხოველებზე ()	cxovelebze
animal	-თან (near - )		ცხოველთან ()	cxoveltan	ცხოველებთან ()	cxovelebtan
animal	-ში (in - )		ცხოველში ()	cxovelši	ცხოველებში ()	cxovelebši
animal	-ვით (like a - )		ცხოველივით ()	cxovelivit	ცხოველებივით ()	cxovelebivit
animal	postpositions taking a genitive case		singular		plural	
animal	-თვის (for - )		ცხოველისთვის ()	cxovelistvis	ცხოველებისთვის ()	cxovelebistvis
animal	-ებრ (like a - )		ცხოველისებრ ()	cxovelisebr	ცხოველებისებრ ()	cxovelebisebr
animal	-კენ (towards - )		ცხოველისკენ ()	cxovelisḳen	ცხოველებისკენ ()	cxovelebisḳen
animal	-გან (from/of - )		ცხოველისგან ()	cxovelisgan	ცხოველებისგან ()	cxovelebisgan
animal	postpositions taking an instrumental case		singular		plural	
animal	-დან (from / since - )		ცხოველიდან ()	cxovelidan	ცხოველებიდან ()	cxovelebidan
animal	-ურთ (together with - )		ცხოველითურთ ()	cxoveliturt	ცხოველებითურთ ()	cxovelebiturt
animal	postpositions taking an adverbial case		singular		plural	
animal	-მდე (up to - )		ცხოველამდე ()	cxovelamde	ცხოველებამდე ()	cxovelebamde
attention			singular		plural		archaic plural	
attention	nominative		ყურადღება ()	q̇uradɣeba				
attention	ergative		ყურადღებამ ()	q̇uradɣebam				
attention	dative		ყურადღებას(ა) ()	q̇uradɣebas(a)				
attention	genitive		ყურადღების(ა) ()	q̇uradɣebis(a)				
attention	instrumental		ყურადღებით(ა) ()	q̇uradɣebit(a)				
attention	adverbial		ყურადღებად(ა) ()	q̇uradɣebad(a)				
attention	vocative		ყურადღებავ ()	q̇uradɣebav				
attention	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
attention	postpositions taking a dative case		singular		plural	
attention	-ზე (on - )		ყურადღებაზე ()	q̇uradɣebaze		
attention	-თან (near - )		ყურადღებასთან ()	q̇uradɣebastan		
attention	-ში (in - )		ყურადღებაში ()	q̇uradɣebaši		
attention	-ვით (like a - )		ყურადღებასავით ()	q̇uradɣebasavit		
attention	postpositions taking a genitive case		singular		plural	
attention	-თვის (for - )		ყურადღებისთვის ()	q̇uradɣebistvis		
attention	-ებრ (like a - )		ყურადღებისებრ ()	q̇uradɣebisebr		
attention	-კენ (towards - )		ყურადღებისკენ ()	q̇uradɣebisḳen		
attention	-გან (from/of - )		ყურადღებისგან ()	q̇uradɣebisgan		
attention	postpositions taking an instrumental case		singular		plural	
attention	-დან (from / since - )		ყურადღებიდან ()	q̇uradɣebidan		
attention	-ურთ (together with - )		ყურადღებითურთ ()	q̇uradɣebiturt		
attention	postpositions taking an adverbial case		singular		plural	
attention	-მდე (up to - )		ყურადღებამდე ()	q̇uradɣebamde		
bird			singular		plural		archaic plural	
bird	nominative		ჩიტი ()	čiṭi	ჩიტები ()	čiṭebi	ჩიტნი ()	čiṭni
bird	ergative		ჩიტმა ()	čiṭma	ჩიტებმა ()	čiṭebma	ჩიტთ(ა) ()	čiṭt(a)
bird	dative		ჩიტს(ა) ()	čiṭs(a)	ჩიტებს(ა) ()	čiṭebs(a)	ჩიტთ(ა) ()	čiṭt(a)
bird	genitive		ჩიტის(ა) ()	čiṭis(a)	ჩიტების(ა) ()	čiṭebis(a)	ჩიტთ(ა) ()	čiṭt(a)
bird	instrumental		ჩიტით(ა) ()	čiṭit(a)	ჩიტებით(ა) ()	čiṭebit(a)		
bird	adverbial		ჩიტად(ა) ()	čiṭad(a)	ჩიტებად(ა) ()	čiṭebad(a)		
bird	vocative		ჩიტო ()	čiṭo	ჩიტებო ()	čiṭebo	ჩიტნო ()	čiṭno
bird	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
bird	postpositions taking a dative case		singular		plural	
bird	-ზე (on - )		ჩიტზე ()	čiṭze	ჩიტებზე ()	čiṭebze
bird	-თან (near - )		ჩიტთან ()	čiṭtan	ჩიტებთან ()	čiṭebtan
bird	-ში (in - )		ჩიტში ()	čiṭši	ჩიტებში ()	čiṭebši
bird	-ვით (like a - )		ჩიტივით ()	čiṭivit	ჩიტებივით ()	čiṭebivit
bird	postpositions taking a genitive case		singular		plural	
bird	-თვის (for - )		ჩიტისთვის ()	čiṭistvis	ჩიტებისთვის ()	čiṭebistvis
bird	-ებრ (like a - )		ჩიტისებრ ()	čiṭisebr	ჩიტებისებრ ()	čiṭebisebr
bird	-კენ (towards - )		ჩიტისკენ ()	čiṭisḳen	ჩიტებისკენ ()	čiṭebisḳen
bird	-გან (from/of - )		ჩიტისგან ()	čiṭisgan	ჩიტებისგან ()	čiṭebisgan
bird	postpositions taking an instrumental case		singular		plural	
bird	-დან (from / since - )		ჩიტიდან ()	čiṭidan	ჩიტებიდან ()	čiṭebidan
bird	-ურთ (together with - )		ჩიტითურთ ()	čiṭiturt	ჩიტებითურთ ()	čiṭebiturt
bird	postpositions taking an adverbial case		singular		plural	
bird	-მდე (up to - )		ჩიტამდე ()	čiṭamde	ჩიტებამდე ()	čiṭebamde
boat			singular		plural		archaic plural	
boat	nominative		ნავი ()	navi	ნავები ()	navebi	ნავნი ()	navni
boat	ergative		ნავმა ()	navma	ნავებმა ()	navebma	ნავთ(ა) ()	navt(a)
boat	dative		ნავს(ა) ()	navs(a)	ნავებს(ა) ()	navebs(a)	ნავთ(ა) ()	navt(a)
boat	genitive		ნავის(ა) ()	navis(a)	ნავების(ა) ()	navebis(a)	ნავთ(ა) ()	navt(a)
boat	instrumental		ნავით(ა) ()	navit(a)	ნავებით(ა) ()	navebit(a)		
boat	adverbial		ნავად(ა) ()	navad(a)	ნავებად(ა) ()	navebad(a)		
boat	vocative		ნავო ()	navo	ნავებო ()	navebo	ნავნო ()	navno
boat	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
boat	postpositions taking a dative case		singular		plural	
boat	-ზე (on - )		ნავზე ()	navze	ნავებზე ()	navebze
boat	-თან (near - )		ნავთან ()	navtan	ნავებთან ()	navebtan
boat	-ში (in - )		ნავში ()	navši	ნავებში ()	navebši
boat	-ვით (like a - )		ნავივით ()	navivit	ნავებივით ()	navebivit
boat	postpositions taking a genitive case		singular		plural	
boat	-თვის (for - )		ნავისთვის ()	navistvis	ნავებისთვის ()	navebistvis
boat	-ებრ (like a - )		ნავისებრ ()	navisebr	ნავებისებრ ()	navebisebr
boat	-კენ (towards - )		ნავისკენ ()	navisḳen	ნავებისკენ ()	navebisḳen
boat	-გან (from/of - )		ნავისგან ()	navisgan	ნავებისგან ()	navebisgan
boat	postpositions taking an instrumental case		singular		plural	
boat	-დან (from / since - )		ნავიდან ()	navidan	ნავებიდან ()	navebidan
boat	-ურთ (together with - )		ნავითურთ ()	naviturt	ნავებითურთ ()	navebiturt
boat	postpositions taking an adverbial case		singular		plural	
boat	-მდე (up to - )		ნავამდე ()	navamde	ნავებამდე ()	navebamde
book			singular		plural		archaic plural	
book	nominative		წიგნი ()	c̣igni	წიგნები ()	c̣ignebi	წიგნნი ()	c̣ignni
book	ergative		წიგნმა ()	c̣ignma	წიგნებმა ()	c̣ignebma	წიგნთ(ა) ()	c̣ignt(a)
book	dative		წიგნს(ა) ()	c̣igns(a)	წიგნებს(ა) ()	c̣ignebs(a)	წიგნთ(ა) ()	c̣ignt(a)
book	genitive		წიგნის(ა) ()	c̣ignis(a)	წიგნების(ა) ()	c̣ignebis(a)	წიგნთ(ა) ()	c̣ignt(a)
book	instrumental		წიგნით(ა) ()	c̣ignit(a)	წიგნებით(ა) ()	c̣ignebit(a)		
book	adverbial		წიგნად(ა) ()	c̣ignad(a)	წიგნებად(ა) ()	c̣ignebad(a)		
book	vocative		წიგნო ()	c̣igno	წიგნებო ()	c̣ignebo	წიგნნო ()	c̣ignno
book	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
book	postpositions taking a dative case		singular		plural	
book	-ზე (on - )		წიგნზე ()	c̣ignze	წიგნებზე ()	c̣ignebze
book	-თან (near - )		წიგნთან ()	c̣igntan	წიგნებთან ()	c̣ignebtan
book	-ში (in - )		წიგნში ()	c̣ignši	წიგნებში ()	c̣ignebši
book	-ვით (like a - )		წიგნივით ()	c̣ignivit	წიგნებივით ()	c̣ignebivit
book	postpositions taking a genitive case		singular		plural	
book	-თვის (for - )		წიგნისთვის ()	c̣ignistvis	წიგნებისთვის ()	c̣ignebistvis
book	-ებრ (like a - )		წიგნისებრ ()	c̣ignisebr	წიგნებისებრ ()	c̣ignebisebr
book	-კენ (towards - )		წიგნისკენ ()	c̣ignisḳen	წიგნებისკენ ()	c̣ignebisḳen
book	-გან (from/of - )		წიგნისგან ()	c̣ignisgan	წიგნებისგან ()	c̣ignebisgan
book	postpositions taking an instrumental case		singular		plural	
book	-დან (from / since - )		წიგნიდან ()	c̣ignidan	წიგნებიდან ()	c̣ignebidan
book	-ურთ (together with - )		წიგნითურთ ()	c̣igniturt	წიგნებითურთ ()	c̣ignebiturt
book	postpositions taking an adverbial case		singular		plural	
book	-მდე (up to - )		წიგნამდე ()	c̣ignamde	წიგნებამდე ()	c̣ignebamde
bug			singular		plural		archaic plural	
bug	nominative		მწერი ()	mc̣eri	მწერები ()	mc̣erebi	მწერნი ()	mc̣erni
bug	ergative		მწერმა ()	mc̣erma	მწერებმა ()	mc̣erebma	მწერთ(ა) ()	mc̣ert(a)
bug	dative		მწერს(ა) ()	mc̣ers(a)	მწერებს(ა) ()	mc̣erebs(a)	მწერთ(ა) ()	mc̣ert(a)
