*	*	nominative	genitive  	dative    	accusative	ablative  	vocative  	locative	emoji	#	declension	gender	ending	etymology	
man	singular	homō       	hominis    	hominī     	hominem    	homine     	homō       	homine     	\nx{🧍\cx\gx}	#	3	masculine	consonant	latin	# note: words with latin etymology come before those with greek etymology 
man	plural	hominēs      	hominum      	hominibus    	hominēs      	hominibus    	hominēs      	hominibus    	\nx{🧍\cx\gx}	#	3	masculine	consonant	latin	# since they are more common and easier to learn on average.
day	singular	diēs       	diēī       	diēī       	diem       	diē        	diēs       	—	\nx{🏙️}	#	5         		-iēs        	latin    	# declensions are ordered by frequency, so the most useful declensions can be prioritized in case the user quits early          
day	plural	diēs	diērum	diēbus       	diēs         	diēbus       	diēs	—	\nx{🏙️}	#	5         		-iēs        	latin    	
hand       	singular	manus      	manūs      	manuī      	manum      	manū       	manus      	—	🖐️\cx	#	4         		-us         	latin    	
hand       	plural	manūs        	manuum       	manibus      	manūs        	manibus      	manūs	—	👐\cx	#	4         		-us         	latin    	
night	singular	nox        	noctis     	noctī      	noctem     	nocte      	nox        	noctī      	\nx{🌃}	#	3         	feminine	mixed -i    	latin    	
night	plural	noctēs       	noctium      	noctibus     	noctēs       	noctibus     	noctēs       	noctibus     	\nx{🌃}	#	3         	feminine	mixed -i    	latin    	
thing      	singular	rēs        	reī        	reī        	rem        	rē         	rēs        	—	\group{\hi{\nx{🔩}}}	#	5         	feminine	-ēs         	latin    	
thing      	plural	rēs          	rērum        	rēbus        	rēs          	rēbus        	rēs	—	\group{\hi{\nx{🔩}}}	#	5         	feminine	-ēs         	latin    	
name       	singular	nōmen      	nōminis    	nōminī     	nōmen      	nōmine     	nōmen      	nōminī     	\nx{📛}	#	3         	neuter	consonant   	"latin    	"	
name       	plural	nōmina       	nōminum      	nōminibus    	nōmina       	nōminibus    	nōmina       	nōminibus    	\nx{📛}	#	3         	neuter	consonant   	"latin    	"	
son        	singular	fīlius     	fīliī      	fīliō      	fīlium     	fīliō      	fīlī       	—	\nx{🧒\m\cx}	#	2         	masculine	-us         	"latin    	"	
son        	plural	fīliī        	fīliōrum     	fīliīs       	fīliōs       	fīliīs       	fīliī	—	\nx{🧒\m\cx}	#	2         	masculine	-us         	"latin    	"	
war        	singular	bellum     	bellī      	bellō      	bellum     	bellō      	bellum     	bellī      	\nx{\group{\hi{🤼}\mid{🤼}\lo{🤼}}}	#	2         	masculine	-um         	latin    	
war        	plural	bella        	bellōrum     	bellīs       	bella        	bellīs       	bella        	bellīs       	\nx{\group{\hi{🤼}\mid{🤼}\lo{🤼}}}	#	2         	masculine	-um         	latin    	
air        	singular	āēr        	āeris      	āerī       	āera       	āere       	āēr        	āerī       	\nx{💨}	#	3         	masculine	-i          	greek    	
air        	plural	āerēs        	āerum        	āeribus      	āerēs        	āeribus      	āerēs        	āēr        	\nx{💨}	#	3         	masculine	-i          	greek    	
boy        	singular	puer       	puerī      	puerō      	puerum     	puerō      	puer       	—	\nx{🧒\m\cx}	#	2         	masculine	-er         	latin    	
boy        	plural	puerī	puerōrum	puerīs	puerōs	puerīs	puerī	—	\nx{🧒\m\cx}	#	2         	masculine	-er         	latin    	
animal     	singular	animal     	animālis   	animālī    	animal     	animālī    	animal     	animālī    	\nx{🐃}	#	3         	neuter	pure -i     	latin    	
animal     	plural	animālia     	animālium    	animālibus   	animālia     	animālibus   	animālia     	animālibus   	\nx{🐃}	#	3         	neuter	pure -i     	latin    	
star       	singular	stēlla     	stēllae    	stēllae    	stēllam    	stēllā     	stēlla     	—	\group{\hi{\nx{⭐}}}	#	1         	feminine	-a          	latin    	
