*	*	*	*	*	mood	prephrase	postphrase	#	auxillary	example moods in other languages									
#			evidentiality	confidence				#											
			presumed		indicative	∅	∅	#											
			promised		indicative	∅	∅	#		comissive									
#			sensed		indicated	∅	∅	#											
			visual		indicative	∅	∅	#											
#			auditory		indicative	∅	∅	#											
			nonvisual		indicative	∅	∅	#											
			secondhand		indicative	∅	∅	#		inferential									
			thirdhand		indicative	∅	∅	#		inferential									
#			established		indicative	∅	∅	#											
			circumstantial		indicative	∅	∅	#		presumptive									
#			means		indicative	∅	∅	#	be able	presumptive									
			motive		indicative	∅	∅	#	want	desiderative									
			necessity		indicative	∅	∅	#	need										
			conceded		subjunctive	∅	∅	#		concessive									
			supposed		indicative	∅	∅	#		subjunctive									
			proposed	confident	indicative	∅	∅	#		indicative									
			proposed	probable	indicative	∅	∅	#	likely	potential									
			proposed	potential	subjunctive	∅	∅	#		dubitative									
			proposed	improbable	subjunctive	∅	∅	#	might	dubitative									
			proposed	counterfactual	subjunctive	∅	∅	#		hypothetical									
			antecedent	confident	indicative	∅	∅	#											
			antecedent	probable	indicative	∅	∅	#											
			antecedent	potential	subjunctive	∅	∅	#											
			antecedent	improbable	subjunctive	∅	∅	#											
			antecedent	counterfactual	subjunctive	∅	∅	#											
			consequent	confident	indicative	∅	∅	#		eventitive									
			consequent	probable	indicative	∅	∅	#	likely	eventitive									
			consequent	potential	subjunctive	∅	∅	#		conditional									
			consequent	improbable	subjunctive	∅	∅	#	might	conditional									
			consequent	counterfactual	subjunctive	∅	∅	#											
			deferred	confident	indicative	∅	∅	#		injunctive									
			deferred	probable	indicative	∅	∅	#		injunctive									
			deferred	potential	subjunctive	∅	∅	#		permissive									
			deferred	improbable	subjunctive	∅	∅	#		permissive									
			deferred	counterfactual	subjunctive	∅	∅	#		permissive									
			wished		subjunctive	∅	∅	#		optative/necessitative									
			requested		indicative	∅	∅	#		precative									
			encouraged		subjunctive	∅	∅	#		hortative									
			implored		indicative	∅	∅	#	should	jussive									
			commanded		imperative	∅	∅	#		imperative									
			prayed		indicative	∅	∅	#		optative/benedictive									
			queried		indicative	∅	∅	#											
#																			
#			E	P															
#	source	control	evidentiality	confidence															
#																			
#	1	1	promised	confident															
#	1	2	useless	probable															
#	1	3	presumed	possible															
#	1	3	visual	improbable															
#	1	3	nonvisual																
#	1	3	secondhand																
#	1	3	thirdhand																
#	1	3	circumstantial																
#	1	3	means																
#	1	3	motive																
#	1	3	proposed																
#	1	3	supposed																
#	1	3	conditional																
#	2	3	queried																
#	2	2	requested																
#	2	2	encouraged																
#	2	2	implored																
#	2	2	commanded																
#	2	2	prayed																
#	3	3	wished																
#	3	3	deferred																
