noun	plurality	declension	gender	ending	nominative	genitive  	dative    	accusative	ablative  	vocative  	locative	emoji	#	etymology	# note: words with latin etymology come before those with greek etymology 
man	singular	3	m	consonant	homō       	hominis    	hominī     	hominem    	homine     	homō       	homine     	\nx{🧍‍♂️}	#	latin	# since they are more common and easier to learn on average.
man	plural	3	m	consonant	hominēs      	hominum      	hominibus    	hominēs      	hominibus    	hominēs      	hominibus    	\nx{🧍‍♂️}	#	latin	# declensions are ordered by frequency, so the most useful declensions can be prioritized in case the user quits early          
day        	singular	5         	m|f   	-iēs        	diēs       	diēī       	diēī       	diem       	diē        	diēs       		\nx{🏙️}	#	latin    	
day        	plural	5         	m|f   	-iēs        	diēs         	diērum       	diēbus       	diēs         	diēbus       	"diēs         	"		\nx{🏙️}	#	latin    	
hand       	singular	4         	m|f   	-us         	manus      	manūs      	manuī      	manum      	manū       	manus      		\nx{🖐️}	#	latin    	
hand       	plural	4         	m|f   	-us         	manūs        	manuum       	manibus      	manūs        	manibus      	"manūs        	"		\nx{🖐️}	#	latin    	
night      	singular	3         	f     	mixed -i    	nox        	noctis     	noctī      	noctem     	nocte      	nox        	noctī      	\nx{🌃}	#	latin    	
night      	plural	3         	f     	mixed -i    	noctēs       	noctium      	noctibus     	noctēs       	noctibus     	noctēs       	noctibus     	\nx{🌃}	#	latin    	
thing      	singular	5         	f     	-ēs         	rēs        	reī        	reī        	rem        	rē         	rēs        		\nx{🔩}	#	latin    	
thing      	plural	5         	f     	-ēs         	rēs          	rērum        	rēbus        	rēs          	rēbus        	"rēs          	"		\nx{🔩}	#	latin    	
name       	singular	3         	n     	consonant   	nōmen      	nōminis    	nōminī     	nōmen      	nōmine     	nōmen      	nōminī     	\nx{📛}	#	"latin    	"	
name       	plural	3         	n     	consonant   	nōmina       	nōminum      	nōminibus    	nōmina       	nōminibus    	nōmina       	nōminibus    	\nx{📛}	#	"latin    	"	
son        	singular	2         	m     	-us         	fīlius     	fīliī      	fīliō      	fīlium     	fīliō      	fīlī       		\nx{👨‍👩‍👦}	#	"latin    	"	
son        	plural	2         	m     	-us         	fīliī        	fīliōrum     	fīliīs       	fīliōs       	fīliīs       	"fīliī        	"		\nx{👨‍👩‍👦}	#	"latin    	"	
war        	singular	2         	m     	-um         	bellum     	bellī      	bellō      	bellum     	bellō      	bellum     	bellī      	\nx{⚔️}	#	latin    	
war        	plural	2         	m     	-um         	bella        	bellōrum     	bellīs       	bella        	bellīs       	bella        	bellīs       	\nx{⚔️}	#	latin    	
