animal	inflection
animal	nominative	hayvan
animal	definite accusative	hayvanı
animal		singular	plural
animal	nominative	hayvan	hayvanlar
animal	definite accusative	hayvanı	hayvanları
animal	dative	hayvana	hayvanlara
animal	locative	hayvanda	hayvanlarda
animal	ablative	hayvandan	hayvanlardan
animal	genitive	hayvanın	hayvanların
animal	Possessive formsNominativeSingularPlural1st singularhayvanımhayvanlarım2nd singularhayvanınhayvanların3rd singularhayvanıhayvanları1st pluralhayvanımızhayvanlarımız2nd pluralhayvanınızhayvanlarınız3rd pluralhayvanlarıhayvanlarıDefinite accusativeSingularPlural1st singularhayvanımıhayvanlarımı2nd singularhayvanınıhayvanlarını3rd singularhayvanınıhayvanlarını1st pluralhayvanımızıhayvanlarımızı2nd pluralhayvanınızıhayvanlarınızı3rd pluralhayvanlarınıhayvanlarınıDativeSingularPlural1st singularhayvanımahayvanlarıma2nd singularhayvanınahayvanlarına3rd singularhayvanınahayvanlarına1st pluralhayvanımızahayvanlarımıza2nd pluralhayvanınızahayvanlarınıza3rd pluralhayvanlarınahayvanlarınaLocativeSingularPlural1st singularhayvanımdahayvanlarımda2nd singularhayvanındahayvanlarında3rd singularhayvanındahayvanlarında1st pluralhayvanımızdahayvanlarımızda2nd pluralhayvanınızdahayvanlarınızda3rd pluralhayvanlarındahayvanlarındaAblativeSingularPlural1st singularhayvanımdanhayvanlarımdan2nd singularhayvanındanhayvanlarından3rd singularhayvanındanhayvanlarından1st pluralhayvanımızdanhayvanlarımızdan2nd pluralhayvanınızdanhayvanlarınızdan3rd pluralhayvanlarındanhayvanlarındanGenitiveSingularPlural1st singularhayvanımınhayvanlarımın2nd singularhayvanınınhayvanlarının3rd singularhayvanınınhayvanlarının1st pluralhayvanımızınhayvanlarımızın2nd pluralhayvanınızınhayvanlarınızın3rd pluralhayvanlarınınhayvanlarının	possessive forms	nominative		singular	plural	1st singular	hayvanım	hayvanlarım	2nd singular	hayvanın	hayvanların	3rd singular	hayvanı	hayvanları	1st plural	hayvanımız	hayvanlarımız	2nd plural	hayvanınız	hayvanlarınız	3rd plural	hayvanları	hayvanları	definite accusative		singular	plural	1st singular	hayvanımı	hayvanlarımı	2nd singular	hayvanını	hayvanlarını	3rd singular	hayvanını	hayvanlarını	1st plural	hayvanımızı	hayvanlarımızı	2nd plural	hayvanınızı	hayvanlarınızı	3rd plural	hayvanlarını	hayvanlarını	dative		singular	plural	1st singular	hayvanıma	hayvanlarıma	2nd singular	hayvanına	hayvanlarına	3rd singular	hayvanına	hayvanlarına	1st plural	hayvanımıza	hayvanlarımıza	2nd plural	hayvanınıza	hayvanlarınıza	3rd plural	hayvanlarına	hayvanlarına	locative		singular	plural	1st singular	hayvanımda	hayvanlarımda	2nd singular	hayvanında	hayvanlarında	3rd singular	hayvanında	hayvanlarında	1st plural	hayvanımızda	hayvanlarımızda	2nd plural	hayvanınızda	hayvanlarınızda	3rd plural	hayvanlarında	hayvanlarında	ablative		singular	plural	1st singular	hayvanımdan	hayvanlarımdan	2nd singular	hayvanından	hayvanlarından	3rd singular	hayvanından	hayvanlarından	1st plural	hayvanımızdan	hayvanlarımızdan	2nd plural	hayvanınızdan	hayvanlarınızdan	3rd plural	hayvanlarından	hayvanlarından	genitive		singular	plural	1st singular	hayvanımın	hayvanlarımın	2nd singular	hayvanının	hayvanlarının	3rd singular	hayvanının	hayvanlarının	1st plural	hayvanımızın	hayvanlarımızın	2nd plural	hayvanınızın	hayvanlarınızın	3rd plural	hayvanlarının	hayvanlarının
animal	possessive forms
animal	nominative
