person       	gender   	plurality	modifier	declension	
1            	neuter   	singular 	none    	🧍         	
1            	masculine	singular 	none    	🧍‍♂️      	
1            	feminine 	singular 	none    	🧍‍♀️      	
1            	neuter   	dual     	none    	🧑‍🤝‍🧑     	
1            	masculine	dual     	none    	👬         	
1            	feminine 	dual     	none    	👭         	
1            	neuter   	plural   	none    	👪     	
1            	masculine	plural   	none    	👨‍👨‍👦         	
1            	feminine 	plural   	none    	👩‍👩‍👧         	
1            	neuter   	plural   	inclusive 	👪     	
1            	masculine	plural   	inclusive 	👨‍👨‍👦         	
1            	feminine 	plural   	inclusive 	👩‍👩‍👧         	
1            	neuter   	plural   	exclusive 	👪     	
1            	masculine	plural   	exclusive 	👨‍👨‍👦         	
1            	feminine 	plural   	exclusive 	👩‍👩‍👧         	
2            	neuter   	singular 	none    	🧍🧍        	
2            	masculine	singular 	none    	🧍🧍‍♂️     	
2            	feminine 	singular 	none    	🧍🧍‍♀️     	
2            	neuter   	dual     	none    	🧍🧑‍🤝‍🧑    	
2            	masculine	dual     	none    	🧍👬        	
2            	feminine 	dual     	none    	🧍👭        	
2            	neuter   	plural   	none    	🧍👨‍👩‍👦    	
2            	masculine	plural   	none    	🧍👨‍👨‍👦        	
2            	feminine 	plural   	none    	🧍👩‍👩‍👧        	
2            	neuter   	singular 	informal 	🧍🧍        	
2            	masculine	singular 	informal 	🧍🧍‍♂️     	
2            	feminine 	singular 	informal 	🧍🧍‍♀️     	
2            	neuter   	dual     	informal 	🧍🧑‍🤝‍🧑    	
2            	masculine	dual     	informal 	🧍👬        	
2            	feminine 	dual     	informal 	🧍👭        	
2            	neuter   	plural   	informal 	🧍👨‍👩‍👦    	
2            	masculine	plural   	informal 	🧍👨‍👨‍👦        	
2            	feminine 	plural   	informal 	🧍👩‍👩‍👧        	
2            	neuter   	singular 	formal  	🕴️🧍        	
2            	masculine	singular 	formal  	🕴️🧍‍♂️     	
2            	feminine 	singular 	formal  	🕴️🧍‍♀️     	
2            	neuter   	dual     	formal  	🕴️🧑‍🤝‍🧑    	
2            	masculine	dual     	formal  	🕴️👬        	
2            	feminine 	dual     	formal  	🕴️👭        	
2            	neuter   	plural   	formal  	🕴️👨‍👩‍👦    	
2            	masculine	plural   	formal  	🕴️👨‍👨‍👦        	
2            	feminine 	plural   	formal  	🕴️👩‍👩‍👧        	
3            	neuter   	singular 	none    	🧍🧍🐍       	
3            	masculine	singular 	none    	🧍🧍🧍‍♂️    	
3            	feminine 	singular 	none    	🧍🧍🧍‍♀️    	
3            	neuter   	dual     	none    	🧍🧍🧑‍🤝‍🧑   	
3            	masculine	dual     	none    	🧍🧍👬       	
3            	feminine 	dual     	none    	🧍🧍👭       	
3            	neuter   	plural   	none    	🧍🧍👨‍👩‍👦   	
3            	masculine	plural   	none    	🧍🧍👨‍👨‍👦       	
3            	feminine 	plural   	none    	🧍🧍👩‍👩‍👧         	
interrogative	neuter   	singular 	none    	🐍?        	
interrogative	masculine	singular 	none    	🧍‍♂️?     	
interrogative	feminine 	singular 	none    	🧍‍♀️?     	
interrogative	neuter   	dual     	none    	🧑‍🤝‍🧑?    	
interrogative	masculine	dual     	none    	👬?        	
interrogative	feminine 	dual     	none    	👭?        	
interrogative	neuter   	plural   	none    	🧑‍🤝‍🧑?    	
interrogative	masculine	plural   	none    	👬?        	
interrogative	feminine 	plural   	none    	👭?        	
demonstrative	neuter   	singular 	proximal 	🧍🐍←	
demonstrative	masculine	singular 	proximal 	🧍🧍‍♂️←	
demonstrative	feminine 	singular 	proximal 	🧍🧍‍♀️←	
demonstrative	neuter   	dual     	proximal 	🧍🧑‍🤝‍🧑←	
demonstrative	masculine	dual     	proximal 	🧍👬←	
demonstrative	feminine 	dual     	proximal 	🧍👭←	
demonstrative	neuter   	plural   	proximal 	🧍🧑‍🤝‍🧑←	
demonstrative	masculine	plural   	proximal 	🧍👬←	
demonstrative	feminine 	plural   	proximal 	🧍👭←	
demonstrative	neuter   	singular 	medial	🧍→🐍        	
demonstrative	masculine	singular 	medial	🧍→🧍‍♂️     	
demonstrative	feminine 	singular 	medial	🧍→🧍‍♀️     	
demonstrative	neuter   	dual     	medial	🧍→🧑‍🤝‍🧑    	
demonstrative	masculine	dual     	medial	🧍→👬        	
demonstrative	feminine 	dual     	medial	🧍→👭        	
demonstrative	neuter   	plural   	medial	🧍→🧑‍🤝‍🧑    	
demonstrative	masculine	plural   	medial	🧍→👬        	
demonstrative	feminine 	plural   	medial	🧍→👭        	
demonstrative	neuter   	singular 	distal  	🧍→  🐍        	
demonstrative	masculine	singular 	distal  	🧍→  🧍‍♂️     	
demonstrative	feminine 	singular 	distal  	🧍→  🧍‍♀️     	
demonstrative	neuter   	dual     	distal  	🧍→  🧑‍🤝‍🧑    	
demonstrative	masculine	dual     	distal  	🧍→  👬        	
demonstrative	feminine 	dual     	distal  	🧍→  👭        	
demonstrative	neuter   	plural   	distal  	🧍→  🧑‍🤝‍🧑    	
demonstrative	masculine	plural   	distal  	🧍→  👬        	
demonstrative	feminine 	plural   	distal  	🧍→  👭        	
