# vowels	ipa	
la            	/la/	'a' sounds like 'a' in 'car'                                       
là            	/la/	'à' sounds like 'a' in 'car'                                       
âne           	/an/	'â' sounds like 'a' in 'car', but longer                           
mer           	/mɛʁ/	'e' between consonants sounds like 'ai' in 'fair'                  
le            	/lə/	'e' at the end of a syllable sounds like e in 'her'                
tasse         	/tɑs/	final 'e' is silent                                                
été           	/e.te/	'é' sounds like 'ay'                                               
père          	/pɛə(ɹ)/	'è' sounds like 'ai' in 'fair'                                     
tête          	/tɛt/	'ê' sounds like 'ai' in 'fair'                                     
ski           	/ski/	'i' sounds like 'i' in 'martini'                                   
poste         	/pɔst/	'o' sounds like 'o' in 'not'                                       
tôt           	/to/	'ô' sounds like 'o' in 'note'
cône          	/kon/	'ô' sounds like 'o' in 'note'
vu            	/vy/	'u' sounds like 'i' in 'martini', but lips rounded like 'u' in rune
roi           	/ʁwa/	'oi' sounds like 'wah'                                             
roue          	/ʁu/	'ou' sounds like 'oo' in 'book'                                    
laine         	/lɛn/	'ai' sounds like 'e' in 'let'                                      
au            	/o/	'au' sounds like 'o' in 'note'                                     
beau          	/bo/	'eau' sounds like 'o' in 'note'                                    
neuf          	/nœ/	'eu' sounds like 'eu' in 'her'                                     
soeur         	/sœʁ/	'oeu' sounds like 'er' in 'her'                                   
              		
		# exceptional consonants
ceci          	/sə.si/	'c' before e or i sounds like s                                    
car           	/kaʁ/	'c' before a, o, or u it sounds like k                             
ça            	/ˈsa/	'ç' sounds like s                                                  
château       	/ʃɑ.to/	'ch' sounds like 'sh'                                              
général       	/ʒe.ne.ʁal/	'g' before e or i sounds like s in 'measure'                       
gare          	/ɡaʁ/	'c' before a, o, or u it sounds like g in 'go'                     
hôtel         	/o.tɛl/	'h' is silent                                                      
je            	/ʒə/	'j' sounds like s in ‘measure'                                     
qui           	/ki/	'q' sound like k                                                   
rire          	/ʁiʁ/	'r' sounds like r in 'gourmand'                                    
salle         	/sal/	's' at the beginning of a word sounds like s                       
rose          	/ʁoz/	's' between vowels sounds like z                                   
              		
# nasals		
nom           	/nɔ̃/	'om' sounds like 'ong' in 'song'                                   
non           	/nɔ̃/	'on' sounds like 'ong' in 'song'                                   
