#swadesh 207 id	part-of-speech	English	Proto-Hellenic	Ancient Greek	Modern Greek	Modern Greek IPA
1	noun                 	I	*egṓ	ἐγώ (egṓ)	εγώ (egó) 	eˈɣo
2	noun                 	you	*tú	σύ (sú)	εσύ (esý), εσείς (eseís) (formal) 	eˈsi, eˈsis
3	noun                 	he, she, it	*ho	αὐτός (autós), οὗ (hoû), ὅς (hós), ὁ (ho), οὗτος (hoûtos)	αυτός (aftós) 	afˈtos
4	noun                 	we	*əsmey	ἡμεῖς (hēmeîs)	εμείς (emeís) 	eˈmis
5	noun                 	you all	*usmey	ὑμεῖς (humeîs)	εσείς (eseís) 	eˈsis
6	noun                 	they		αὐτοί (autoí), σφεῖς (spheîs)	αυτοί (aftoí) 	afˈti
7	noun                 	this	*yós	ὅδε (hóde)	αυτός (aftós) 	afˈto
8	noun                 	that	*ho	ἐκεῖνος (ekeînos)	εκείνος (ekeínos) 	eˈcino
9	noun                 	here	*hode	ἔνθα (éntha), ἐνθάδε (entháde), ἐνταῦθα (entaûtha)	εδώ (edó) 	eˈðo
10	noun                 	there	*ím	ἐκεῖ (ekeî)	εκεί (ekeí) 	eˈci
11	noun                 	who	*kʷís	τίς (tís)	ποιος (poios) 	pços
12	noun                 	what	*kʷíd	τί (tí)	τι (ti) 	ti
13	noun                 	where	*kʷos	ποῦ (poû), πόθι (póthi)	πού (poú) 	pu
14	noun                 	when	*kʷokʷe	πότε (póte), πῆμος (pêmos)	πότε (póte) 	ˈpote
15	noun                 	how	*kʷeyes	πῶς (pôs)	πώς (pós) 	pos
16	adverb              	not	*mḗ	οὐ (ou), μή (mḗ)	δε(ν) (de(n)), μη(ν) (mi(n)) 	ðe(n), mi(n)
17	determiner            	all	*pānts	πᾶς (pâs), ἅπᾱς (hápās)	όλοι (óloi) 	ˈoli
18	determiner            	many	*polús	πολύς (polús)	πολλοί (polloí) 	poˈli
19	determiner            	some	*merikós	τις (tis)	μερικοί (merikoí) 	meriˈci
