stability rank	word	stability measure
1	louse	42.8
2	two	39.8
3	water	37.4
4	ear	37.2
5	die	36.3
6	I	35.9
7	liver	35.7
8	eye	35.4
9	hand	34.9
10	hear	33.8
11	tree	33.6
12	fish	33.4
13	name	32.4
14	stone	32.1
15	tooth	30.7
16	breasts	30.7
17	you	30.6
18	path	30.2
19	bone	30.1
20	tongue	30.1
21	skin	29.6
22	night	29.6
23	leaf	29.4
24	rain	29.3
25	kill	29.2
26	blood	29.0
27	horn	28.8
28	person	28.7
29	knee	28.0
30	one	27.4
31	nose	27.3
32	full	26.9
33	come	26.8
34	star	26.6
35	mountain	26.2
36	fire	25.7
37	we	25.4
38	drink	25.0
39	see	24.7
40	bark	24.5
41	new	24.3
42	dog	24.2
43	sun	24.2
44	fly	24.1
45	grease	23.4
46	moon	23.4
47	give	23.3
48	heart	23.2
49	feather	23.1
50	white	22.7
51	yellow	22.5
52	bird	21.8
53	head	21.7
54	earth	21.7
55	foot	21.6
56	black	21.6
57	mouth	21.5
58	green	21.1
59	sleep	21.0
60	what	20.7
61	root	20.5
62	claw	20.5
63	bite	20.5
64	ash	20.3
65	red	20.2
66	eat	20.0
67	egg	19.8
68	who	19.0
69	dry	18.9
70	hair	18.6
71	smoke	18.5
72	not	18.3
73	this	18.2
74	seed	18.2
75	woman	17.9
76	round	17.9
77	long	17.4
78	stand	17.1
79	good	16.9
80	man	16.7
81	cold	16.6
82	flesh	16.4
83	neck	16.0
84	say	16.0
85	burn	15.5
86	tail	14.9
87	sand	14.9
88	that	14.7
89	walk	14.4
90	sit	14.3
91	many	14.2
92	all	14.1
93	know	14.1
94	cloud	13.9
95	swim	13.6
96	belly	13.5
97	big	13.4
98	hot	11.6
99	lie	11.2
100	small	6.3
