Matthew S. Dryer. 2013. Negative Morphemes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/112, Accessed on 2025-03-23.)

wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	2	Negative particle	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Simple Clauses
xam	/Xam	2	Negative particle	-31.0	21.0	Tu	Tu	Simple Clauses
aar	Aari	1	Negative affix	6.0	36.5833333333	South Omotic	Afro-Asiatic	Simple Clauses
abi	Abipón	2	Negative particle	-29.0	-61.0	Abipon	Guaicuruan	Simple Clauses
abk	Abkhaz	1	Negative affix	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abv	Abui	3	Negative auxiliary verb	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Simple Clauses
abu	Abun	6	Double negation	-0.5	132.5	Abun	Abun	Simple Clauses
acu	Achuar	1	Negative affix	-2.66667	-76.0	Jivaroan	Jivaroan	Simple Clauses
acm	Achumawi	3	Negative auxiliary verb	41.5	-121.0	Achumawi	Hokan	Simple Clauses
aco	Acoma	2	Negative particle	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
adg	Adang	2	Negative particle	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Simple Clauses
adi	Adioukrou	1	Negative affix	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Simple Clauses
adn	Adynyamathanha	2	Negative particle	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
adz	Adzera	1	Negative affix	-6.25	146.25	Oceanic	Austronesian	Simple Clauses
agh	Aghem	2	Negative particle	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Simple Clauses
agc	Agta (Central)	3	Negative auxiliary verb	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Simple Clauses
agd	Agta (Dupaningan)	2	Negative particle	18.0	122.083333333	Greater Central Philippine	Austronesian	Simple Clauses
ain	Ainu	2	Negative particle	43.0	143.0	Ainu	Ainu	Simple Clauses
ajg	Ajagbe	2	Negative particle	7.0	1.75	Gbe	Niger-Congo	Simple Clauses
akn	Akan	1	Negative affix	6.5	-1.25	Tano	Niger-Congo	Simple Clauses
akh	Akha	4	Negative word, unclear if verb or particle	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Simple Clauses
all	Ala'ala	2	Negative particle	-8.91666666667	146.75	Oceanic	Austronesian	Simple Clauses
ala	Alamblak	2	Negative particle	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alw	Alawa	2	Negative particle	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Simple Clauses
alb	Albanian	2	Negative particle	41.0	20.0	Albanian	Indo-European	Simple Clauses
alc	Allentiac	2	Negative particle	-31.0	-68.0	Huarpe	Huarpe	Simple Clauses
aln	Alune	2	Negative particle	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Simple Clauses
aly	Alyawarra	1	Negative affix	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
amc	Amahuaca	1	Negative affix	-10.5	-72.5	Panoan	Pano-Tacanan	Simple Clauses
amn	Amanab	6	Double negation	-3.58333333333	141.25	Border	Border	Simple Clauses
aml	Ambae (Lolovoli Northeast)	6	Double negation	-15.4166666667	167.883333333	Oceanic	Austronesian	Simple Clauses
amq	Ambai	2	Negative particle	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Simple Clauses
amb	Ambulas	2	Negative particle	-3.83333333333	143.0	Ndu	Sepik	Simple Clauses
amt	Amdo (Themchen)	1	Negative affix	38.0	98.0	Bodic	Sino-Tibetan	Simple Clauses
ame	Amele	2	Negative particle	-5.25	145.583333333	Mabuso	Trans-New Guinea	Simple Clauses
amh	Amharic	6	Double negation	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
amo	Amo	6	Double negation	10.3333333333	8.66666666667	Central Kainji	Niger-Congo	Simple Clauses
amx	Anamuxra	6	Double negation	-4.66666666667	145.0	Josephstaal	Trans-New Guinea	Simple Clauses
anj	Anejom	2	Negative particle	-20.2	169.8	Oceanic	Austronesian	Simple Clauses
anc	Angas	4	Negative word, unclear if verb or particle	9.5	9.5	West Chadic	Afro-Asiatic	Simple Clauses
ang	Anggor	1	Negative affix	-3.75	141.166666667	Senagi	Senagi	Simple Clauses
ann	Anindilyakwa	2	Negative particle	-14.0	136.5	Anindilyakwa	Gunwinyguan	Simple Clauses
anu	Anufo	2	Negative particle	10.0833333333	0.25	Tano	Niger-Congo	Simple Clauses
ane	Anêm	2	Negative particle	-5.58333333333	149.083333333	Anêm	Anêm	Simple Clauses
ao	Ao	1	Negative affix	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Simple Clauses
apw	Apache (Western)	6	Double negation	33.75	-110.0	Athapaskan	Na-Dene	Simple Clauses
apl	Apalaí	1	Negative affix	0.0	-54.0	Cariban	Cariban	Simple Clauses
apt	Apatani	1	Negative affix	27.5	93.75	Tani	Sino-Tibetan	Simple Clauses
apu	Apurinã	2	Negative particle	-9.0	-67.0	Purus	Arawakan	Simple Clauses
abn	Arabana	2	Negative particle	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aeg	Arabic (Egyptian)	2	Negative particle	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
arg	Arabic (Gulf)	2	Negative particle	26.0	49.0	Semitic	Afro-Asiatic	Simple Clauses
arq	Arabic (Iraqi)	1	Negative affix	33.0	44.0	Semitic	Afro-Asiatic	Simple Clauses
arj	Arabic (Kuwaiti)	2	Negative particle	29.5	47.5	Semitic	Afro-Asiatic	Simple Clauses
amr	Arabic (Moroccan)	6	Double negation	34.0	-6.0	Semitic	Afro-Asiatic	Simple Clauses
asy	Arabic (Syrian)	2	Negative particle	34.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	6	Double negation	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Simple Clauses
aab	Arapesh (Abu)	2	Negative particle	-3.45	142.95	Kombio-Arapesh	Torricelli	Simple Clauses
arp	Arapesh (Mountain)	2	Negative particle	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
arc	Archi	1	Negative affix	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	5	Variation between negative word and affix	40.0	45.0	Armenian	Indo-European	Simple Clauses
arw	Armenian (Western)	3	Negative auxiliary verb	38.5	43.5	Armenian	Indo-European	Simple Clauses
alk	Arop-Lokep	2	Negative particle	-5.38333333333	147.05	Oceanic	Austronesian	Simple Clauses
amp	Arrernte (Mparntwe)	1	Negative affix	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
awe	Arrernte (Western)	1	Negative affix	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
asm	Asmat	2	Negative particle	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Simple Clauses
ass	Assamese	1	Negative affix	26.0	93.0	Indic	Indo-European	Simple Clauses
asu	Asuriní	6	Double negation	-3.5	-49.5	Maweti-Guarani	Tupian	Simple Clauses
ath	Athpare	1	Negative affix	27.0	87.3333333333	Himalayish	Sino-Tibetan	Simple Clauses
au	Au	2	Negative particle	-3.58333333333	142.083333333	Central Wapei	Torricelli	Simple Clauses
ava	Avar	3	Negative auxiliary verb	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
awa	Awa	2	Negative particle	-6.66666666667	145.75	Gauwa	Trans-New Guinea	Simple Clauses
awp	Awa Pit	6	Double negation	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
awt	Awtuw	1	Negative affix	-3.58333333333	142.0	Ram	Sepik	Simple Clauses
aym	Aymara (Central)	2	Negative particle	-17.0	-69.0	Aymaran	Aymaran	Simple Clauses
azi	Azari (Iranian)	1	Negative affix	37.5	47.0	Turkic	Altaic	Simple Clauses
aze	Azerbaijani	1	Negative affix	40.5	48.5	Turkic	Altaic	Simple Clauses
bbl	Babole	1	Negative affix	1.08333333333	17.25	Bantu	Niger-Congo	Simple Clauses
bab	Babungo	6	Double negation	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Simple Clauses
bdm	Badimaya	2	Negative particle	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
baf	Bafut	6	Double negation	6.25	9.91666666667	Wide Grassfields	Niger-Congo	Simple Clauses
bag	Bagirmi	2	Negative particle	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bgr	Bagiro	2	Negative particle	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bai	Bai	4	Negative word, unclear if verb or particle	26.0	100.0	Macro-Bai	Sino-Tibetan	Simple Clauses
bwc	Bajau (West Coast)	2	Negative particle	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Simple Clauses
