Matthew S. Dryer. 2013. Position of Negative Morpheme With Respect to Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/144, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	21	Other	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	21	Other	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	2	SNegVO	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	20	MorphNeg	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
aba	Abau	8	SOVNeg	-4.0	141.25	Abau	Sepik	Word Order
abi	Abipón	21	Other	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	20	MorphNeg	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	8	SOVNeg	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Word Order
abu	Abun	18	ObligDoubleNeg	-0.5	132.5	Abun	Abun	Word Order
acg	Achagua	2	SNegVO	4.41666666667	-72.25	Japura-Colombia	Arawakan	Word Order
acl	Acholi	16	More than one position	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Word Order
acm	Achumawi	21	Other	41.5	-121.0	Achumawi	Hokan	Word Order
adg	Adang	19	OptDoubleNeg	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	20	MorphNeg	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
adz	Adzera	19	OptDoubleNeg	-6.25	146.25	Oceanic	Austronesian	Word Order
agh	Aghem	16	More than one position	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Word Order
agc	Agta (Central)	9	NegVSO	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	9	NegVSO	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	7	SONegV	43.0	143.0	Ainu	Ainu	Word Order
aja	Aja	4	SVONeg	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
ajg	Ajagbe	16	More than one position	7.0	1.75	Gbe	Niger-Congo	Word Order
akn	Akan	20	MorphNeg	6.5	-1.25	Tano	Niger-Congo	Word Order
akh	Akha	7	SONegV	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	21	Other	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	7	SONegV	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alb	Albanian	2	SNegVO	41.0	20.0	Albanian	Indo-European	Word Order
als	Alsea	21	Other	44.6666666667	-123.916666667	Alsea	Oregon Coast	Word Order
aln	Alune	4	SVONeg	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Word Order
aly	Alyawarra	20	MorphNeg	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amn	Amanab	18	ObligDoubleNeg	-3.58333333333	141.25	Border	Border	Word Order
aml	Ambae (Lolovoli Northeast)	18	ObligDoubleNeg	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	4	SVONeg	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	16	More than one position	-3.83333333333	143.0	Ndu	Sepik	Word Order
amt	Amdo (Themchen)	20	MorphNeg	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ame	Amele	19	OptDoubleNeg	-5.25	145.583333333	Mabuso	Trans-New Guinea	Word Order
amh	Amharic	18	ObligDoubleNeg	10.0	38.0	Semitic	Afro-Asiatic	Word Order
amx	Anamuxra	18	ObligDoubleNeg	-4.66666666667	145.0	Josephstaal	Trans-New Guinea	Word Order
anj	Anejom	12	NegVOS	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	8	SOVNeg	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Word Order
anc	Angas	4	SVONeg	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
ang	Anggor	20	MorphNeg	-3.75	141.166666667	Senagi	Senagi	Word Order
ann	Anindilyakwa	21	Other	-14.0	136.5	Anindilyakwa	Gunwinyguan	Word Order
anu	Anufo	3	SVNegO	10.0833333333	0.25	Tano	Niger-Congo	Word Order
any	Anywa	21	Other	8.0	33.5	Western Nilotic	Eastern Sudanic	Word Order
ane	Anêm	4	SVONeg	-5.58333333333	149.083333333	Anêm	Anêm	Word Order
ao	Ao	19	OptDoubleNeg	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Word Order
apw	Apache (Western)	18	ObligDoubleNeg	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	20	MorphNeg	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	20	MorphNeg	27.5	93.75	Tani	Sino-Tibetan	Word Order
apu	Apurinã	16	More than one position	-9.0	-67.0	Purus	Arawakan	Word Order
abn	Arabana	21	Other	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
aeg	Arabic (Egyptian)	19	OptDoubleNeg	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	2	SNegVO	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	20	MorphNeg	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	2	SNegVO	29.5	47.5	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	9	NegVSO	25.0	42.0	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	18	ObligDoubleNeg	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	16	More than one position	34.0	38.0	Semitic	Afro-Asiatic	Word Order
ana	Araona	18	ObligDoubleNeg	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Word Order
aab	Arapesh (Abu)	4	SVONeg	-3.45	142.95	Kombio-Arapesh	Torricelli	Word Order
arp	Arapesh (Mountain)	19	OptDoubleNeg	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
arc	Archi	20	MorphNeg	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
arm	Armenian (Eastern)	16	More than one position	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	16	More than one position	38.5	43.5	Armenian	Indo-European	Word Order
alk	Arop-Lokep	4	SVONeg	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	2	SNegVO	-10.25	161.333333333	Oceanic	Austronesian	Word Order
amp	Arrernte (Mparntwe)	20	MorphNeg	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	8	SOVNeg	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Word Order
ass	Assamese	20	MorphNeg	26.0	93.0	Indic	Indo-European	Word Order
