Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/143, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	2	VNeg	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	1	NegV	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	1	NegV	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	4	[V-Neg]	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
aba	Abau	2	VNeg	-4.0	141.25	Abau	Sepik	Word Order
abi	Abipón	1	NegV	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	11	Type 3 / Type 4	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	2	VNeg	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Word Order
abu	Abun	14	ObligDoubleNeg	-0.5	132.5	Abun	Abun	Word Order
ace	Acehnese	1	NegV	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	1	NegV	4.41666666667	-72.25	Japura-Colombia	Arawakan	Word Order
acl	Acholi	6	Type 1 / Type 2	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Word Order
acu	Achuar	4	[V-Neg]	-2.66667	-76.0	Jivaroan	Jivaroan	Word Order
acm	Achumawi	1	NegV	41.5	-121.0	Achumawi	Hokan	Word Order
aco	Acoma	8	Type 1 / Type 4	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adg	Adang	15	OptDoubleNeg	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	4	[V-Neg]	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
adz	Adzera	15	OptDoubleNeg	-6.25	146.25	Oceanic	Austronesian	Word Order
agh	Aghem	6	Type 1 / Type 2	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Word Order
agc	Agta (Central)	1	NegV	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	1	NegV	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	1	NegV	43.0	143.0	Ainu	Ainu	Word Order
aja	Aja	2	VNeg	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
