Matthew S. Dryer. 2013. Order of Adjective and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/87, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Noun-Adjective	-24.0	21.5	Tu	Tu	Word Order
ani	//Ani	1	Adjective-Noun	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	2	Noun-Adjective	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	2	Noun-Adjective	-25.5	25.0	=|Hoan	Kxa	Word Order
aar	Aari	2	Noun-Adjective	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
abi	Abipón	3	No dominant order	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	2	Noun-Adjective	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	2	Noun-Adjective	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Word Order
abu	Abun	2	Noun-Adjective	-0.5	132.5	Abun	Abun	Word Order
ace	Acehnese	2	Noun-Adjective	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	2	Noun-Adjective	4.41666666667	-72.25	Japura-Colombia	Arawakan	Word Order
acn	Achang	3	No dominant order	25.0	98.5	Burmese-Lolo	Sino-Tibetan	Word Order
acl	Acholi	2	Noun-Adjective	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Word Order
aco	Acoma	3	No dominant order	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adg	Adang	2	Noun-Adjective	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	2	Noun-Adjective	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
ady	Adyghe (Abzakh)	2	Noun-Adjective	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Word Order
adn	Adynyamathanha	1	Adjective-Noun	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
adz	Adzera	2	Noun-Adjective	-6.25	146.25	Oceanic	Austronesian	Word Order
awi	Aekyom	2	Noun-Adjective	-5.75	141.416666667	Elevala	Kamula-Elevala	Word Order
aga	Agarabi	1	Adjective-Noun	-6.16666666667	146.0	Gauwa	Trans-New Guinea	Word Order
agh	Aghem	2	Noun-Adjective	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Word Order
agc	Agta (Central)	1	Adjective-Noun	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	1	Adjective-Noun	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	1	Adjective-Noun	43.0	143.0	Ainu	Ainu	Word Order
aja	Aja	1	Adjective-Noun	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
ajg	Ajagbe	2	Noun-Adjective	7.0	1.75	Gbe	Niger-Congo	Word Order
akn	Akan	2	Noun-Adjective	6.5	-1.25	Tano	Niger-Congo	Word Order
akh	Akha	2	Noun-Adjective	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	2	Noun-Adjective	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	1	Adjective-Noun	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alw	Alawa	3	No dominant order	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Word Order
alb	Albanian	2	Noun-Adjective	41.0	20.0	Albanian	Indo-European	Word Order
als	Alsea	1	Adjective-Noun	44.6666666667	-123.916666667	Alsea	Oregon Coast	Word Order
aln	Alune	2	Noun-Adjective	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Word Order
aly	Alyawarra	2	Noun-Adjective	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amm	Ama	3	No dominant order	-4.21666666667	141.616666667	Left May	Left May	Word Order
amc	Amahuaca	2	Noun-Adjective	-10.5	-72.5	Panoan	Pano-Tacanan	Word Order
amn	Amanab	2	Noun-Adjective	-3.58333333333	141.25	Border	Border	Word Order
ama	Amara	2	Noun-Adjective	-5.66666666667	148.5	Oceanic	Austronesian	Word Order
amk	Amarakaeri	1	Adjective-Noun	-12.5	-70.5	Harakmbet	Harakmbet	Word Order
aml	Ambae (Lolovoli Northeast)	2	Noun-Adjective	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	2	Noun-Adjective	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	1	Adjective-Noun	-3.83333333333	143.0	Ndu	Sepik	Word Order
amt	Amdo (Themchen)	3	No dominant order	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ame	Amele	2	Noun-Adjective	-5.25	145.583333333	Mabuso	Trans-New Guinea	Word Order
amh	Amharic	1	Adjective-Noun	10.0	38.0	Semitic	Afro-Asiatic	Word Order
ami	Amis	1	Adjective-Noun	23.3333333333	121.333333333	East Formosan	Austronesian	Word Order
amo	Amo	2	Noun-Adjective	10.3333333333	8.66666666667	Central Kainji	Niger-Congo	Word Order
amx	Anamuxra	2	Noun-Adjective	-4.66666666667	145.0	Josephstaal	Trans-New Guinea	Word Order
anj	Anejom	2	Noun-Adjective	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	2	Noun-Adjective	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Word Order
anc	Angas	2	Noun-Adjective	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
ang	Anggor	2	Noun-Adjective	-3.75	141.166666667	Senagi	Senagi	Word Order
agt	Anguthimri	2	Noun-Adjective	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Word Order
ano	Anong	2	Noun-Adjective	27.3333333333	98.75	Nungish	Sino-Tibetan	Word Order
anu	Anufo	2	Noun-Adjective	10.0833333333	0.25	Tano	Niger-Congo	Word Order
ayi	Anyi	2	Noun-Adjective	7.0	-3.5	Tano	Niger-Congo	Word Order
any	Anywa	2	Noun-Adjective	8.0	33.5	Western Nilotic	Eastern Sudanic	Word Order
ane	Anêm	2	Noun-Adjective	-5.58333333333	149.083333333	Anêm	Anêm	Word Order
ao	Ao	2	Noun-Adjective	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Word Order
apl	Apalaí	2	Noun-Adjective	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	2	Noun-Adjective	27.5	93.75	Tani	Sino-Tibetan	Word Order
api	Apinayé	2	Noun-Adjective	-5.5	-48.0	Je Setentrional	Macro-Ge	Word Order
apu	Apurinã	2	Noun-Adjective	-9.0	-67.0	Purus	Arawakan	Word Order
abn	Arabana	2	Noun-Adjective	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
aeg	Arabic (Egyptian)	2	Noun-Adjective	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	2	Noun-Adjective	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	2	Noun-Adjective	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	2	Noun-Adjective	29.5	47.5	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	2	Noun-Adjective	25.0	42.0	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	2	Noun-Adjective	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	2	Noun-Adjective	34.0	38.0	Semitic	Afro-Asiatic	Word Order
ana	Araona	2	Noun-Adjective	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Word Order
aab	Arapesh (Abu)	2	Noun-Adjective	-3.45	142.95	Kombio-Arapesh	Torricelli	Word Order
arp	Arapesh (Mountain)	1	Adjective-Noun	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
abo	Arbore	2	Noun-Adjective	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Word Order
arc	Archi	1	Adjective-Noun	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
arm	Armenian (Eastern)	1	Adjective-Noun	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	1	Adjective-Noun	38.5	43.5	Armenian	Indo-European	Word Order
alk	Arop-Lokep	2	Noun-Adjective	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	2	Noun-Adjective	-10.25	161.333333333	Oceanic	Austronesian	Word Order
amp	Arrernte (Mparntwe)	2	Noun-Adjective	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
awe	Arrernte (Western)	2	Noun-Adjective	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	2	Noun-Adjective	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Word Order
