Matthew S. Dryer. 2013. Position of Case Affixes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/51, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	1	Case suffixes	6.0	36.5833333333	South Omotic	Afro-Asiatic	Nominal Categories
abi	Abipón	9	No case affixes or adpositional clitics	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	9	No case affixes or adpositional clitics	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abv	Abui	9	No case affixes or adpositional clitics	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Nominal Categories
abu	Abun	9	No case affixes or adpositional clitics	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	9	No case affixes or adpositional clitics	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
acg	Achagua	9	No case affixes or adpositional clitics	4.41666666667	-72.25	Japura-Colombia	Arawakan	Nominal Categories
acl	Acholi	9	No case affixes or adpositional clitics	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Nominal Categories
acu	Achuar	1	Case suffixes	-2.66667	-76.0	Jivaroan	Jivaroan	Nominal Categories
acm	Achumawi	1	Case suffixes	41.5	-121.0	Achumawi	Hokan	Nominal Categories
adg	Adang	9	No case affixes or adpositional clitics	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Nominal Categories
adi	Adioukrou	9	No case affixes or adpositional clitics	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Nominal Categories
ady	Adyghe (Abzakh)	1	Case suffixes	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Nominal Categories
adn	Adynyamathanha	1	Case suffixes	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aga	Agarabi	1	Case suffixes	-6.16666666667	146.0	Gauwa	Trans-New Guinea	Nominal Categories
agc	Agta (Central)	9	No case affixes or adpositional clitics	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Nominal Categories
ain	Ainu	9	No case affixes or adpositional clitics	43.0	143.0	Ainu	Ainu	Nominal Categories
ajg	Ajagbe	9	No case affixes or adpositional clitics	7.0	1.75	Gbe	Niger-Congo	Nominal Categories
akn	Akan	9	No case affixes or adpositional clitics	6.5	-1.25	Tano	Niger-Congo	Nominal Categories
akh	Akha	9	No case affixes or adpositional clitics	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Nominal Categories
all	Ala'ala	1	Case suffixes	-8.91666666667	146.75	Oceanic	Austronesian	Nominal Categories
ala	Alamblak	6	Postpositional clitics	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alw	Alawa	1	Case suffixes	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Nominal Categories
alb	Albanian	1	Case suffixes	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	1	Case suffixes	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
aln	Alune	9	No case affixes or adpositional clitics	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
aly	Alyawarra	1	Case suffixes	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
amc	Amahuaca	9	No case affixes or adpositional clitics	-10.5	-72.5	Panoan	Pano-Tacanan	Nominal Categories
amn	Amanab	1	Case suffixes	-3.58333333333	141.25	Border	Border	Nominal Categories
aml	Ambae (Lolovoli Northeast)	9	No case affixes or adpositional clitics	-15.4166666667	167.883333333	Oceanic	Austronesian	Nominal Categories
amb	Ambulas	6	Postpositional clitics	-3.83333333333	143.0	Ndu	Sepik	Nominal Categories
ame	Amele	9	No case affixes or adpositional clitics	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	1	Case suffixes	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
adk	Andoke	1	Case suffixes	-0.666666666667	-72.0	Andoke	Andoke	Nominal Categories
anj	Anejom	9	No case affixes or adpositional clitics	-20.2	169.8	Oceanic	Austronesian	Nominal Categories
anc	Angas	9	No case affixes or adpositional clitics	9.5	9.5	West Chadic	Afro-Asiatic	Nominal Categories
ang	Anggor	9	No case affixes or adpositional clitics	-3.75	141.166666667	Senagi	Senagi	Nominal Categories
agt	Anguthimri	1	Case suffixes	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
ann	Anindilyakwa	8	Inpositional clitics	-14.0	136.5	Anindilyakwa	Gunwinyguan	Nominal Categories
anu	Anufo	9	No case affixes or adpositional clitics	10.0833333333	0.25	Tano	Niger-Congo	Nominal Categories
any	Anywa	9	No case affixes or adpositional clitics	8.0	33.5	Western Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	6	Postpositional clitics	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Nominal Categories
apw	Apache (Western)	1	Case suffixes	33.75	-110.0	Athapaskan	Na-Dene	Nominal Categories
apl	Apalaí	9	No case affixes or adpositional clitics	0.0	-54.0	Cariban	Cariban	Nominal Categories
apt	Apatani	9	No case affixes or adpositional clitics	27.5	93.75	Tani	Sino-Tibetan	Nominal Categories
api	Apinayé	9	No case affixes or adpositional clitics	-5.5	-48.0	Je Setentrional	Macro-Ge	Nominal Categories
apu	Apurinã	6	Postpositional clitics	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	1	Case suffixes	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	9	No case affixes or adpositional clitics	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	9	No case affixes or adpositional clitics	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arq	Arabic (Iraqi)	7	Prepositional clitics	33.0	44.0	Semitic	Afro-Asiatic	Nominal Categories
ams	Arabic (Modern Standard)	1	Case suffixes	25.0	42.0	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	9	No case affixes or adpositional clitics	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	7	Prepositional clitics	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	1	Case suffixes	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	9	No case affixes or adpositional clitics	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arc	Archi	1	Case suffixes	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	1	Case suffixes	40.0	45.0	Armenian	Indo-European	Nominal Categories
arw	Armenian (Western)	1	Case suffixes	38.5	43.5	Armenian	Indo-European	Nominal Categories
amp	Arrernte (Mparntwe)	6	Postpositional clitics	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
awe	Arrernte (Western)	1	Case suffixes	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
asm	Asmat	9	No case affixes or adpositional clitics	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
ass	Assamese	1	Case suffixes	26.0	93.0	Indic	Indo-European	Nominal Categories
ata	Atayal	9	No case affixes or adpositional clitics	24.5	121.333333333	Atayalic	Austronesian	Nominal Categories
ath	Athpare	1	Case suffixes	27.0	87.3333333333	Himalayish	Sino-Tibetan	Nominal Categories
ats	Atsugewi	1	Case suffixes	40.75	-121.0	Atsugewi	Hokan	Nominal Categories
au	Au	9	No case affixes or adpositional clitics	-3.58333333333	142.083333333	Central Wapei	Torricelli	Nominal Categories
ava	Avar	1	Case suffixes	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
awa	Awa	1	Case suffixes	-6.66666666667	145.75	Gauwa	Trans-New Guinea	Nominal Categories
awp	Awa Pit	6	Postpositional clitics	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	6	Postpositional clitics	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	6	Postpositional clitics	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
ayo	Ayomán	1	Case suffixes	11.0	-69.0	Jirajaran	Jirajaran	Nominal Categories
azi	Azari (Iranian)	1	Case suffixes	37.5	47.0	Turkic	Altaic	Nominal Categories
aze	Azerbaijani	1	Case suffixes	40.5	48.5	Turkic	Altaic	Nominal Categories
bab	Babungo	9	No case affixes or adpositional clitics	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bac	Bachamal	6	Postpositional clitics	-13.1666666667	130.166666667	Wandjiginy	Wandjiginy	Nominal Categories
bag	Bagirmi	9	No case affixes or adpositional clitics	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bai	Bai	9	No case affixes or adpositional clitics	26.0	100.0	Macro-Bai	Sino-Tibetan	Nominal Categories
bwc	Bajau (West Coast)	9	No case affixes or adpositional clitics	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Nominal Categories
bka	Baka (in South Sudan)	9	No case affixes or adpositional clitics	4.83333333333	29.25	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bnj	Bandjalang	1	Case suffixes	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
bnn	Banoni	9	No case affixes or adpositional clitics	-6.41666666667	155.25	Oceanic	Austronesian	Nominal Categories
bao	Bao'an	6	Postpositional clitics	35.75	102.833333333333	Mongolic	Altaic	Nominal Categories
baa	Barai	1	Case suffixes	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Nominal Categories
brs	Barasano	1	Case suffixes	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bar	Bari	9	No case affixes or adpositional clitics	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
brp	Barupu	9	No case affixes or adpositional clitics	-3.08333333333	142.083333333	Warapu	Skou	Nominal Categories
bry	Baruya	1	Case suffixes	-6.91666666667	145.916666667	Nuclear Angan	Trans-New Guinea	Nominal Categories
bae	Baré	1	Case suffixes	1.0	-67.0	Japura-Colombia	Arawakan	Nominal Categories
bsk	Bashkir	1	Case suffixes	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	6	Postpositional clitics	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	9	No case affixes or adpositional clitics	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
bto	Batak (Toba)	9	No case affixes or adpositional clitics	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baq	Baure	1	Case suffixes	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	Nominal Categories
bzi	Bauzi	6	Postpositional clitics	-2.5	137.5	Geelvink Bay	Geelvink Bay	Nominal Categories
