Word Order in Polar Questions								
For languages where word order is used to indicate polar questions								
This table is a supplement to WALs								
and is not part of WALs itself								
								
								
wals code	name	value	description	latitude	longitude	genus	family	area
cze	Czech	4	Vso	50.0	15.0	Slavic	Indo-European	Simple Clauses
dsh	Danish	4	Vso	56.0	10.0	Germanic	Indo-European	Simple Clauses
dut	Dutch	4	Vso	52.5	6.0	Germanic	Indo-European	Simple Clauses
eng	English	4	qsVo	52.0	0.0	Germanic	Indo-European	Simple Clauses
fri	Frisian	4	Vso	53.0	5.0	Germanic	Indo-European	Simple Clauses
ger	German	4	Vso	52.0	10.0	Germanic	Indo-European	Simple Clauses
hpd	Hup	4	oVs	0.166666666667	-69.25	Nadahup	Nadahup	Simple Clauses
mng	Manggarai	4	Vso	-8.5	120.333333333	Central Malayo-Polynesian	Austronesian	Simple Clauses
nor	Norwegian	4	Vso	61.0	8.0	Germanic	Indo-European	Simple Clauses
pal	Palauan	4	Vso	7.5	134.583333333	Palauan	Austronesian	Simple Clauses
spa	Spanish	4	Vso	40.0	-4.0	Romance	Indo-European	Simple Clauses
swe	Swedish	4	Vso	60.0	15.0	Germanic	Indo-European	Simple Clauses
wrk	Warekena	4	Vso	1.5	-67.5	Alto-Orinoco	Arawakan	Simple Clauses
ace	Acehnese	5		5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
akn	Akan	5	s𐞥Vq	6.5	-1.25	Tano	Niger-Congo	Word Order
amn	Amanab	5		-3.58333333333	141.25	Border	Border	Word Order
bem	Bemba	5		-10.0	28.25	Bantu	Niger-Congo	Word Order
ebi	Ebira	5		8.16666666667	7.0	Nupoid	Niger-Congo	Word Order
est	Estonian	5	qS	59.0	26.0	Finnic	Uralic	Word Order
grr	Garrwa	5		-17.0833333333	137.166666667	Garrwan	Garrwan	Word Order
hnd	Hunde	5		-1.16666666667	28.8333333333	Bantu	Niger-Congo	Word Order
ind	Indonesian	5	Sq	0.0	106.0	Malayo-Sumbawan	Austronesian	Word Order
iwa	Iwaidja	5		-11.5	132.666666667	Iwaidjan	Iwaidjan	Word Order
klm	Klamath	5		42.5	-121.5	Klamath-Modoc	Penutian	Word Order
kse	Koyraboro Senni	5		16.0	0.0	Songhay	Songhay	Word Order
kum	Kumauni	5		30.0	80.0	Indic	Indo-European	Word Order
laa	Laal	5		10.0	17.6666666667	Laal	Laal	Word Order
loz	Lozi	5		-17.8333333333	26.0	Bantu	Niger-Congo	Word Order
mal	Malagasy	5		-20.0	47.0	Barito	Austronesian	Word Order
mco	Mixe (Coatlán)	5		16.9166666667	-95.6666666667	Mixe-Zoque	Mixe-Zoque	Word Order
nav	Navajo	5		36.1666666667	-108.0	Athapaskan	Na-Dene	Word Order
nti	Ngiti	5		1.33333333333	30.25	Lendu	Central Sudanic	Word Order
nug	Nunggubuyu	5		-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Word Order
nup	Nupe	5		9.16666666667	5.41666666667	Nupoid	Niger-Congo	Word Order
scr	Serbian-Croatian	5		44.0	19.0	Slavic	Indo-European	Word Order
shu	Shuswap	5		52.0	-120.0	Interior Salish	Salishan	Word Order
tho	Thompson	5		49.75	-121.75	Interior Salish	Salishan	Word Order
tsn	Tsonga	5		-24.0	32.0	Bantu	Niger-Congo	Word Order
xas	Xasonga	5		14.25	-10.5	Western Mande	Mande	Word Order
bsq	Basque	4		43.0	-3.0	Basque	Basque	Word Order
hmo	Hmong Njua	4	sqVo	28.0	105.0	Hmongic	Hmong-Mien	Word Order
mbi	Mbili	4		6.11666666667	10.2	Wide Grassfields	Niger-Congo	Word Order
niu	Niuean	4	Vqso	-19.05	-170.116666667	Oceanic	Austronesian	Word Order
sed	Sedang	4		14.8333333333	108.0	Bahnaric	Austro-Asiatic	Word Order
som	Somali	4		3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Word Order
tbo	Tboli	4		6.16666666667	124.5	Bilic	Austronesian	Word Order
tin	Tinrin	4		-21.6666666667	165.75	Oceanic	Austronesian	Word Order
