Matthew S. Dryer. 2013. Order of Subject, Object and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/81, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
ajg	Ajagbe	1	SOV or SVO	7.0	1.75	Gbe	Niger-Congo	Word Order
ami	Amis	2	VSO or VOS	23.3333333333	121.333333333	East Formosan	Austronesian	Word Order
apl	Apalaí	5	SOV or OVS	0.0	-54.0	Cariban	Cariban	Word Order
asy	Arabic (Syrian)	3	SVO or VSO	34.0	38.0	Semitic	Afro-Asiatic	Word Order
arm	Armenian (Eastern)	1	SOV or SVO	40.0	45.0	Armenian	Indo-European	Word Order
avo	Avokaya	1	SOV or SVO	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Word Order
bwc	Bajau (West Coast)	3	SVO or VSO	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Word Order
bbu	Barambu	3	SVO or VSO	3.5	27.0	Ubangi	Niger-Congo	Word Order
bkr	Batak (Karo)	3	SVO or VSO	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
bch	Berber (Chaouia)	3	SVO or VSO	35.0	7.0	Berber	Afro-Asiatic	Word Order
btk	Bontok	3	SVO or VSO	17.0833333333	120.916666667	Northern Luzon	Austronesian	Word Order
cai	Chai	1	SOV or SVO	5.33333333333	35.3333333333	South Surmic	Eastern Sudanic	Word Order
ddj	Dadjriwalé	1	SOV or SVO	5.25	-5.66666666667	Kru	Niger-Congo	Word Order
dam	Damana	1	SOV or SVO	11.0	-73.5	Arhuacic	Chibchan	Word Order
din	Dinka	1	SOV or SVO	8.5	28.0	Western Nilotic	Eastern Sudanic	Word Order
dgo	Dongo	1	SOV or SVO	3.0	30.0	Ubangi	Niger-Congo	Word Order
dre	Drehu	4	SVO or VOS	-21.0	167.25	Oceanic	Austronesian	Word Order
dut	Dutch	1	SOV or SVO	52.5	6.0	Germanic	Indo-European	Word Order
fij	Fijian	2	VSO or VOS	-17.8333333333	178.0	Oceanic	Austronesian	Word Order
fri	Frisian	1	SOV or SVO	53.0	5.0	Germanic	Indo-European	Word Order
grr	Garrwa	3	SVO or VSO	-17.0833333333	137.166666667	Garrwan	Garrwan	Word Order
ger	German	1	SOV or SVO	52.0	10.0	Germanic	Indo-European	Word Order
grk	Greek (Modern)	3	SVO or VSO	39.0	22.0	Greek	Indo-European	Word Order
gwa	Gwari	1	SOV or SVO	9.5	7.0	Nupoid	Niger-Congo	Word Order
gku	Gününa Küne	4	SVO or VOS	-41.0	-67.0	Puelche	Chonan	Word Order
hun	Hungarian	1	SOV or SVO	47.0	20.0	Ugric	Uralic	Word Order
