Matthew S. Dryer. 2013. Order of Subject, Object and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/81, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	SVO	-24.0	21.5	Tu	Tu	Word Order
ani	//Ani	7	No dominant order	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
xam	/Xam	2	SVO	-31.0	21.0	Tu	Tu	Word Order
huc	=|Hoan	2	SVO	-25.5	25.0	=|Hoan	Kxa	Word Order
aba	Abau	1	SOV	-4.0	141.25	Abau	Sepik	Word Order
abi	Abipón	2	SVO	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	1	SOV	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	1	SOV	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Word Order
abu	Abun	2	SVO	-0.5	132.5	Abun	Abun	Word Order
ace	Acehnese	7	No dominant order	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	2	SVO	4.41666666667	-72.25	Japura-Colombia	Arawakan	Word Order
acl	Acholi	2	SVO	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Word Order
acm	Achumawi	2	SVO	41.5	-121.0	Achumawi	Hokan	Word Order
aco	Acoma	7	No dominant order	34.9166666667	-107.583333333	Keresan	Keresan	Word Order
adg	Adang	1	SOV	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	2	SVO	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
ady	Adyghe (Abzakh)	1	SOV	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Word Order
adn	Adynyamathanha	7	No dominant order	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
adz	Adzera	2	SVO	-6.25	146.25	Oceanic	Austronesian	Word Order
awi	Aekyom	1	SOV	-5.75	141.416666667	Elevala	Kamula-Elevala	Word Order
aga	Agarabi	1	SOV	-6.16666666667	146.0	Gauwa	Trans-New Guinea	Word Order
agh	Aghem	2	SVO	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Word Order
agc	Agta (Central)	3	VSO	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	3	VSO	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	1	SOV	43.0	143.0	Ainu	Ainu	Word Order
aja	Aja	2	SVO	7.33333333333	25.6666666667	Kresh	Central Sudanic	Word Order
ajg	Ajagbe	7	No dominant order	7.0	1.75	Gbe	Niger-Congo	Word Order
akn	Akan	2	SVO	6.5	-1.25	Tano	Niger-Congo	Word Order
akh	Akha	1	SOV	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	1	SOV	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	1	SOV	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alw	Alawa	7	No dominant order	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Word Order
alb	Albanian	2	SVO	41.0	20.0	Albanian	Indo-European	Word Order
ale	Aleut	1	SOV	54.0	-166.0	Aleut	Eskimo-Aleut	Word Order
aln	Alune	2	SVO	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Word Order
aly	Alyawarra	1	SOV	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amc	Amahuaca	7	No dominant order	-10.5	-72.5	Panoan	Pano-Tacanan	Word Order
amn	Amanab	1	SOV	-3.58333333333	141.25	Border	Border	Word Order
ama	Amara	2	SVO	-5.66666666667	148.5	Oceanic	Austronesian	Word Order
aml	Ambae (Lolovoli Northeast)	2	SVO	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	2	SVO	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	1	SOV	-3.83333333333	143.0	Ndu	Sepik	Word Order
ame	Amele	1	SOV	-5.25	145.583333333	Mabuso	Trans-New Guinea	Word Order
amh	Amharic	1	SOV	10.0	38.0	Semitic	Afro-Asiatic	Word Order
ami	Amis	7	No dominant order	23.3333333333	121.333333333	East Formosan	Austronesian	Word Order
anj	Anejom	4	VOS	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	1	SOV	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Word Order
anc	Angas	2	SVO	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
ang	Anggor	1	SOV	-3.75	141.166666667	Senagi	Senagi	Word Order
agt	Anguthimri	1	SOV	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Word Order
ann	Anindilyakwa	7	No dominant order	-14.0	136.5	Anindilyakwa	Gunwinyguan	Word Order
ano	Anong	1	SOV	27.3333333333	98.75	Nungish	Sino-Tibetan	Word Order
anu	Anufo	2	SVO	10.0833333333	0.25	Tano	Niger-Congo	Word Order
ayi	Anyi	2	SVO	7.0	-3.5	Tano	Niger-Congo	Word Order
any	Anywa	7	No dominant order	8.0	33.5	Western Nilotic	Eastern Sudanic	Word Order
ane	Anêm	2	SVO	-5.58333333333	149.083333333	Anêm	Anêm	Word Order
ao	Ao	1	SOV	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Word Order
apw	Apache (Western)	1	SOV	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	7	No dominant order	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	1	SOV	27.5	93.75	Tani	Sino-Tibetan	Word Order
api	Apinayé	1	SOV	-5.5	-48.0	Je Setentrional	Macro-Ge	Word Order
apu	Apurinã	2	SVO	-9.0	-67.0	Purus	Arawakan	Word Order
abn	Arabana	1	SOV	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
aeg	Arabic (Egyptian)	2	SVO	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	2	SVO	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	2	SVO	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	2	SVO	29.5	47.5	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	3	VSO	25.0	42.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	7	No dominant order	34.0	38.0	Semitic	Afro-Asiatic	Word Order
aab	Arapesh (Abu)	2	SVO	-3.45	142.95	Kombio-Arapesh	Torricelli	Word Order
arp	Arapesh (Mountain)	2	SVO	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Word Order
abo	Arbore	1	SOV	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Word Order
arc	Archi	1	SOV	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
ari	Aribwatsa	2	SVO	-6.71666666667	147.0	Oceanic	Austronesian	Word Order
arm	Armenian (Eastern)	7	No dominant order	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	1	SOV	38.5	43.5	Armenian	Indo-European	Word Order
alk	Arop-Lokep	2	SVO	-5.38333333333	147.05	Oceanic	Austronesian	Word Order
aro	Arosi	2	SVO	-10.25	161.333333333	Oceanic	Austronesian	Word Order
amp	Arrernte (Mparntwe)	1	SOV	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	1	SOV	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Word Order
ass	Assamese	1	SOV	26.0	93.0	Indic	Indo-European	Word Order
asu	Asuriní	5	OVS	-3.5	-49.5	Maweti-Guarani	Tupian	Word Order
atm	Atacameño	1	SOV	-23.0	-69.0	Kunza	Kunza	Word Order
ath	Athpare	1	SOV	27.0	87.3333333333	Himalayish	Sino-Tibetan	Word Order
ats	Atsugewi	7	No dominant order	40.75	-121.0	Atsugewi	Hokan	Word Order
au	Au	2	SVO	-3.58333333333	142.083333333	Central Wapei	Torricelli	Word Order
ava	Avar	1	SOV	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
avk	Avikam	2	SVO	5.16666666667	-5.5	Avikam-Alladian	Niger-Congo	Word Order
avo	Avokaya	7	No dominant order	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Word Order
awa	Awa	1	SOV	-6.66666666667	145.75	Gauwa	Trans-New Guinea	Word Order
awp	Awa Pit	1	SOV	1.5	-78.25	Barbacoan	Barbacoan	Word Order
awt	Awtuw	1	SOV	-3.58333333333	142.0	Ram	Sepik	Word Order
awy	Awyi	1	SOV	-2.91666666667	140.583333333	Border	Border	Word Order
ayw	Ayiwo	2	SVO	-10.3333333333	166.25	Oceanic	Austronesian	Word Order
aym	Aymara (Central)	1	SOV	-17.0	-69.0	Aymaran	Aymaran	Word Order
