proform	person	number	formality	gender	nominative	oblique	genitive	
personal	1	singular		masculine	I♂	me♂	mine♂	
personal	1	singular		feminine	I♀	me♀	mine♀	
personal	1	singular		neuter	I	me	mine	
personal	2	singular	familiar	masculine	you♂	you♂	yours♂	
personal	2	singular	familiar	feminine	you♀	you♀	yours♀	
personal	2	singular	familiar	neuter	you	you	yours	
personal	2	singular	polite	masculine	you♂ [politely]	you♂ [politely]	yours♂ [politely]	
personal	2	singular	polite	feminine	you♀ [politely]	you♀ [politely]	yours♀ [politely]	
personal	2	singular	polite	neuter	you [politely]	you [politely]	yours [politely]	
personal	2	singular	elevated	masculine	you♂ [elevated]	you♂ [elevated]	yours♂ [elevated]	
personal	2	singular	elevated	feminine	you♀ [elevated]	you♀ [elevated]	yours♀ [elevated]	
personal	2	singular	elevated	neuter	you [elevated]	you [elevated]	yours [elevated]	
personal	2	singular	formal	masculine	you [sir]	you [sir]	yours [sir]	
personal	2	singular	formal	feminine	you [ma'am]	you [ma'am]	yours [ma'am]	
personal	2	singular	formal	neuter	you [respectfully]	you [respectfully]	yours [respectfully]	
personal	2	singular	tuteo		you	you	yours	
personal	2	singular	voseo		you [voseo]	you [voseo]	yours [voseo]	
personal	3	singular		masculine	he	him	his	
personal	3	singular		feminine	she	her	hers	
personal	3	singular		neuter	it	it	its	
personal	1	dual		masculine	we both♂	us both♂	both of ours♂	
personal	1	dual		feminine	we both♀	us both♀	both of ours♀	
personal	1	dual		neuter	we both	us both	both of ours	
personal	2	dual	familiar	masculine	you both♂	you both♂	both of yours♂	
personal	2	dual	familiar	feminine	you both♀	you both♀	both of yours♀	
personal	2	dual	familiar	neuter	you both	you both	both of yours	
personal	2	dual	polite	masculine	both you♂ [politely]	you both♂ [politely]	both of yours♂ [politely]	
personal	2	dual	polite	feminine	both you♀ [politely]	you both♀ [politely]	both of yours♀ [politely]	
personal	2	dual	polite	neuter	both you [politely]	you both [politely]	both of yours [politely]	
personal	2	dual	elevated	masculine	both you♂ [elevated]	you both♂ [elevated]	both of yours♂ [elevated]	
personal	2	dual	elevated	feminine	both you♀ [elevated]	you both♀ [elevated]	both of yours♀ [elevated]	
personal	2	dual	elevated	neuter	both you [elevated]	you both [elevated]	both of yours [elevated]	
personal	2	dual	formal	masculine	both you [gentlemen]	you both [gentlemen]	both of yours [gentlemen]	
personal	2	dual	formal	feminine	both you [ladies]	you both [ladies]	both of yours [ladies]	
personal	2	dual	formal	neuter	both you [respectfully]	you both [respectfully]	both of yours [respectfully]	
personal	3	dual		masculine	they♂ both	them♂ both	both of theirs♂	
personal	3	dual		feminine	they♀ both	them♀ both	both theirs♀	
personal	3	dual		neuter	they both	them both	both theirs	
personal	1	plural		masculine	we♂	us♂	ours♂	
personal	1	plural		feminine	we♀	us♀	ours♀	
personal	1	plural		neuter	we	us	ours	
personal	2	plural	familiar	masculine	you all♂	you all♂	all of yours♂	
personal	2	plural	familiar	feminine	you all♀	you all♀	all of yours♀	
personal	2	plural	familiar	neuter	you all	you all	all of yours	
personal	2	plural	polite	masculine	all you♂ [politely]	you all♂ [politely]	all of yours♂ [politely]	
personal	2	plural	polite	feminine	all you♀ [politely]	you all♀ [politely]	all of yours♀ [politely]	
personal	2	plural	polite	neuter	all you [politely]	you all [politely]	all of yours [politely]	
personal	2	plural	elevated	masculine	all you♂ [elevated]	you all♂ [elevated]	all of yours♂ [elevated]	
personal	2	plural	elevated	feminine	all you♀ [elevated]	you all♀ [elevated]	all of yours♀ [elevated]	
personal	2	plural	elevated	neuter	all you [elevated]	you all [elevated]	all of yours [elevated]	
personal	2	plural	formal	masculine	all you [gentlemen]	all of you [gentlemen]	all of yours [gentlemen]	
personal	2	plural	formal	feminine	all you [ladies]	all of you [ladies]	all of yours [ladies]	
personal	2	plural	formal	neuter	all you [respectfully]	all of you [respectfully]	all of yours [respectfully]	
personal	3	plural		masculine	they♂	them♂	theirs♂	
personal	3	plural		feminine	they♀	them♀	theirs♀	
personal	3	plural		neuter	they	them	theirs	
