δύο 	 numeral 	 two 	 cardinal numbers : two
λύκος 	 noun 	 wolf 	 wolf
λύκος 	 noun 	 curb bit 	 curb bit
λύκος 	 noun 	 jackdaw 	 a kind of jackdaw
δημοκρατία 	 noun 	 democracy 	 democracy, popular government
δημοκρατία 	 noun 	 government 	 democracy, popular government
δημοκρατία 	 noun 	 popular 	 democracy, popular government
δημοκρατία 	 noun 	 democratic 	 a democratic government
δημοκρατία 	 noun 	 w:Bias of Priene 	 * quote=ὁ Βίας ἔφησε κρατίστην εἶναι δημοκρατίαν ἐν ᾗ πάντες ὡς τύραννον φοβοῦνται τὸν νόμον.|trans=Bias said that the strongest democracy is that wherein all fear the law as their tyrant
νίκη 	 noun 	 winning 	 the act of winning: victory, success means=over, in something
νίκη 	 noun 	 success 	 the act of winning: victory, success means=over, in something
νίκη 	 noun 	 victory 	 the act of winning: victory, success means=over, in something
νίκη 	 noun 	 the upper hand 	 the upper hand, advantage
νίκη 	 noun 	 advantage 	 the upper hand, advantage
μέλι 	 noun 	 honey 	 honey
μέλι 	 noun 	 sweet 	 anything sweet
μελῳδία 	 noun 	 chant 	 song, singing; chant; music, melody
μελῳδία 	 noun 	 melody 	 song, singing; chant; music, melody
μελῳδία 	 noun 	 singing 	 song, singing; chant; music, melody
μελῳδία 	 noun 	 music 	 song, singing; chant; music, melody
μελῳδία 	 noun 	 song 	 song, singing; chant; music, melody
ἵππος 	 noun 	 horse 	 a horse,  a mare
ἵππος 	 noun 	 mare 	 a horse,  a mare
ἵππος 	 noun 	 cavalry 	 cavalry, horsemen
ἵππος 	 noun 	 horsemen 	 cavalry, horsemen
καί 	 conjunction 	 and 	 and
καί 	 conjunction 	 also 	 even, also
καί 	 conjunction 	 even 	 even, also
καί 	 conjunction 	 both 	 both ... and ... when used in the construction καί ... καί
καί 	 conjunction 	 and 	 both ... and ... when used in the construction καί ... καί
ἐρώμενος 	 noun 	 eromenos 	 he who is loved, one’s  beloved; an eromenos
ἐρώμενος 	 noun 	 catamite 	 a catamite
ἐραστής 	 noun 	 erastes 	 lover, erastes
ἐραστής 	 noun 	 lover 	 lover, erastes
ἐραστής 	 noun 	 admirer 	 fan, adherent, admirer
ἐραστής 	 noun 	 fan 	 fan, adherent, admirer
ἐραστής 	 noun 	 adherent 	 fan, adherent, admirer
ἀνήρ 	 noun 	 man 	 man
