	particle	い	562128	Used in compounds with certain sentence-ending particles to create a familiar effect
	particle	の	528682	indicates possession: of, -'s
	particle	は	454150	unique topic marker, often untranslatable
	particle	て	435936	saw but pretended not to see → turn a blind eye
	particle	た	412308	
🏠←🚶	particle	に	400494	particle for indirect objects; to
	particle	な	387456	sentence-final particle indicating emotion or mild emphasis
	particle	を	354736	accusative case particle: a grammatical marker following the direct object
	verb	だ	329627	to be
	particle	が	304201	Indicates the subject of a sentence
	particle	で	271809	at: indicating a location at which something happens
	particle	し	252746	
	pronoun	し	252746	third person personal pronoun; he, she, it
	particle	か	177003	particle marking alternatives in a list; "or&quot
	particle	と	168462	with with
	particle	も	143094	too; also; as well
	particle	ん	135029	
	particle	よ	130575	Indicates certainty, conviction, or emphasis
	pronoun	よ	130575	余 , me
	pronoun	私	82967	first-person singular pronoun: , me
?	pronoun	何	76935	what
	particle	わ	68888	
	particle	から	68312	from, out of
	pronoun	あ	60859	first-person personal pronoun: , me
	particle	ね	56704	emphasis and question marker particle; asks for confirmation; right?; eh?; isn't it, innit?
📥	verb	する	54151	to get; to do
🧍🧍🧍‍♂️	pronoun	彼	53454	distal demonstrative, something far off removed from both speaker and listener: that, yon
	particle	さ	52641	to
	pronoun	さ	52641	third person personal pronoun; they
🧍🧍	pronoun	君	41605	second-person personal pronoun: you
🔤	noun	言	39937	word
🧍	pronoun	俺	38583	me
	particle	や	38289	and/or
	noun	行	33434	row; line
	pronoun	ここ	27715	this place, area, or part . Can be juxtaposed with a phrase with で or に
1	pronoun	人	26994	second-person personal pronoun: you
	particle	ば	26411	kateikei, and in Classical Japanese, attaches to the mizenkei, to express the hypothetical condition: if
🧍?	pronoun	誰	26180	interrogative personal pronoun: who, whom
	particle	って	25300	
📺	noun	話	24173	episode; story
	particle	つ	23687	
	particle	ぞ	23066	a particle used at the end of sentences, which indicates certainty or emphasis
🧍	pronoun	僕	19452	me
	particle	だけ	19103	in a negative, limiting sense: only, just, limit
🧍	noun	者	18932	person
🕐←	adverb	今	18255	now
	particle	まで	15275	until, up to, as far as
	particle	どこ	15194	tr=dokoro|dot=: indicates rejection to an out of the question word or phrase: the extent of, the place of, the time of
	pronoun	どこ	15194	indefinite interrogative pronoun
🪦	noun	死	14939	death
	particle	へ	14791	to, towards
⌛	noun	時	14578	time
🚶<sub>🚶🚶</sub>	noun	前	13797	front
	noun	必要	12693	need
	adjective	必要	12693	necessary
🤗	noun	気	11831	chi; feeling
	noun	無	11783	null
👌	adjective	大丈夫	11401	ok
⌛	noun	時間	10888	time
	noun	一	10740	op
1	numeral	一	10740	one
	noun	家	10561	a house
T	noun	本当	10474	truth
T	adjective	本当	10474	true; real
	adverb	まだ	10444	yet; still
	pronoun	的	10057	he, she, it, that one
👨	noun	男	9654	man
🥳	noun	会	9621	meeting; party
	noun	年	9446	a year
☀️	noun	日	9352	sun; day
🧍	noun	方	9115	person
	noun	手	8878	a hand
	pronoun	じ	8802	
🧍🧍	noun	他	8258	other
	pronoun	そこ	8208	
🗣️	verb	電話	8164	to telephone; to phone; to call
☎️	noun	電話	8164	telephone
	adverb	すぐ	7892	at once
👹	noun	悪	7746	evil
	particle	なんて	7530	emphasizes disgust, contempt, or otherwise negative feelings of the speaker: whatever
👁️	noun	目	7390	eye; order
📍	noun	所	7350	place
🚗	noun	車	7186	wheel; car
	noun	分	7074	a minute
💰	noun	金	6763	money
👨‍💼	noun	様	6740	mister; mrs
🤗	adjective	様	6740	dear
🧍🧍	pronoun	あんた	6688	|you
	pronoun	こ	6637	此  you
	conjunction	また	6628	and, also
📍	noun	場所	6587	place; location
👨‍👧‍👦	noun	父	6561	father
🚶	noun	度	6535	step; time
	particle	べ	6525	
=	adjective	同じ	6368	equal; same
📝	noun	問題	6257	task; trouble; problem
	particle	え	6213	
	pronoun	子	5683	second-person pronoun: you of one's equals
🤝	noun	信	5617	trust
	noun	為	5147	use
🔩	noun	物	5007	thing
🧍	noun	人間	5004	person; man
👨‍👧‍👦	noun	パパ	4973	papa; father
🌍	noun	世界	4964	world
⬆️	noun	上	4933	up
	noun	女	4680	a woman
