pronoun 	 什麼 	  	  	 what 	 
interjection 	 這個 	  	  	 uh; um; er; you know 	 
pronoun 	 這個 	  	  	 this; this one 	 
interjection 	 謝謝 	  	  	 thanks; thank you 	 
interjection 	 ok 	  	  	  	 
pronoun 	 這裡 	  	  	 here 	 
conjunction 	 然後 	  	  	 then; after that; afterwards; and 	 
pronoun 	 這兒 	  	  	 here 	 
interjection 	 沒錯 	  	  	 correct; right; that's correct 	 
pronoun 	 這麼 	  	  	 so; such 	 
interjection 	 沒什麼 	  	  	 it doesn't matter; that's all right; never mind 	 
interjection 	 沒事 	  	  	 no problem; don't worry about it; that's OK; no worries 	 
conjunction 	 雖然 	  	  	 although 	 
interjection 	 拜託 	  	  	 please!; I beg of you 	 
interjection 	 感謝 	  	  	 thank you 	 
pronoun 	 當時 	  	  	 at that time; at the time 	 
preposition 	 通過 	  	  	  	 
conjunction 	 無論 	  	  	 no matter what, how, etc.; regardless of; whether 	 
interjection 	 將軍 	  	  	 check 	 
conjunction 	 否則 	  	  	 otherwise; or else 	 
determiner 	 幾個 	  	  	 a few; several; some; a handful 	 
interjection 	 客氣 	  	  	 you're welcome 	 
interjection 	 乾杯 	  	  	 cheers!; bottoms up! 	 
particle 	 の 	  	  	  	 
preposition 	 根據 	  	  	  	 
interjection 	 請問 	  	  	 please; excuse me; may I ask you a question? 	 
conjunction 	 接著 	  	  	 then; next; and then 	 
pronoun 	 寶寶 	  	  	 a cute-sounding first-person pronoun usually used by females: ; me 	 
conjunction 	 藉由 	  	  	 relying on, through 	 
preposition 	 作為 	  	  	  	 
preposition 	 經過 	  	  	  	 
pronoun 	 這些 	 these 	 these 	 these 	 these
interjection 	 fighting 	  	  	 go for it to put maximum effort into achieving something 	 
particle 	 來著 	  	  	  	 
pronoun 	 各種 	  	  	 a variety of; all sorts of; all kinds of; a number of; every 	 
interjection 	 哈囉 	  	  	 hello 	 
interjection 	 哎喲 	  	  	 aiyo; hey; oh; ouch; ow expressing surprise, pain, annoyance, regret, frustration, admiration, etc 	 
pronoun 	 ta 	  	  	 他 that is explicitly gender-neutral: they; them 	 
interjection 	 阿門 	  	  	 amen! 	 
preposition 	 身為 	  	  	  	 
determiner 	 某個 	  	  	 a certain something 	 
interjection 	 幸會 	  	  	 pleased to meet you 	 
preposition 	 自從 	  	  	  	 
preposition 	 隨著 	  	  	  	 
conjunction 	 並且 	  	  	 and; moreover; furthermore 	 
interjection 	 哈羅 	  	  	 hello 	 
preposition 	 透過 	  	  	  	 
pronoun 	 何時 	  	  	 when; what time 	 
conjunction 	 同時 	  	  	 and; moreover; furthermore 	 
interjection 	 回見 	  	  	 goodbye 	 
pronoun 	 何處 	  	  	 what place; where 	 
interjection 	 敬禮 	  	  	 respectfully yours at the end of a letter 	 
interjection 	 失禮 	  	  	 I'm sorry; excuse me 	 
preposition 	 針對 	  	  	  	 
pronoun 	 幾歲 	  	  	 how old 	 
interjection 	 罪過 	  	  	 sorry; this is more than I deserve 	 
determiner 	 個個 	  	  	 each; every 	 
pronoun 	 個個 	  	  	 each one; everyone; every one 	 
preposition 	 難說 	  	  	  	 
particle 	 與否 	  	  	 whether or not 	 
preposition 	 依據 	  	  	  	 
pronoun 	 牠們 	  	  	 they; them 	 
interjection 	 老鄉 	  	  	 my dear sir! friendly form of address to an unacquainted countryman 	 
conjunction 	 何況 	  	  	 let alone; not to mention; much less 	 
pronoun 	 我們 	  	  	 we; us 	 
interjection 	 哪裡 	  	  	  	 
pronoun 	 哪裡 	  	  	 where 	 
