				
*swesrih x nos (NW) 	*swe ́so ̄r 	sister	sisters son	
*swesr(iy)o ́s 	*swe ́so ̄r 	sister	sisterly, sisters son	
*swı ̄g/k- (WC) 		be silent, hush		
*swoiniyeh a- (WC) 		wife's sister, sister-in-law		
*swombhos (WC) 		spongy		
*swo ́pniyom 	*swep- 	sleep	dream	
*swo ́pnos 	*swep- 	sleep	sleep, dream (noun)	
*sw(o)r-  *sworaks (WC) 		shrew		
*syo ̄(u)ros 		wife's brother		
*syuh 1- 		sew		
*t				
*tag- (WC) 		touch		
*ta ̄ ̆g- 		set in place, arrange		
*tago ́s 	*ta ̄ ̆g- 	arrange	leader	
*tak- (NW) 		be silent		
*taksos 		yew		
*t-at- 		father		
*tauros 		aurochs; bull		
*tegus 		thick, fat		
*t(e)h 2 us- (NW/PIE?) 		quiet, silent		
*teh a- 		to melt		
*teh ali (WC) 		of that sort or size		
*te ́h amot(s) (WC) 		then, at that place		
*te ́h awot(s) 		so many, so long		
*teig w- (WC) 		+side		
*tek- 		bear or beget a child		
*tek- 		run, Xow swiftly		
*teknom 	*tek- 	bear a child	child, oVspring	
*tekˆs- 		fabricate		
*tekˆso/eh a- 	*tekˆs- 	fabricate	axe, adze	
*tekˆsteh a- 	*tekˆs- 	fabricate	plate, bowl	
*tekˆs-(t)or/n- 	*tekˆs- 	fabricate	one who fabricates	
*telh 2- 		lift, raise		
*telh x- 		+pray		
*telh x-om 		Xoor (of planks)?		
*telk- (NW) 		push, thrust		
*telp- 		have room		
*tem- 		reach, attain		
*temh x- 		be struck, be exhausted		
*temp- 	*ten- 	pull	stretch	
*ten- 		pull, stretch		
*teng- 		think, feel		
*teng- (WC) 		to moisten, soak		
*tengh- 		be heavy, diYcult		
*teng(h)- 		pull		
*tengh-s- (NW) 	*ten- 	pull	pole	
*tenh8a g- (WC) 		shallow water?		
*tenk- 		become Wrm, thicken; shrink		
*tenkl8 	*tenk- 	become Wrm	buttermilk	
*ten-s- 	*ten- 	pull	pull	
*te ́nus 	*ten- 	pull	thin, long	
*tep- 		hot		
*ter- 		+speak out		
*ter- 		crossover		
*terg w- 		scare		
*terh 1- 		pierce, pierce by rubbing		
*te ́rh 1trom  *te ́rh1 dhrom (WC)				
	*terh1- 	pierce	auger	
*terh 2- 		bring across; overcome, through, above		
*ter(i)- (WC) 	*terh 1- 	pierce	rub, turn	
*TerK- 		release, allow		
*terk(w)- 		twist	spin)	
*termn- 	*ter- 	cross over	end, border; thread-end	
*terp- 		take (to oneself ), satisfy oneself 		
*te ́rptis 	*terp- 	satisfy oneself 	satisfaction	
*ters- 		dry		
*teter- 		gamebird		
*teu- 		look on with favour		
*teubh- 		steal		
*teuha- 		swell (with power), grow fat		
*teus- 		be happy		
*teus- 		to empty		
