						
abdomen 	*udero-, *ud s					
tero-						
able (be physically) 	*magh-	NW *gal-				
(ab)omasum 	*wenVst(r)-					
about 	*per					
above 	*terh₂-					
abundant 	*bhe ́ngˆhus	NW/PIE? *menegh-				
accept 	*dekˆ-, *nem-					
accomplish 	*sen(hₐ)-	NW *kob-				
accustomed 	*h₁euk-					
acid 		NW *suhₓ-ros				
acorn 	*gʷ elhₐ-					
acquainted with 	*gˆneh₃-					
across 	*terh₂-					
act hypocritically 		NW *leud-				
act vigorously 	*yeh₁-					
addition (in) 	*h₁eti					
adhere 	*leip-					
adjacent 			WC *pos			
advance 	*seh₁(i)-					
adze 	*h₄edhe ́s-, *tekˆso/ehₐ-					
afflict 	*hₐei-, *seh₄ i-					
affliction 	*hₐe ́ghlehₐ-					
afraid 	*bhibho ́ihₓ e		WC *hₐ egh-			
after 	*posti					
against 	*proti					
age 	*gˆerhₐ-					
age of vigour 	*hₐo ́yus					
agitate 	*twer-				E *weip-	
agitated 	*sret-					
ahead 	*pro					
aim 			WC *del-			
alas 	*eheu, wai					
alcove 	*gubho/ehₐ-					
alder 	*hₐe ́liso-, *werno/ehₐ-		WC *klehₐdhrehₐ-			
alive 	*h₂/3 wed-					
allow 	*TerK-					
alone 	*kaiwelos, *h₁oinos					
along 	*hₐ enhₐ e				E *hₐ en-u	
already 		NW *yam/yau				
amass 	*kr(e)u-bh-					
among 	*(s)me					
and 	*ar, *h₁ eti, *-kʷ e, *-yo, angelica 	NW *kˆwe ́ndhr/no-				
anger 			WC *h₁ o ́istro/ehₐ-			
angry 	*reus-, *seh₄ i-		WC *bhorgʷ o-	GA *kˆet-		
animal 	*gʷ ye ́h₃ wyom, *kʷ etwor-pod, *le ́uhₓ o ̄n					
animal (large domestic) 	*steuros					
animal (small) 			WC *meh₁l-			
animal (wild) 	*gˆhwe ̄r, *h₂we ́dr̥					
anoint (with salve), (be)smear 	*h₃ engʷ-					
(an)other 	*h₁ iteros		WC *sm̥ teros			
ant 	*morwi- ~ *morm- ~ *mouro-					
anus 	*kutso ́s, *puto ́s					C *pr̥h₃kˆto ́s
any 	*sm̥ mo ́s					
apart 	*seni/u-, *wi-		WC *dis-			
appear 	*kʷ ekˆ/gˆ-, *weik-		WC *prep-			
apple 	*hₐ ebVl-, *meh₂lom					
apportion 	*dap-					
apportion (er) 	*bhₐgos					
arch 			WC *kʷ elp-			
argue 	*h₄ ergʷ-, *mel-					
arm 	*dous-, *hₐ e ́rhₓ mos					
army 	*koryos					
around 	*h₂ entbhi-					
arrange 	*ta ̄ ̆g-					
arrow 		NW *hₐ e ́rkʷos		GA *h₁ ı ́sus		
as 			WC *kʷ ehₐ m			
ash 	*h₂ e ́hₓ o ̄s, *kenhₓ is	NW *perk-				
ash (tree) 	*h₃ es(k)-					
ask for 	*gʷ hedh-, *h₁/4 er-, *perkˆ-				E *yehₐ-	
aslant 				GA *dh83 gˆhmo ́s		
asp (fish) 	*ghe ́rsos					
aspen 	*h₂/3 osp-					
ass 	*os(o)nos		WC *mu ́(k)skos			
assail 	*hₐ ei-					
assert 	*h₄ ergʷ-					
at 			WC *hₐ ed			
at one time 	*sem-					
attach 	*hₐe ́r(hₓ)-	NW *(h₂)wer-				
attain 	*h₁enekˆ-, *tem-					
attempt 			WC *per-			
attention (pay) 	*bheudh-, *wer-					
auger 			WC *te ́rh₁ trom ~ *te ́rh₁ dhrom			
aurochs 	*tauros, *usr-					
autumn 	*h₁esen-					
avow 	*yek-					
awake 	*h₁ger-					
away 	*h₄eu, *hₐ et, *pro	NW *de ̄				
awl 	*hₓo ́lehₐ-					
awn 	*hₐekˆstı ́-					
axe 	*h₄edhe ́s-, *pelekˆus, *tekˆso/ehₐ-	NW *seku ̄r-	WC *hₐ egʷisy(e)hₐ-			
axle 	*hₐekˆs-					
babble 	*baba-, lal-					
back 	*h₄epe ́r-, *h₄e ́po					
back (side) 	*ku ́hₓ los					
bad 	*dus-, *h₃ ligos, *melo-					
badger 		NW *meli-				
bag 	*bho ́lgˆhis-					
bake 	*pekʷ-		WC *bho ̄g-			
bald 	*kl̥hₓ wos	NW/WC? *gol(hₓ)wos				
bar 			WC *klehₐ wis			
bare 	*ne/ogʷ no ́s	NW/WC? *gol(hₓ)wos,  *bho-				
so ́s						
bark (dog) 	*lehₐ-	NW *bhereg-	WC *baub-			
bark (tree) 			WC *lo ́ubho/ehₐ-			
barley 	*gˆhre ́sdh(i), *h₂ e ́lbhit, *meigˆ(h)-	NW *bhₐr-es-	WC /PIE? *h₂ ed-,  *bhₐ ́rs			
barren 	*ster-					
barter 	*per-					
basin 			WC *louh₁trom			
basket 		NW *kreb-,  *kʷ as-				
bast 			WC *lo ̄p-,  *lo ́ubho/ehₐ-			
bathe 			WC *leuh₁-			
be 	*bheu(hₓ)-, *h₁ es-					
beam 	*kˆred-		WC *bhe ́lhₐ gˆs			
bean 			WC *bhₐbhehₐ-,  *bhₐkˆo ́/ehₐ-			
bear (a child) 	*bhe ́re/o-, *seu(hₓ)-,*tek-		WC *pelhₓ-			
