person       	gender   	plurality	declension	
1            	neuter   	singular 	🧍         
1            	masculine	singular 	🧍‍♂️      
1            	feminine 	singular 	🧍‍♀️      
1            	neuter   	dual     	🧑‍🤝‍🧑     
1            	masculine	dual     	👬         
1            	feminine 	dual     	👭         
1            	neuter   	plural   	🧑‍🤝‍🧑     
1            	masculine	plural   	👬         
1            	feminine 	plural   	👭         
2            	neuter   	singular 	🧍🧍        
2            	masculine	singular 	🧍🧍‍♂️     
2            	feminine 	singular 	🧍🧍‍♀️     
2            	neuter   	dual     	🧍🧑‍🤝‍🧑    
2            	masculine	dual     	🧍👬        
2            	feminine 	dual     	🧍👭        
2            	neuter   	plural   	🧍🧑‍🤝‍🧑    
2            	masculine	plural   	🧍👬        
2            	feminine 	plural   	🧍👭        
3            	neuter   	singular 	🧍🧍🐍       
3            	masculine	singular 	🧍🧍🧍‍♂️    
3            	feminine 	singular 	🧍🧍🧍‍♀️    
3            	neuter   	dual     	🧍🧍🧑‍🤝‍🧑   
3            	masculine	dual     	🧍🧍👬       
3            	feminine 	dual     	🧍🧍👭       
3            	neuter   	plural   	🧍🧍🧑‍🤝‍🧑   
3            	masculine	plural   	🧍🧍👬       
3            	feminine 	plural   	🧍🧍👭         
interrogative	neuter   	singular 	🐍?        
interrogative	masculine	singular 	🧍‍♂️?     
interrogative	feminine 	singular 	🧍‍♀️?     
interrogative	neuter   	dual     	🧑‍🤝‍🧑?    
interrogative	masculine	dual     	👬?        
interrogative	feminine 	dual     	👭?        
interrogative	neuter   	plural   	🧑‍🤝‍🧑?    
interrogative	masculine	plural   	👬?        
interrogative	feminine 	plural   	👭?        
demonstrative	neuter   	singular 	🐍←        
demonstrative	masculine	singular 	🧍‍♂️←     
demonstrative	feminine 	singular 	🧍‍♀️←     
demonstrative	neuter   	dual     	🧑‍🤝‍🧑←    
demonstrative	masculine	dual     	👬←        
demonstrative	feminine 	dual     	👭←        
demonstrative	neuter   	plural   	🧑‍🤝‍🧑←    
demonstrative	masculine	plural   	👬←        
demonstrative	feminine 	plural   	👭←        
             
