# person	plurality	formality  	gender   	nominative	accusative	genitive	dative	possessive
1       	singular 	nonspecific	         	ich       	mich      	meiner  	mir   	mein      
2       	singular 	familiar   	         	du        	dich      	deiner  	dir   	dein      
2       	singular 	polite     	masculine	er        	ihn       	seiner  	ihm   	sein      
3       	singular 	nonspecific	masculine	er        	ihn       	seiner  	ihm   	sein      
3       	singular 	nonspecific	feminine 	sie       	sie       	ihrer   	ihr   	ihr       
3       	singular 	nonspecific	neuter   	es        	es        	seiner  	ihm   	sein      
1       	plural   	nonspecific	neuter   	wir       	uns       	unser   	uns   	unser     
2       	singular 	elevated   	neuter   	Ihr       	Euch      	Euer    	Euch  	Euer      
2       	plural   	elevated   	neuter   	Ihr       	Euch      	Euer    	Euch  	Euer      
2       	plural   	familiar   	neuter   	ihr       	euch      	euer    	euch  	euer      
2       	singular 	polite     	neuter   	Sie       	Sie       	Ihrer   	Ihnen 	Ihr       
2       	plural   	polite     	neuter   	Sie       	Sie       	Ihrer   	Ihnen 	Ihr       
3       	plural   	nonspecific	neuter   	sie       	sie       	ihrer   	ihnen 	ihr       
