a 	[a~aː]  <div style="font-size:small;">As u in cut when short.  Similar to a in father when long. </div>
e 	[ɛ~eː]  <div style="font-size:small;">As e in pet when short.  Similar to ey in they when long. </div>
i 	[ɪ~iː]  <div style="font-size:small;">As i in sit when short.  Similar to i in machine when long. </div>
o 	[ɔ~oː]  <div style="font-size:small;">As o in sort when short.  Similar to o in holy when long. </div>
y 	[ʏ~yː]  <div style="font-size:small;">Mostly used in Greek loanwords, As in German Stück when short (or as short u or i).  As in German früh when long (or as long u or i)</div>

c  	[k]          <div style="font-size:small;">Always hard as k in sky, never soft as in cellar, cello, or social. ⟨k⟩ is a letter coming from Greek, but seldom used and generally replaced by c.                                                                                                       </div>
k  	[k]          <div style="font-size:small;">Always hard as k in sky, never soft as in cellar, cello, or social. ⟨k⟩ is a letter coming from Greek, but seldom used and generally replaced by c.                                                                                                       </div>
ch 	[kʰ]         <div style="font-size:small;">As ch in chemistry, and aspirated; never as in challenge or change (mostly used in Greek loanwords). Transliteration of Greek ⟨χ⟩.                                                                                                                        </div>
g  	[ɡ]          <div style="font-size:small;">Always hard as g in good, never soft as g in gem.                                                                                                                                                                                                         </div>
gn 	[gn~ŋn]      <div style="font-size:small;">As ngn in wingnut.                                                                                                                                                                                                                                        </div>
i  	[j]          <div style="font-size:small;">Sometimes at the beginning of a syllable, as y in yard, never as j in just.                                                                                                                                                                               </div>
l  	[l~ɫ]        <div style="font-size:small;">When doubled ⟨ll⟩ or before ⟨i⟩, as clear l in link (l exilis).[47][48] In all other positions, as dark l in bowl (l pinguis).                                                                                                                            </div>
n  	[n]          <div style="font-size:small;">As n in man.                                                                                                                                                                                                                                              </div>
p  	[p]          <div style="font-size:small;">As p in spy, never aspirated.                                                                                                                                                                                                                             </div>
ph 	[pʰ]         <div style="font-size:small;">As p in party, always aspirated; never as in photo when being pronounced in English (mostly used in Greek loanwords). Transliteration of Greek ⟨φ⟩.                                                                                                       </div>
qu 	[kʷ]         <div style="font-size:small;">Similar to qu in quick, never as qu in antique.                                                                                                                                                                                                           </div>
quu	[kʷɔ~kʷu~ku] <div style="font-size:small;">There were two trends: the educated and popular pronunciation. Within educated circles it was pronounced [kʷɔ], evoking the Old Latin pronunciation (equos, sequontur); meanwhile, within popular circles it was pronounced [ku] (ecus, secuntur).[49][50]</div>
r  	[r]          <div style="font-size:small;">As r in Italian and several Romance languages.                                                                                                                                                                                                            </div>
rh 	[rₒ]         <div style="font-size:small;">As r in Italian and several Romance languages (mostly used in Greek loanwords); e.g. diarrhoea ⟨διάῤῥοια⟩; but it is voiceless (see Voiceless alveolar trill).                                                                                            </div>
s  	[s]          <div style="font-size:small;">As s in say, never as s in rise or measure.                                                                                                                                                                                                               </div>
t  	[t]          <div style="font-size:small;">As t in stay, never as t in nation.                                                                                                                                                                                                                       </div>
th 	[tʰ]         <div style="font-size:small;">As th in thyme, and aspirated; never as in thing, or that (mostly used in Greek loanwords). Transliteration of Greek ⟨θ⟩.                                                                                                                                 </div>
v  	[w]          <div style="font-size:small;">Sometimes at the beginning of a syllable, or after ⟨g⟩ and ⟨s⟩, as w in wine, never as v in vine.                                                                                                                                                         </div>
vu 	[wɔ~wu]      <div style="font-size:small;">as in some English accents one is pronounced, but without the nasal sound: parvus /ˈpɐr.wɔs/, vivunt /ˈwiː.wɔnt/. The spelling vu is post-classical (in order to become regular in spelling).[49][51]                                                     </div>
x  	[k͡s]        <div style="font-size:small;">A letter representing ⟨c⟩ + ⟨s⟩, as well as ⟨g⟩ + ⟨s⟩: as x in English axe, never as x in example.                                                                                                                                                        </div>
z  	[d͡z ~ zː]   <div style="font-size:small;">As in zoom, never as in pizza (mostly used in Greek loanwords). Transliteration of Greek ⟨ζ⟩.                                                                                                                                                             </div>

ae 	[ae]  <div style="font-size:small;">As aisle</div>
au 	[au]  <div style="font-size:small;">As out</div>
ei 	[ei]  <div style="font-size:small;">As ey in they</div>
eu 	[eu]  <div style="font-size:small;">As British pronunciation of low</div>
oe 	[oe]  <div style="font-size:small;">As boy</div>
ui 	[ui]  <div style="font-size:small;">As Spanish muy</div>
yi 	[ʏɪ]  <div style="font-size:small;">Transliteration of the Greek diphthong ⟨υι⟩</div>
