mood	emoji	bubble-style	bubble-type	prescene	postscene	example-text	explanation
indicative	\p1{🧑\g1\c1}	affirmative	speech				
subjunctive	\p1{🤷\c1\g1}	affirmative	thought		→…	[even if]	Event is considered unlikely (mainly used in dependent clauses)
conditional	\p1{🤷\c1\g1}	affirmative	thought	…→		[if so, then]	Event depends upon another condition.
optative	\p1{\raised{🤞\c1}🧑\g1\c1}	affirmative	speech			[may it be]	Event is hoped, expected, or awaited.
benedictive	\p1{\lowered{🙏\c1}🧑\g1\c1}	affirmative	speech			[may it be]	Event is blessed by the speaker
jussive	\p1{🙇\c1\g1}	affirmative	speech			[it should be]	Event is pleaded, implored or asked.
potential	\p1{🧑\g1\c1}	affirmative	thought			[it's likely]	Event is probable or considered likely.
imperative	\p1{🤴\g1\c1}	affirmative	speech			[I command that]	Event is directly ordered or requested by the speaker.
prohibitive	\p1{🤴\g1\c1}	negative	speech			[I forbid that]	Event is directly prohibited by the speaker.
desiderative	\p1{🧑\g1\c1}	affirmative	speech	\raised{🤞\cs}\subject			Event is desired/wished by the subject
dubitative	\p1{🤷\c1\g1}	affirmative	speech			[maybe]	Event is uncertain, doubtful, dubious.
hypothetical	\p1{🤷\c1\g1}	affirmative	speech	∃		[it's at least possible]	Event is hypothetical, or it is counterfactual, but possible.
presumptive	\p1{🤷\c1\g1}	affirmative	speech	⊦		[suppose that]	Event is assumed, presupposed by the speaker.
permissive	\p1{\chestlevel{\mirror{👍\c1}}🧑\g1\c1}	affirmative	speech			[I'm fine that]	Event is permitted by the speaker.
admirative	\p1{🧑\g1\c1}	affirmative	speech		!	[wow!]	Event is genuinely surprising or amazing
ironic-admirative	\p1{🙎\c1\g1}	affirmative	speech		!	[gee!]	Event is surprising or amazing, in irony or sarcasm
hortative	\p1{\raised{✊\c1}🧑\g1\c1}	affirmative	speech		!	[may it be]	Event is exhorted, implored, insisted or encouraged by speaker.
eventitive	\p1{🧑\g1\c1}	affirmative	speech	…→		[if so, it's likely]	Event is likely but depends upon a condition. 
precative	\p1{\lowered{\flip{🤲\c1}}🧑\g1\c1}	affirmative	speech		?	[please, can it be that]	Event is requested by the speaker.
volitive	\p1{\raised{🤞\c1}🙍\c1\g1}	affirmative	speech			[if only]	Event is desired, wished or feared by the speaker.
involutive	\p1{\raised{🤞\c1}🙍\c1\g1}	negative	speech			[heaven forbid]	Event is feared by the speaker.
inferential	\p1{💁\c1\g1}	affirmative	quote			[it is said that]	Event is nonwitnessed, and not confirmed.
necessitative	\p1{🙇\c1\g1}	affirmative	speech		!	[it is imperative that]	Event is necessary, or it is both desired and encouraged. 
interrogative	\p1{🤷\c1\g1}	affirmative	speech		?	[is it true that]	Event is asked or questioned by the speaker 
injunctive	\p1{🧑\g1\c1\⚖️}	affirmative	speech			[I intend]	Event is intended by the speaker
suggestive	\p1{\raised{☝\c1}🧑\g1\c1}	affirmative	speech			[I suggest]	Event is proposed by the speaker
comissive	\p1{\raised{✋\c1}🧑\g1\c1}	affirmative	speech			[I vow]	Event is committed to by the speaker, such as by promise or threat
deliberative	\p1{💁\c1\g1}	affirmative	speech		?	[shall it be]	Event is considered by the speaker, asking for confirmation
propositive	\p1{🤷\c1\g1}	affirmative	speech		?	[should it be]	Event is proposed by the speaker, asking for consideration
dynamic	\p1{🧑\g1\c1}	affirmative	speech	\chestlevel{💪\cs}\subject			Event is able to be done by the subject
							
							
							
							
