person→		1	2	3		1	2	3			
plurality→		singular	singular	singular	plural	singular	singular	singular	plural		
tense→		present	present	present	present	past	past	past	past	perfect	imperfect
be     	featured language	am	are	is	are	was	were	was	were	been	being
be [inherently]	spanish, old-english	am [inherently]	are [inherently]	is [inherently]	are [inherently]	was [inherently]	were [inherently]	was [inherently]	were [inherently]	been [inherently]	being [inherently]
be [temporarily]	spanish, old-english	am [temporarily]	are [temporarily]	is [temporarily]	are [temporarily]	was [temporarily]	were [temporarily]	was [temporarily]	were [temporarily]	been [temporarily]	being [temporarily]
do	common	do	do	does	do	did	did	did	did	done	doing
go     	common	go	go	goes	go	went	went	went	went	gone	going
want	common	want	want	wants	want	wanted	wanted	wanted	wanted	wanted	wanting
have   	common	have	have	has	have	had	had	had	had	had	having
have [in my posession]	spanish	have [in my posession]	have [in my posession]	has [in my posession]	have [in my posession]	had [in my posession]	had [in my posession]	had [in my posession]	had [in my posession]	had [in my posession]	having [in my posession]
give	common	give	give	gives	give	gave	gave	gave	gave	given	giving
say	common	say	say	say	say	said	said	said	said	said	saying
be able	common	can	can	can	can	could	could	could	could	been able	being able
live	common	live	live	lives	live	lived	lived	lived	lived	lived	living
read	common	read	read	reads	read	read	read [in the past]	read [in the past]	read [in the past]	read	reading
carry	common	carry	carry	carries	carry	carried	carried	carried	carried	carried	carrying
become	common	become	become	becomes	become	became	became	became	became	become	becoming
eat	common	eat	eat	eats	eat	ate	ate	ate	ate	eaten	eating
write	russian	write	write	writes	write	wrote	wrote	wrote	wrote	written	writing
see	russian	see 	see	sees	see	saw	saw	saw	saw	seen	seeing
choose 	french	choose	choose	chooses	choose	chose	chose	chose	chose	chosen	choosing
love	common	love	love	loves	love	loved	loved	loved	loved	loved	loving
sew	common	sew	sew	sews	sew	sewed	sewed	sewed	sewed	sewn	sewing
know	spanish	know	know	knows	know	knew	knew	knew	knew	known	knowing
drive	spanish	drive	drive	drives	drive	drive	drive	drive	drive	driven	driving
draw	russian	draw	draw	draws	draw	drew	drew	drew	drew	drawn	drawing
drink	russian	drink	drink	drinks	drink	drank	drank	drank	drank	drunken	drinking
steal	russian	steal	steal	steals	steal	stole	stole	stole	stole	stolen	stealing
swim	russian	swim	swim	swims	swim	swam	swam	swam	swam	swum	swimming
sink	russian	sink	sink	sinks	sink	sunk	sunk	sunk	sunk	sunken	sinking
forgive	russian	forgive	forgive	forgives	forgive	forgave	forgave	forgave	forgave	forgiven	forgiving
beat	russian	beat	beat	beats	beat	beated	beated	beated	beated	beaten	beating
call	russian	call	call	calls	call	called	called	called	called	called	calling
return	russian	return	return	returns	return	returned	returned	returned	returned	returned	returning
spit	russian	spit	spit	spits	spit	spat	spat	spat	spat	spat	spitting
dance	russian	dance	dance	dance	dance	danced	danced	danced	danced	danced	dancing
bake	russian	bake	bake	bakes	bake	baked	baked	baked	baked	baked	baking
lead	russian	lead	lead	leads	lead	leaded	leaded	leaded	leaded	leaded	leading
sweep	russian	sweep	sweep	sweeps	sweep	swept	swept	swept	swept	swept	sweeping
row	russian	row	row	rows	row	rowed	rowed	rowed	rowed	rowed	rowing
convey	russian	convey	convey	conveys	convey	conveyed	conveyed	conveyed	conveyed	conveyed	conveying
climb	russian	climb	climb	climbs	climb	climbed	climbed	climbed	climbed	climbed	climbing
wash	russian	wash	wash	washes	wash	washed	washed	washed	washed	washed	washing
wind	russian	wind	wind	winds	wind	winded	winded	winded	winded	winded	winding
