proform	person	number	formality	gender	nominative	accusative	genitive	dative	ablative	instrumental	locative
personal	1	singular		masculine	I♂	me♂	mine♂	me♂	me♂	me♂	me♂
personal	1	singular		feminine	I♀	me♀	mine♀	me♀	me♀	me♀	me♀
personal	1	singular		neuter	I	me	mine	me	me	me	me
personal	2	singular	familiar	masculine	you♂	you♂	yours♂	you♂	you♂	you♂	you♂
personal	2	singular	familiar	feminine	you♀	you♀	yours♀	you♀	you♀	you♀	you♀
personal	2	singular	familiar	neuter	you	you	yours	you	you	you	you
personal	2	singular	polite	masculine	you♂ [politely]	you♂ [politely]	yours♂ [politely]	you♂ [politely]	you♂ [politely]	you♂ [politely]	you♂ [politely]
personal	2	singular	polite	feminine	you♀ [politely]	you♀ [politely]	yours♀ [politely]	you♀ [politely]	you♀ [politely]	you♀ [politely]	you♀ [politely]
personal	2	singular	polite	neuter	you [politely]	you [politely]	yours [politely]	you [politely]	you [politely]	you [politely]	you [politely]
personal	2	singular	elevated	masculine	you♂ [elevated]	you♂ [elevated]	yours♂ [elevated]	you♂ [elevated]	you♂ [elevated]	you♂ [elevated]	you♂ [elevated]
personal	2	singular	elevated	feminine	you♀ [elevated]	you♀ [elevated]	yours♀ [elevated]	you♀ [elevated]	you♀ [elevated]	you♀ [elevated]	you♀ [elevated]
personal	2	singular	elevated	neuter	you [elevated]	you [elevated]	yours [elevated]	you [elevated]	you [elevated]	you [elevated]	you [elevated]
personal	2	singular	formal	masculine	you [sir]	you [sir]	yours [sir]	you [sir]	you [sir]	you [sir]	you [sir]
personal	2	singular	formal	feminine	you [ma'am]	you [ma'am]	yours [ma'am]	you [ma'am]	you [ma'am]	you [ma'am]	you [ma'am]
personal	2	singular	formal	neuter	you [respectfully]	you [respectfully]	yours [respectfully]	you [respectfully]	you [respectfully]	you [respectfully]	you [respectfully]
personal	2	singular	tuteo		you	you	yours	you	you	you	you
personal	2	singular	voseo		you [voseo]	you [voseo]	yours [voseo]	you [voseo]	you [voseo]	you [voseo]	you [voseo]
personal	3	singular		masculine	he	him	his	him	him	him	him
personal	3	singular		feminine	she	her	hers	her	her	her	her
personal	3	singular		neuter	it	it	its	it	it	it	it
personal	1	dual		masculine	we both♂	us both♂	both of ours♂	us both♂	us both♂	us both♂	us both♂
personal	1	dual		feminine	we both♀	us both♀	both of ours♀	us both♀	us both♀	us both♀	us both♀
personal	1	dual		neuter	we both	us both	both of ours	us both	us both	us both	us both
personal	2	dual	familiar	masculine	you both♂	you both♂	both of yours♂	you both♂	you both♂	you both♂	you both♂
personal	2	dual	familiar	feminine	you both♀	you both♀	both of yours♀	you both♀	you both♀	you both♀	you both♀
personal	2	dual	familiar	neuter	you both	you both	both of yours	you both	you both	you both	you both
personal	2	dual	polite	masculine	both you♂ [politely]	you both♂ [politely]	both of yours♂ [politely]	you both♂ [politely]	you both♂ [politely]	you both♂ [politely]	you both♂ [politely]
personal	2	dual	polite	feminine	both you♀ [politely]	you both♀ [politely]	both of yours♀ [politely]	you both♀ [politely]	you both♀ [politely]	you both♀ [politely]	you both♀ [politely]
personal	2	dual	polite	neuter	both you [politely]	you both [politely]	both of yours [politely]	you both [politely]	you both [politely]	you both [politely]	both of you [politely]
personal	2	dual	elevated	masculine	both you♂ [elevated]	you both♂ [elevated]	both of yours♂ [elevated]	you both♂ [elevated]	you both♂ [elevated]	you both♂ [elevated]	you both♂ [elevated]
personal	2	dual	elevated	feminine	both you♀ [elevated]	you both♀ [elevated]	both of yours♀ [elevated]	you both♀ [elevated]	you both♀ [elevated]	you both♀ [elevated]	you both♀ [elevated]
personal	2	dual	elevated	neuter	both you [elevated]	you both [elevated]	both of yours [elevated]	you both [elevated]	you both [elevated]	you both [elevated]	both of you [elevated]
personal	2	dual	formal	masculine	both you [sir]	you both [sir]	both of yours [sir]	you both [sir]	you both [sir]	you both [sir]	both of you [sir]
personal	2	dual	formal	feminine	both you [ma'am]	you both [ma'am]	both of yours [ma'am]	you both [ma'am]	you both [ma'am]	you both [ma'am]	both of you [ma'am]
personal	2	dual	formal	neuter	both you [respectfully]	you both [respectfully]	both of yours [respectfully]	you both [respectfully]	you both [respectfully]	you both [respectfully]	both of you [respectfully]
personal	2	dual	tuteo		you both	you both	both of yours	you both	you both	you both	you both
personal	2	dual	voseo		you both	you both	both of yours	you both	you both	you both	you both
personal	3	dual		masculine	they♂ both	them♂ both	both of theirs♂	them♂ both	them♂ both	them♂ both	them♂
personal	3	dual		feminine	they♀ both	them♀ both	both theirs♀	them♀ both	them♀ both	them♀ both	them♀
personal	3	dual		neuter	they both	them both	both theirs	them both	them both	them both	them
personal	1	plural		masculine	we♂	us♂	ours♂	us♂	us♂	us♂	us♂
personal	1	plural		feminine	we♀	us♀	ours♀	us♀	us♀	us♀	us♀
personal	1	plural		neuter	we	us	ours	us	us	us	us
personal	2	plural	familiar	masculine	you all♂	you all♂	all of yours♂	you all♂	you all♂	you all♂	you all♂
personal	2	plural	familiar	feminine	you all♀	you all♀	all of yours♀	you all♀	you all♀	you all♀	you all♀
personal	2	plural	familiar	neuter	you all	you all	all of yours	you all	you all	you all	you all
personal	2	plural	polite	masculine	all you♂ [politely]	you all♂ [politely]	all of yours♂ [politely]	you all♂ [politely]	you all♂ [politely]	you all♂ [politely]	you all♂ [politely]
personal	2	plural	polite	feminine	all you♀ [politely]	you all♀ [politely]	all of yours♀ [politely]	you all♀ [politely]	you all♀ [politely]	you all♀ [politely]	you all♀ [politely]
personal	2	plural	polite	neuter	all you [politely]	you all [politely]	all of yours [politely]	you all [politely]	you all [politely]	you all [politely]	all of you [politely]
personal	2	plural	elevated	masculine	all you♂ [elevated]	you all♂ [elevated]	all of yours♂ [elevated]	you all♂ [elevated]	you all♂ [elevated]	you all♂ [elevated]	you all♂ [elevated]
