english	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated		english	translated	emoji
infinitive	infinitive	infinitive	participle	participle	participle	participle	participle	participle	participle	participle	participle	participle		argument	argument	
	present	future	present	present	present	present	present	perfect	perfect	perfect	perfect	perfect				
				masculine	feminine	neuter	plural		masculine	feminine	neuter	plural	group			
be	sein	sein werden	seiend 	seiender	seiende	seiendes	seiende	gewesen 	gewesener	gewesene	gewesenes	gewesene 	irregular	well	wohlauf	\nx{🧘\cx\gx}
do	tun	tun werden	tuend 	tuender	tuende	tuendes	tuende	getan 	getaner	getane	getanes	getane 	irregular	work	arbeitet	\nx{🧑\gx\cx\🏭}
go	geben	geben werden	gebend 	gebender	gebende	gebendes	gebende	gegeben 	gegebener	gegebene	gegebenes	gegebene 	irregular	to school	zur Schule	<big>🏫</big><span style='font-size:60%'>←\nx{🚶\cx\gx}</span>
become	werden	werden werden	werdend 	werdender	werdende	werdendes	werdende	geworden 	gewordener	gewordene	gewordenes	gewordene	irregular	strong	stark	\nx{🏋️\cx\gx}
may	dürfen	dürfen werden	dürfend 	dürfender	dürfende	dürfendes	dürfende	gedurft 	gedurfter	gedurfte	gedurftes	gedurfte 	irregular	ride his bike to school	mit dem Fahrrad zur Schule fahren	💁🏽<big>🏫</big>←\nx{🚴\cx\gx}
have	haben	haben werden	habend 	habender	habende	habendes	habende	gehabt 	gehabter	gehabte	gehabtes	gehabte 	irregular	the money	das Geld	\nx{💁\cx\gx}<sub>💶</sub> 
love	lieben	lieben werden	liebend 	liebender	liebende	liebendes	liebende	geliebt 	geliebter	geliebte	geliebtes	geliebte 	regular -en verbs, weak	the pet	das Haustier	🐈<big>\nx{🧎\cx\gx}</big><sup>❤️</sup>
act	handeln	handeln werden	handelnd 	handelnder	handelnde	handelndes	handelnde	gehandelt 	gehandelter	gehandelte	gehandeltes	gehandelte 	regular -n verbs, weak	foolish	dumm	\nx{🤡}
work	arbeiten	arbeiten werden	arbeitend 	arbeitender	arbeitende	arbeitendes	arbeitende	gearbeitet 	gearbeiteter	gearbeitetet	gearbeitetes	gearbeitete 	regular -ten verbs, weak	at an office	in einem büro	\nx{🧑g1\cx\💼}
drive	fahren	fahren werden	fahrend 	fahrender	fahrende	fahrendes	fahrende	gefahren 	gefahrener	gefahrene	gefahrenes	gefahrene 	irregular -en verbs, strong	the car	das Auto	🚘←\nx{🚶\cx\gx}
																
																
																
																
																
																
																
