	# person	plurality	formality  	gender   	possessive
personal	1       	singular 		         	mein      
personal	2       	singular 	familiar   	         	dein      
personal	2       	singular 	polite     	masculine	sein      
personal	3       	singular 		masculine	sein      
personal	3       	singular 		feminine 	ihr       
personal	3       	singular 		neuter   	sein      
personal	1       	plural   		neuter   	unser     
personal	2       	singular 	elevated   	neuter   	Euer      
personal	2       	plural   	elevated   	neuter   	Euer      
personal	2       	plural   	familiar   	neuter   	euer      
personal	2       	singular 	polite     	neuter   	Ihr       
personal	2       	plural   	polite     	neuter   	Ihr       
personal	3       	plural   		neuter   	ihr       
