#		
#verb	conjugation	
be	irregular	
see	irregular	
give	irregular	
give	irregular	
eat	irregular	
live	irregular	
call	irregular	
go	irregular	
write	irregular	
read	1	
return	1	-нуть
draw	1	-овать
spit	1	-евать
dance	1	-евать
be able	1	-чь
bake	1	-чь
carry	1	-сти
lead	1	-сти
sweep	1	-сти
row	1	-сти
steal	1	-сть
convey	1	-зти
climb	1	-зть
wash	1	-ыть
beat	1	
wind	1	
pour	1	
drink	1	
sew	1	
live	1	
swim	1	
pass for	1	
speak	2	
love	2	-бить
catch	2	-вить
sink	2	-пить
feed	2	-мить
ask	2	-сить
convey	2	-зить
pay	2	-тить
go	2	-дить
forgive	2	-стить
