	        	         	          	          	       	possessive	possessive	possessive
proform	number  	person   	type      	nominative	oblique	common    	neuter    	plural    
personal	singular	1        	          	jag       	mig    	min       	mitt      	mina      
personal	singular	2        	          	du        	dig    	din       	ditt      	dina      
personal	singular	3        	masculine 	han       	honom  	hans      	hans      	hans      
personal	singular	3        	feminine  	hon       	henne  	hennes    	hennes    	hennes    
personal	singular	3        	neuter    	hen       	henom  	hens      	hens      	hens      
personal	singular	3        	common    	den       	den    	dess      	dess      	dess      
personal	singular	3        	neuter    	det       	det    	dess      	dess      	dess      
personal	singular	3        	indefinite	man       	en     	ens       	ens       	ens       
personal	plural  	1        		vi        	oss    	vår       	vårt      	våra      
personal	plural  	2        		ni        	er     	er        	ert       	era       
personal	plural  	3        		de        	dem    	deras     	deras     	deras     
reflexive	singular		neuter    	          	sig    	sin       	sitt      	sina      
reflexive	plural  		neuter    	          	sig    	sin       	sitt      	sina      
