δημοκρατία	noun	δημοκρᾰτῐ́ᾱ
μία	numeral	εἷς
γραμματική	adjective	γρᾰμμᾰτῐκός
ἰουδαία	adjective	Ῐ̓ουδαῖος
ταχύ	adjective	ταχύς
λύω	verb	λῡ́ω
πρῶτον	adjective	πρῶτος
εὐθέως	adjective	εὐθύς
ἄρχομαι	verb	ἄρχω
ἥμισυ	adjective	ἥμισυς
τοῦ	pronoun	τίς
αὐτοῦ	pronoun	αὐτός
ὅπλα	noun	ὅπλον
ἀνδρός	noun	ἀνήρ
λύομεν	verb	λῡ́ω
λύετε	verb	λῡ́ω
λύουσι	verb	λῡ́ω
λύουσιν	verb	λῡ́ω
λύῃς	verb	λῡ́ω
λύῃ	verb	λῡ́ω
λύωμεν	verb	λῡ́ω
λύητε	verb	λῡ́ω
λύωσι	verb	λῡ́ω
λύωσιν	verb	λῡ́ω
ὁδοῦ	noun	ὁδός
θεά	noun	θεή
ἀνθρώπου	noun	ᾰ̓́νθρωπος
θεοῦ	noun	θεός
ψυχῆς	noun	ψῡχή
μοίρας	noun	μοῖρᾰ
νεώ	noun	νεώς
ναοῦ	noun	ναός
ἀληθείας	noun	ᾰ̓λήθειᾰ
στροφῆς	noun	στροφή
ἀγγέλου	noun	ἄγγελος
κοινή	adjective	κοινός
αἰγάγρου	noun	αἴγαγρος
σοφίας	noun	σοφῐ́ᾱ
μίαν	numeral	εἷς
βασιλεία	adjective	βᾰσῐ́λειος
σου	pronoun	σύ
ἕλληνες	noun	Ἕλλην
με	pronoun	ἐγώ
ἵππου	noun	ῐ̔́ππος
ἰδία	adjective	ῐ̓́δῐος
ἴδιον	adjective	ῐ̓́δῐος
σε	pronoun	σύ
ἄκρα	adjective	ᾰ̓́κρος
σοφόν	adjective	σοφός
ἄθεοι	adjective	ἄθεος
ἄρκτου	noun	ᾰ̓́ρκτος
βάρεος	noun	βᾰ́ρος
ἀγάπης	noun	ἀγάπη
ἀγνοίας	noun	ἄγνοια
ἀγροῦ	noun	ἀγρός
ἀδελφῆς	noun	ἀδελφή
ἀδύτου	noun	ἄδυτον
αἵματος	noun	αἷμα
αἰνίγματος	noun	αἴνιγμα
αἰσθήσεως	noun	αἴσθησις
ἀκακίας	noun	ἀκακία
ἀκάνθου	noun	ἄκανθος
ἀκῆς	noun	ᾰ̓κή
ἀναρχίας	noun	ᾰ̓νᾰρχῐ́ᾱ
ἄνθους	noun	ᾰ̓́νθος
ἀνθρακιᾶς	noun	ᾰ̓νθρᾰκῐᾱ́
ἀποκαλύψεως	noun	ᾰ̓ποκᾰ́λῠψῐς
λυκία	adjective	Λύκιος
ἀρμενία	adjective	Ἀρμένιος
ἀθηναία	adjective	Ἀθηναῖος
ἁγνή	adjective	ἁγνός
ἁγία	adjective	ἅγιος
λακωνική	adjective	Λᾰκωνῐκός
νίκης	noun	νίκη
οὐρανοῦ	noun	οὐρανός
ἐστί	verb	εἰμί
πλατεία	adjective	πλᾰτύς
πόλεων	noun	πόλῐς
ὄζον	noun	ὄζος
νέων	adjective	νέος
