pronoun 	 mi 	 14208
pronoun 	 vi 	 12125
particle 	 ne 	 9617
noun 	 ne 	 9617
verb 	 estas 	 9237
conjunction 	 kaj 	 6004
particle 	 ĉu 	 5241
preposition 	 de 	 5095
preposition 	 al 	 4747
pronoun 	 ni 	 4416
preposition 	 en 	 3671
conjunction 	 ke 	 3283
pronoun 	 li 	 3203
preposition 	 por 	 2654
particle 	 ĉi 	 2499
pronoun 	 tio 	 2433
conjunction 	 sed 	 2114
pronoun 	 ili 	 1974
adverb 	 tie 	 1840
adverb 	 kiel 	 1826
conjunction 	 kiel 	 1826
preposition 	 kiel 	 1826
pronoun 	 vin 	 1823
pronoun 	 min 	 1755
preposition 	 pri 	 1695
adverb 	 jes 	 1616
pronoun 	 kio 	 1547
preposition 	 kun 	 1538
determiner 	 mia 	 1518
noun 	 kion 	 1505
pronoun 	 ĝi 	 1408
pronoun 	 tiu 	 1331
determiner 	 tiu 	 1331
pronoun 	 kiu 	 1330
determiner 	 kiu 	 1330
determiner 	 via 	 1308
pronoun 	 tion 	 1276
adverb 	 bone 	 1274
pronoun 	 ŝi 	 1268
conjunction 	 se 	 1224
noun 	 se 	 1224
verb 	 volas 	 1220
verb 	 havas 	 1160
adverb 	 pli 	 1112
adverb 	 do 	 1099
noun 	 do 	 1099
pronoun 	 oni 	 1092
adverb 	 nur 	 1078
pronoun 	 ĝin 	 1048
adverb 	 nun 	 1031
adverb 	 kial 	 870
conjunction 	 kial 	 870
verb 	 devas 	 843
adverb 	 kiam 	 801
conjunction 	 kiam 	 801
pronoun 	 lin 	 788
preposition 	 el 	 769
adverb 	 ja 	 756
numeral 	 unu 	 739
interjection 	 nu 	 730
noun 	 nu 	 730
adverb 	 jam 	 712
adverb 	 kie 	 708
conjunction 	 kie 	 708
adverb 	 tiel 	 692
preposition 	 da 	 684
adverb 	 tre 	 671
adverb 	 ankaŭ 	 663
preposition 	 pro 	 663
preposition 	 sur 	 658
phrase 	 jen 	 629
particle 	 jen 	 629
interjection 	 jen 	 629
verb 	 diris 	 618
verb 	 estos 	 593
preposition 	 per 	 577
preposition 	 je 	 572
pronoun 	 vian 	 550
conjunction 	 aŭ 	 534
noun 	 sinjoro 	 525
interjection 	 ho 	 519
noun 	 ho 	 519
determiner 	 tiu 	 515
determiner 	 nia 	 508
verb 	 iru 	 507
pronoun 	 nin 	 502
pronoun 	 ĉio 	 495
conjunction 	 ĉar 	 495
adverb 	 ankoraŭ 	 483
adverb 	 vere 	 481
pronoun 	 mian 	 471
preposition 	 dum 	 469
adverb 	 plu 	 466
verb 	 esti 	 465
noun 	 dio 	 445
verb 	 diras 	 443
adverb 	 eĉ 	 440
verb 	 venu 	 433
interjection 	 ĝis 	 432
preposition 	 ĝis 	 432
adverb 	 eble 	 428
pronoun 	 ion 	 426
conjunction 	 ol 	 414
preposition 	 antaŭ 	 413
numeral 	 du 	 403
adverb 	 ĉiam 	 393
preposition 	 post 	 391
verb 	 fari 	 386
pronoun 	 iu 	 382
determiner 	 iu 	 382
adverb 	 tien 	 381
preposition 	 ĉe 	 380
adverb 	 plej 	 375
adverb 	 certe 	 364
pronoun 	 ĉio 	 362
noun 	 patro 	 360
adjective 	 bona 	 355
adjective 	 bonan 	 351
adverb 	 tuj 	 345
verb 	 faras 	 341
determiner 	 kia 	 340
verb 	 pensas 	 322
adverb 	 poste 	 322
verb 	 diru 	 318
verb 	 vidis 	 314
pronoun 	 mem 	 314
particle 	 mem 	 314
determiner 	 lia 	 305
noun 	 tempo 	 304
preposition 	 sen 	 301
adverb 	 tute 	 294
adverb 	 tro 	 291
noun 	 vivo 	 290
verb 	 vidas 	 284
verb 	 petas 	 280
verb 	 estu 	 279
preposition 	 laŭ 	 271
adverb 	 multe 	 267
verb 	 diri 	 262
adjective 	 granda 	 257
verb 	 venis 	 254
adverb 	 tamen 	 252
adverb 	 hodiaŭ 	 251
pronoun 	 ci 	 251
adverb 	 tiam 	 250
noun 	 homo 	 250
adjective 	 alia 	 245
verb 	 faru 	 239
verb 	 estus 	 238
pronoun 	 io 	 238
determiner 	 iom 	 237
verb 	 lasu 	 237
verb 	 vidi 	 227
interjection 	 ha 	 219
noun 	 jaroj 	 215
verb 	 iras 	 214
adverb 	 for 	 214
noun 	 mondo 	 211
verb 	 iri 	 211
interjection 	 ek 	 208
adverb 	 kien 	 207
verb 	 ŝatas 	 204
verb 	 volis 	 199
preposition 	 kontraŭ 	 199
numeral 	 tri 	 195
pronoun 	 sin 	 192
pronoun 	 ĉiu 	 192
determiner 	 ĉiu 	 192
adverb 	 ĝuste 	 192
pronoun 	 sia 	 188
determiner 	 tia 	 188
pronoun 	 sian 	 183
noun 	 tagon 	 182
adjective 	 sola 	 181
conjunction 	 nek 	 179
adverb 	 morgaŭ 	 172
verb 	 konas 	 172
verb 	 donu 	 172
adjective 	 bela 	 171
adverb 	 kune 	 170
adjective 	 kara 	 169
noun 	 filo 	 167
verb 	 gravas 	 165
verb 	 iros 	 164
adjective 	 alian 	 160
noun 	 nomo 	 159
verb 	 vidu 	 157
verb 	 venos 	 157
verb 	 venas 	 156
verb 	 sentas 	 154
noun 	 tero 	 150
verb 	 amas 	 149
verb 	 pensis 	 149
preposition 	 inter 	 146
adverb 	 longe 	 145
noun 	 tago 	 144
noun 	 milito 	 143
verb 	 restu 	 143
verb 	 timas 	 142
noun 	 reĝo 	 141
adverb 	 baldaŭ 	 139
adverb 	 preskaŭ 	 138
noun 	 morto 	 137
verb 	 ekzistas 	 135
noun 	 viro 	 134
preposition 	 tra 	 132
adverb 	 simple 	 132
verb 	 vivas 	 131
noun 	 domo 	 130
adverb 	 iam 	 129
pronoun 	 iu 	 129
determiner 	 iu 	 129
verb 	 aŭdis 	 129
verb 	 ĉesu 	 128
adjective 	 vera 	 128
preposition 	 sub 	 127
conjunction 	 kvazaŭ 	 126
noun 	 moŝto 	 118
verb 	 aŭdas 	 116
interjection 	 he 	 114
determiner 	 nian 	 112
noun 	 amo 	 112
determiner 	 ŝia 	 111
noun 	 virino 	 110
adjective 	 nova 	 110
noun 	 barono 	 109
noun 	 lando 	 106
