gratis 	 adverb 	 free 	 free, without charge
gratis 	 adverb 	 charge 	 free, without charge
gratis 	 adjective 	 free 	 free, without charge
gratis 	 adjective 	 charge 	 free, without charge
antonym 	 adjective 	 antonymous 	 antonymous
synonym 	 adjective 	 synonymous 	 synonymous
hyponym 	 noun 	 English 	 hyponym
verb 	 noun 	 English 	 verb
abort 	 noun 	 miscarriage 	 an abort, a miscarriage
abort 	 noun 	 abortion 	 abort, abortion
abrupt 	 adjective 	 sudden 	 abrupt, sudden
abrupt 	 adjective 	 English 	 abrupt, sudden
abrupt 	 adverb 	 suddenly 	 suddenly
abscess 	 noun 	 English 	 abscess
millennium 	 noun 	 English 	 a millennium, a period of one thousand years
nu 	 adverb 	 now 	 now, at this moment
robot 	 noun 	 missile 	 missile
absolutism 	 noun 	 dictatorship 	 absolute monarchy , dictatorship
absolutism 	 noun 	 absolute monarchy 	 absolute monarchy , dictatorship
absolutism 	 noun 	 abstaining 	 the principle of abstaining from alcohol
absolutism 	 noun 	 alcohol 	 the principle of abstaining from alcohol
absolutist 	 noun 	 teetotaller 	 a teetotaller; a person who completely abstains from alcohol
absolutist 	 noun 	 alcohol 	 a teetotaller; a person who completely abstains from alcohol
absolutist 	 noun 	 abstains 	 a teetotaller; a person who completely abstains from alcohol
absolutist 	 noun 	 despotism 	 an absolutist; a supporter of absolutism, despotism, dictatorship
absolutist 	 noun 	 dictatorship 	 an absolutist; a supporter of absolutism, despotism, dictatorship
absolutist 	 noun 	 absolutism 	 an absolutist; a supporter of absolutism, despotism, dictatorship
absolutist 	 noun 	 English 	 an absolutist; a supporter of absolutism, despotism, dictatorship
accept 	 noun 	 bill of exchange 	 a bill of exchange that has been accepted
accept 	 noun 	 bill of exchange 	 the acceptance of a bill of exchange
accept 	 noun 	 acceptance 	 the acceptance of a bill of exchange
acceptant 	 noun 	 bill of exchange 	 an accepter of a bill of exchange
acceptant 	 noun 	 accepter 	 an accepter of a bill of exchange
spring 	 noun 	 running 	 a running
spring 	 noun 	 w:Little Men 	 * 1918, ', the Swedish translation of Louisa M. Alcott, Little Men: Life at Plumfield with Jo's Boys
de 	 pronoun 	 they 	 they
en 	 pronoun 	 one 	 one; object form of man
en 	 pronoun 	 manSwedish 	 one; object form of man
en 	 pronoun 	 one 	 one
en 	 numeral 	 one 	 cardinal numbers one
en 	 noun 	 juniper 	 juniper
het 	 adjective 	 hot 	 hot; having a very high temperature
het 	 adjective 	 temperature 	 hot; having a very high temperature
het 	 adjective 	 hot 	 hot; feverish
het 	 adjective 	 feverish 	 hot; feverish
het 	 adjective 	 hot 	 hot;  spicy
het 	 adjective 	 spicy 	 hot;  spicy
het 	 adjective 	 hot 	 hot; radioactive
het 	 adjective 	 hot 	 hot;  physically very attractive
het 	 adjective 	 hot 	 hot; popular, in demand
van 	 adjective 	 used 	 accustomed to, used to, having the habit to
van 	 adjective 	 accustomed 	 accustomed to, used to, having the habit to
van 	 adjective 	 habit 	 accustomed to, used to, having the habit to
van 	 adjective 	 experienced 	 experienced, adept
van 	 adjective 	 adept 	 experienced, adept
te 	 noun 	 tea 	 tea
te 	 verb 	 appear 	 to appear
in 	 adverb 	 into 	 into, the direction "from out to in&quot
orange 	 adjective 	 orangeAdjective 	 orange
orange 	 noun 	 orangeNoun 	 orange
sky 	 noun 	 heaven 	 heaven
sky 	 noun 	 cloud 	 cloud
sky 	 noun 	 frying pan 	 The liquid that remains in a frying pan after the fried meat is ready
sky 	 verb 	 shun 	 To avoid , shun
sky 	 verb 	 avoid 	 To avoid , shun
o 	 interjection 	 OParticle 	 O
o 	 noun 	 omega 	 the Greek letter omega, being the last letter of the Greek alphabet
os 	 noun 	 operating system 	 operating system; operativsystem
os 	 noun 	 Olympic Games 	 the Olympic Games; olympiska spelen
ad 	 noun 	 vitamin A 	 a combination of vitamin A and D, given to children
ad 	 noun 	 vitamin D 	 a combination of vitamin A and D, given to children
bit 	 noun 	 English 	 bit
bit 	 noun 	 English 	 bit
bit 	 noun 	 English 	 bit
bit 	 noun 	 English 	 bit
bit 	 noun 	 English 	 bit
man 	 noun 	 English 	 man
man 	 noun 	 husband 	 husband
man 	 noun 	 troop 	 a member of a crew, workforce or  troop
man 	 noun 	 workforce 	 a member of a crew, workforce or  troop
man 	 noun 	 crew 	 a member of a crew, workforce or  troop
man 	 pronoun 	 one 	 one, they; people in general
man 	 pronoun 	 they 	 one, they; people in general
man 	 noun 	 mane 	 mane
be 	 verb 	 ask 	 to ask for, request someone else to do something
be 	 verb 	 pray 	 to pray
be 	 verb 	 beg 	 to beg, to plead with someone for help or for a favor
is 	 noun 	 water 	 Ice; frozen water
is 	 noun 	 ice 	 Ice; frozen water
is 	 noun 	 ice 	 Ice; a sheet of ice lying on a body of water
fart 	 noun 	 speed 	 speed
fart 	 noun 	 w:Pär Lagerkvist 	 * author=Pär Lagerkvist|title=Dvärgen|year=1944|passage=Jag ropade åt körsvennen att sätta upp farten, han klatschade med piskan och vi for iväg.|translation=I called to the driver to increase his pace; he cracked his whip and we rolled on.|newversion=translated as|title2=The Dwarf|year2=1945|translator2=Alexandra Dick
mandat 	 noun 	 mandate 	 mandate
port 	 noun 	 entrance 	 an entrance , a gate, a portal, a door, a doorway
port 	 noun 	 doorway 	 an entrance , a gate, a portal, a door, a doorway
port 	 noun 	 gate 	 an entrance , a gate, a portal, a door, a doorway
port 	 noun 	 door 	 an entrance , a gate, a portal, a door, a doorway
port 	 noun 	 portal 	 an entrance , a gate, a portal, a door, a doorway
hund 	 noun 	 dog 	 a dog; a hound
hund 	 noun 	 hound 	 a dog; a hound
os 	 noun 	 smell 	 smell, especially a strong smell originating from cooking
os 	 noun 	 cooking 	 smell, especially a strong smell originating from cooking
os 	 noun 	 mouth 	 a river mouth; the place where a creek, stream or river enters into a lake
onsdag 	 noun 	 week 	 Wednesday. The third day of the week
onsdag 	 noun 	 Wednesday 	 Wednesday. The third day of the week
bot 	 noun 	 fine 	 fine
bot 	 noun 	 böta 	 böta
bot 	 noun 	 bötfälla 	 bötfälla
bot 	 noun 	 remedy 	 cure; remedy
bot 	 noun 	 cure 	 cure; remedy
bot 	 noun 	 bota 	 bota
bot 	 noun 	 bot 	 bot robot
adverb 	 noun 	 English 	 adverb
ten 	 noun 	 stick 	 a rod, a stick
ten 	 noun 	 rod 	 a rod, a stick
stock 	 noun 	 log 	 a log
stock 	 noun 	 English 	 a stock
stock 	 noun 	 snus 	 a pack of snus, usually ten, wrapped in plastic film or packed in a light cardboard box
stock 	 noun 	 cardboard box 	 a pack of snus, usually ten, wrapped in plastic film or packed in a light cardboard box
stock 	 noun 	 pack 	 a pack of snus, usually ten, wrapped in plastic film or packed in a light cardboard box
stock 	 noun 	 plastic 	 a pack of snus, usually ten, wrapped in plastic film or packed in a light cardboard box
stock 	 noun 	 film 	 a pack of snus, usually ten, wrapped in plastic film or packed in a light cardboard box
aria 	 noun 	 English 	 an aria
jour 	 noun 	 duty 	 emergency duty, on call duty
jour 	 noun 	 emergency 	 emergency duty, on call duty
jour 	 noun 	 on call 	 emergency duty, on call duty
and 	 noun 	 duck 	 a wild duck
country 	 noun 	 country music 	 country music
bank 	 noun 	 sandbank 	 a sandbank
tax 	 noun 	 dachshund 	 a dachshund
metadata 	 noun 	 information 	 metadata; data about data, information about information
metadata 	 noun 	 data 	 metadata; data about data, information about information
metadata 	 noun 	 English 	 metadata; data about data, information about information
husband 	 noun 	 show 	 a group of musicians who regularly play live in a TV show
husband 	 noun 	 TV 	 a group of musicians who regularly play live in a TV show
husband 	 noun 	 live 	 a group of musicians who regularly play live in a TV show
global 	 adjective 	 universal 	 global, spanning the entire globe, the whole world, international, universal
global 	 adjective 	 international 	 global, spanning the entire globe, the whole world, international, universal
last 	 noun 	 cargo 	 cargo
last 	 noun 	 load 	 load; a burden
last 	 noun 	 habit 	 habit which is difficult to get rid of, vice
last 	 noun 	 vice 	 habit which is difficult to get rid of, vice
digital 	 adjective 	 English 	 digital; in  digital  form
radio 	 noun 	 receiver 	 radio; receiver
mars 	 noun 	 March 	 March
translation 	 noun 	 English 	 translation
standard 	 noun 	 norm 	 a standard, a norm
vi 	 pronoun 	 we 	 we
vi 	 adverb 	 why 	 why
vi 	 noun 	 sanctuary 	 sanctuary
acceleration 	 noun 	 velocity 	 acceleration; a change in velocity
accent 	 noun 	 emphasis 	 an accent, an emphasis, a stress
accent 	 noun 	 stress 	 an accent, an emphasis, a stress
accent 	 noun 	 mark 	 an accent, a mark on a letter
affix 	 noun 	 English 	 an affix
bio 	 noun 	 cinema 	 cinema
bio 	 noun 	 movies 	 the movies
general 	 noun 	 Air Chief Marshal 	 an Air Chief Marshal
index 	 noun 	 English 	 an index
storm 	 noun 	 winds 	 storm; heavy winds or weather associated with storm winds
ask 	 noun 	 European ash 	 the European ash  Fraxinus excelsior
ask 	 noun 	 Fraxinus excelsior 	 the European ash  Fraxinus excelsior
ask 	 noun 	 box 	 a small box
drink 	 noun 	 drinkEnglish 	 drink; a  alcoholic beverage
radar 	 noun 	 English 	 radar
president 	 noun 	 chairman 	 a chairman, presiding member of an assembly, e.g. a court of law
president 	 noun 	 English 	 a president, head of state in a republic
maskin 	 noun 	 machine 	 machine
tiger 	 noun 	 English 	 tiger
bomb 	 noun 	 English 	 a bomb
fy 	 interjection 	 phew 	 phew, shame; interjection expressing disapproval or disgust
fy 	 interjection 	 shame 	 phew, shame; interjection expressing disapproval or disgust
mental 	 adjective 	 mind 	 mental, pertaining to the mind
beige 	 adjective 	 English 	 beige
beige 	 adjective 	 boring 	 boring, uninteresting, negative
beige 	 adjective 	 negative 	 boring, uninteresting, negative
beige 	 adjective 	 uninteresting 	 boring, uninteresting, negative
green 	 noun 	 putting green 	 a green, putting green
green 	 noun 	 English 	 a green, putting green
pink 	 noun 	 pee 	 pee
silver 	 noun 	 coins 	 silver, coins of silver
silver 	 noun 	 cutlery 	 silver, cutlery of silver
silver 	 noun 	 silver medal 	 a silver medal, for 2nd place in a competition
trumpet 	 noun 	 trumpet 	 Q8338 trumpet
tempo 	 noun 	 speed 	 speed, tempo
pip 	 noun 	 beep 	 squeak, beep
pip 	 noun 	 squeak 	 squeak, beep
person 	 noun 	 human being 	 a human being
person 	 noun 	 individual 	 an individual
latin 	 noun 	 Latin 	 Latin language
or 	 noun 	 mite 	 a mite
pi 	 noun 	 English 	 pi, a constant
pi 	 noun 	 English 	 pi; a Greek letter
sol 	 noun 	 sun 	 sun
sol 	 noun 	 star 	 by extension a star, especially when one considers things in its surroundings
humor 	 noun 	 humour 	 humour
tennis 	 noun 	 tennisEnglish 	 tennis
ass 	 noun 	 A-flat 	 A-flat
ass 	 noun 	 insured 	 an insured letter; assurerat
