🧍	pronoun	tôi	479988	me
👎	particle	không	436425	
🧍🧍🧍‍♂️	pronoun	anh	314792	/me, a male who's  slightly older than you, or still young enough relative to you to be your older brother
	verb	là	304467	to be
🧍	pronoun	ta	218423	me
	particle	đi	173439	used sentence-finally to form the imperative
	conjunction	của	168035	of
⌛	particle	đã	163912	A past-tense marker: already; done
1	adjective	một	160092	one
1	numeral	một	160092	one
1	noun	một	160092	one
🗺️←	pronoun	đó	159964	there
📟	particle	sẽ	156441	will; shall
	pronoun	gì	156235	what; whatever
🦬🦬	pronoun	chúng	155858	they/them, those animals
	particle	chúng	155858	
👍	particle	được	149746	
∧	conjunction	và	141462	and
∃🤌	determiner	và	141462	some
👩	pronoun	cô	135953	/me, your paternal aunt
👍	particle	phải	135124	yes in response to a question containing phải
	verb	làm	134916	to do
🧍?	pronoun	người	130032	you
👍	particle	rồi	128983	already
←	determiner	này	124297	this
	preposition	cho	122544	
	particle	cho	122544	Used to emphasize để
	pronoun	đây	117596	this place here
	particle	đây	117596	
🧒	pronoun	em	112692	/me, someone who's presumably a little younger than you, or old enough relative to you to be your younger sibling
🧒	pronoun	con	110556	I/me, your child
👴	pronoun	ông	109311	you, my grandfather
📈?	adverb	sao	106398	why
⭐	noun	sao	106398	star
→🕳️	preposition	ở	102246	
💡	verb	biết	102061	to know
🗣️	verb	nói	100938	to speak; to talk; to say
🧍🧍🧍‍♀️	pronoun	nó	99707	he; him; she; her
🧍	noun	thể	95722	body
🙇	particle	với	91606	Used to indicate an earnest request
🧍🧍	preposition	với	91606	
	verb	ra	88056	to go out
	particle	vậy	87834	
🔁	adverb	lại	86922	again
🏠←🚶	verb	lại	86922	to come
←	adverb	thế	83926	that
	pronoun	cậu	81308	/me, your mother's brother
	determiner	nào	78619	which
	particle	nào	78619	
←	conjunction	để	78214	in order to, so that
♀️	adjective	cái	77723	female
🐄	noun	cái	77723	cow; female
	particle	đang	72580	
→🕳️	preposition	trong	70592	
	verb	muốn	70188	to want
	particle	như	68015	like
	pronoun	ấy	67755	you, my buddy/gal
	determiner	ấy	67755	that; those
	particle	ấy	67755	
∧	conjunction	nhưng	65586	but; yet
∧	conjunction	mà	65321	but
	particle	mà	65321	
	determiner	những	63775	Plural marker
	particle	những	63775	Emphasizes the quantity of noun: as many as; as much as
	particle	đâu	63641	no; not
	pronoun	khi	61372	when
🏠←🚶	preposition	đến	59249	
	pronoun	chỉ	57962	she; her
	preposition	về	55642	
🕰️	noun	giờ	54783	hour
	particle	thôi	53775	that's all; merely; only; just
	adverb	còn	53025	yet; still
	particle	thì	52764	
👀	verb	thấy	52409	to see; to think
	adverb	cũng	49975	also; too
∀🤌	determiner	các	48894	
🧍?	pronoun	ai	48690	who
	preposition	vào	48331	
	particle	vào	48331	
🧘	verb	bị	47117	be
💭	verb	nghĩ	46807	to guess; to think
T	adjective	thật	45685	actual; true; real
→	conjunction	nếu	45526	if
	pronoun	mình	44886	/me, someone of roughly your age
	adverb	rất	42758	very
	verb	cần	41313	to need
	noun	cần	41313	rod
∵	conjunction	vì	40648	because
	preposition	vì	40648	
	preposition	tới	39845	
	particle	à	39523	
🔤	noun	điều	38535	word
⬆️	adverb	lên	35761	up
	verb	lên	35761	to go up; come up; rise
	noun	sự	35695	deed; act; occurrence
	particle	chưa	35502	yet; not yet
🧍🧍	pronoun	mày	35043	you
	particle	nghe	34744	okay?
🔩	noun	thứ	34702	thing
🏠	noun	nhà	34144	house; home
	pronoun	bạn	33890	you, a young person in their twenties
👌	adjective	đúng	33630	perfect; right; just
	pronoun	mẹ	33236	
	conjunction	từ	32865	from, since
∀🤌	determiner	mọi	32363	every; all
🪦	adjective	chết	32316	dead
🪦	verb	chết	32316	to die
	noun	ơn	31989	favor
	verb	đừng	31892	to don't
	conjunction	hơn	31882	than
	determiner	hơn	31882	more, more than
