Buck_ID	English			Latin	Ancient Greek	Proto Indo European
1-100	world	noun	munda-	mundus	kosmos|oikū'menē	*dhéĝhōm
1-210	earth|land	noun	tero	terra|tellūs|humus	gē|kʰtʰōn	*dhéĝhōm
1-212	ground|soil	noun	solo	solum	gē|'edapʰos|'kʰōma|'pedon	*dhĝh(e)m-en
1-213	dust	noun		pulvis	konis	*pē(n)s-
1-214	mud	noun	lithabedo	lutum|līmus|caenum	pē'los	*penk-
1-215	sand	noun	lithabewo	arēna|sabulō	psammos|'ammos	
1-220	mountain|hill	noun	monto	mōns|collis|clīvus	oros|'lopʰos|kolō'nos|bū'nos	*gworhₓ-|*bherĝh-
1-222	cliff|precipice	noun		cautēs	krē'mnos	*pel(i)s-
1-230	plain|field	noun		plānum|campus	pe'dion	*hₐeĝros|hₐérh3wr̥
1-240	valley	noun		vallēs	napē|koi'las	*dho ́lhₐos|*lo ́nk(o/e)hₐ-
1-250	island	noun		īnsula	nēsos	
1-260	mainland	noun		continēns	ēpeiros	
1-270	shore	noun		lītus|ōra|rīpa	aigia'los|a'ktē	
1-280	cave	noun		caverna|specus|spēlunca|antrum	antron|'spēlaion	
1-310	water	noun		aqua	hudōr	*h₂eP-| *w(e/o)hₓr| *wehₓp-| *wo ́dr̥
1-320	sea	noun		mare|aequor	tʰalassa|hals|'pontos	*mo ́ri
1-322	calm	adjective		malacia|mare|aequor tranquillum	ga'lēnē	
1-323	rough	adjective		mare|aequor turbidum	kū'mainōn|kūma'tias	*kreup-
1-324	foam	noun		spūma	a'pʰros	*spohₓin(o/e)hₐ
1-329	ocean	noun		ōceanus	ōkea'nos	
1-330	lake	noun		lacus	limnē	
1-340	gulf|bay	noun		sinus	kolpos	
1-341	lagoon	noun		lacus	tenagos	
1-342	reef	noun		dorsum	kʰoi'ras|'murmēks|'hupʰalos|'herma	
1-343	headland|point	noun		prōmonturium	akrō'tērion|'akra|'skopelos	
1-350	wave	noun		unda|fluctus	kūma	
1-352	tide	noun		aestus	ampōtis|aukso'meiōsis	*prest-
1-353	lowtide	noun		aestus minuēns	ampōtis|a'narroia	
1-354	hightide	noun		aestus altus	plēmmū'ris|'plēmmūrā	
1-360	river|stream|brook	noun		fluvius|flūmen|amnis|rīvus	pota'mos|'hreuma|'kʰeimarros	*dehₐnu-
1-362	whirlpool	noun		vertex|vorāgō|gurges	dinē	
1-370	spring|well	noun		fōns|puteus	krēnē|pē'gē|'pʰrear	
1-380	swamp	noun		palūs	helos	
1-390	waterfall	noun		casicāre	katar'raktēs	
1-410	woods|forest	noun		silva	hūlē	*gʷorhₓ-
1-420	tree	noun		arbor	dendron	*do ́ru
1-430	wood	noun		māteria	ksulon	*do ́ru
1-440	stone|rock	noun		lapis|saxum|petra	litʰos|'petrā	*h₄e ́kˆmo ̄n| *pel(i)s
1-450	earthquake	noun		concussiō	sei'smos	
1-510	sky	noun		caelum	ūra'nos	*ne ́bhes-
1-520	sun	noun	solezo	sōl	hēlios	*se ́hₐul
1-530	moon	noun		lūna	se'lēnē	*me ́h₁ no ̄t| *(s)kand-
1-540	star	noun		stēlla|astrum	a'stēr|'astron	*h₂ste ̄ ́r
1-550	lightning flash	noun		fulgur|fulgor	astra'pē	
1-560	thunder	noun		tonitrus	bron'tē	*(s)tenhₓ-
1-570	lightning bolt	noun		fulmen	kerau'nos	
1-580	storm	noun		tempestās|procella	kʰei'mōn|'kʰeima	
1-590	rainbow	noun		arcus pluviālis	iris|'tokson	
1-610	light	noun		lūx|lūmen	pʰōs	*leuko ́s|*lo ́uk(es)-
1-620	darkness	noun		tenebrae	skotos	*h₁reg w-es-
1-630	shade|shadow	noun		umbra	ski'ā	*skˆo ̄yhₐ
1-640	dew	noun		rōs	drosos	*ro ̄ ́s
1-710	air	noun		āēr	a'ēr	
1-720	wind	noun		ventus	anemos|'pneuma	*h₂weh₁ nt-|*h₂ weh₁ yu ́s
1-730	cloud	noun		nūbēs|nūbila	nepʰos|ne'pʰelē	*ne ́bhes–|*sneudh-
1-740	fog	noun		nebula	o'mikʰlē	
1-750	rain	noun		pluvia|imber	hūe'tos|bro'kʰē	*dhreg-|*h₁ wers-|*n̥bhr(o/i)-|*suhₓ-
1-760	snow	noun		nix	kʰi'ōn	*dhreg-|*gˆheim-|*sneig w h-|*snig w h-s
1-770	ice	noun		glaciēs	krustallos|krū'mos|'pagos	*h₁eihₓ(s)-|*yeg-
1-780	weather	noun		tempestās|caelum	hōra	
1-810	fire	noun		ignis	pūr	*g(e)ulo-|*h₂e ́hₓtr̥|*hₐeidh-|*hₓn̥gʷnis|*pe ́h₂ur
1-820	flame	noun		flamma	pʰloks	
1-830	smoke	noun		fūmus	ka'pnos	*dhuh₂ mo ́s
1-840	ashes	noun		cinis|favilla	tepʰrā|spo'dos	*h₂ e ́hₓo ̄s|*kenhₓis
1-841	embers	noun		cinis|favilla	antʰraki'ā|antʰraki'ē|'antʰrakes	
1-851	burn	verb		ūrere|cremāre	kaiō|'kaiomai	*bhleg-|*deh au-|*dhegʷh-|*gˆwelhₓ-|*h₁eus-|*h₂ehₓ-|*h₄elh₁-|*hₐeidh-|*hₐel-|*kenk-|*kˆehₐu-|*kˆeuk-|*kˆseh₁-|*preus-|*swelp-|*wer-
1-852	burn	verb		ardēre|flagrāre	pimprēmi	
1-860	light|kindle|ignite	verb		incendere|accendere|succendere	haptō|a'naptō|'daiō|'aitʰō	*dehₐu
1-861	extinguish	verb		extinguere	sbennūmi|sben'nūō	*gʷes-
1-870	match	noun		sulfūrāta		
1-880	firewood	noun		lignum	pʰruganon|'ksulon	
1-890	charcoal	noun		carbō	antʰrax	*hₓo ́ngl̥
10-110	move	verb		movēre	kī'neō	*dih₁-|*h₁rei-|*h₁eig-|*h₁reihₓ-|*meu(hₓ)-|*meus-|*sel-|*spergˆh-|*sret-
10-120	turn over	verb		vertere	trepō|'strepʰō	
10-130	turn around	verb		torquēre	epi'strepʰō|ana'strepʰō|hupo'strepʰō	
10-140	wind|wrap	verb		amicīre	he'lissō|tu'lissō	*wel-|*wendh
10-150	roll	verb		volvere	ku'lindō|kulin'deō|ku'liō	
10-160	drop	verb		dēmittere	a'pʰiēmi|ka'tʰiēmi	
10-170	twist	verb		torquēre	su'strepʰō|'strepʰō|stre'bloō	*derbh-|*(s)neh₁(i)-|*sneh₁u-|*terk(w)-|*weis-|*wendh-
10-210	rise	verb		surgere	a'nistamai	*swelno-
10-220	raise|lift	verb		tollere|levāre	airō|a'eirō	*kel-|*telh₂-
10-230	fall	verb		cadere	piptō	*kˆad-|*ped-|*pteh₁-
10-240	drip	verb		stillāre	stazō	
10-250	throw	verb		iacere	hrīptō|'ballō|'hiēmi	*gˆhi-|*gw elh₁-|*h₁ es-|*seh₁(i)-|*(s)keud-|*smeit-|*swep-
10-252	catch ball	verb		capere|praehendere	har'pazō	*kagh-
10-260	shake	verb		quatere|quassāre	seiō|ti'nassō|'pallō|sa'leuō	*kseubh-|*trem-|*wegh- (*wegˆh-?)
10-320	flow	verb		fluere	hreō	*dhen-|*g w el(s)-|*h₁ ers-|*hₐel-|*leh₂-|*sreu-|*tek-
10-330	sink	verb		mergere	dūō|kata'dūō|bu'tʰizomai	
10-340	float	verb		fluitāre	pleō|epi'pleō	*pleu-
10-350	swim	verb		nāre|natāre	nēkʰō|'neō	*pleu-|*snehₐ-
10-351	dive	verb		dēmergere	kolum'baō	*gʷa ̄dh-|*mesg-
10-352	splash	verb		aspergere	hrainō|hran'tizō	
10-360	sail	verb		nāvigāre	pleō	
10-370	fly	verb		volāre	petomai	*dih₁-|*pet-
10-380	blow	verb		flāre	pneō|pʰū'saō|'aēmi	*bhel-|*bhes-|*h₂weh₁-|*peis-|*per-|*p(h)eu-|*swei-|*wet-
10-410	creep|crawl	verb		serpere|rēpere	herpō	*serp-|*(t)sel-
10-412	kneel	verb		genu flectere	gonupe'teō	
10-413	crouch	verb		conquiniscere	hupo'ptēssō|o'klazō	
10-420	slide|slip	verb		lābī	oli'stʰanō	*(s)leidh-
10-430	jump|leap	verb		salīre	hallomai|pē'daō	*h₁leig-|*lek-|*preu-|*preug-|*skand-|*skek-
10-431	kick	verb		calcitrāre	la'ktizō	*sperh₁-
10-440	dance	verb		saltāre	or'kʰeomai|kʰo'reuō	
10-450	walk	verb		ambulāre|gradī	ba'dizō|'bainō	*gˆhengh-
10-451	limp	verb		claudicāre	skazō|kʰō'leuō|kʰō'lainō	*(s)keng-
10-460	run	verb		currere	trekʰō|'tʰeō	*bhegw-|*drehₐ-|*drem-|*dreu-|*dhen-|*kˆers-|*reth₂-|*tek-,
10-470	go	verb		īre|cēdere	eimi|'bainō	*deuh₄-|*ghredh-|*h₁ ei-|*hₐet-|*h₁leudh-|*leit(hₓ)-|*seh₁(i)-|*sed-|*sent-|*spleigˆh-|*steigh-|*wei(hₓ)-|*yehₐ-
10-471	go up	verb		ascendere	ana'bainō|'aneimi|a'nerkʰomai	
10-472	climb	verb		scandere	anarri'kʰaomai	
10-473	go down	verb		dēscendere	kata'bainō|'kateimi|ka'terkʰomai	
10-474	go out	verb		exīre	ekseimi|e'kserkʰomai|ek'bainō	
10-480	come	verb		venīre	erkʰomai	*gʷehₐ-|*gʷem-
10-481	come back	verb		revenīre	epa'nerkʰomai|e'paneimi|no'steō	
10-490	go away|depart	verb		ab-īre|discēdere	a'perkʰomai|anakʰō'reō|apokʰō'reō	*deuh₄-|*gˆheh₁-|*leh₁d-|*leikʷ-
10-491	disappear	verb		ēvānescere	apʰa'nizomai|eksapʰa'nizomai	
10-510	flee	verb		fugere	pheugō	
10-520	follow	verb		sequī	hepomai|akolū'tʰeō	*sekʷ-|*wreg-
10-530	pursue	verb		sequī	di'ōkō	
10-550	reach|arrive	verb		advenīre|pervenīre	hi'kneomai|apʰi'kneomai|'pʰtʰanō	*tem-
10-560	approach	verb		adpropinquāre|accēdere	plēsi'azō|pe'lazō|eŋ'gizō	
10-570	enter	verb		intrāre|introīre|ingredī	ei'serkʰomai	*ye ́bhe/o-
10-610	carry	verb		ferre tulī lātus|portāre|gerre|vehere	pʰerō|'agō	*bher-|*wegˆh-
10-612	carry-in-hand	verb		manū portāre	ba'stazō|'pʰerō	*bher-|*wegˆh-
10-613	carry-on-shoulder	verb		umerō portāre	nōtopʰo'reō	*bher-|*wegˆh-
10-614	carry-on-head	verb		capite portāre		*bher-|*wegˆh-
10-615	carry-underarm	verb		sub ālā portāre		*bher-|*wegˆh-
10-620	bring	verb		ferre|adferre	pʰerō	*terh₂-|*per-
10-630	send	verb		mittere	pempō	
10-640	lead	verb		dūcere	agō|hē'geomai	*neihₓ-
10-650	drive	verb		agere|pellere	e'launō|hodē'geō	*h aegˆ-|*kel-
10-660	ride	verb		vehī|equitāre	o'kʰeomai|e'launō|hip'peuō	*wegˆh-
10-670	push|shove	verb		trūdere|impellere|pulsāre	ō'tʰeō	*reudh-|*(s)peud-|*(s)teud-|*wedh-
10-710	road	noun		via	ho'dos|'keleutʰos	*h₁e ́itr̥-
10-720	path	noun		sēmita|callis	patos|atra'pos|'tribos	*po ́nto ̄h₂ s|*stı ́ghs
10-740	bridge	noun		pōns	gepʰūrā	
10-750	carriage|wagon|cart	noun		vehiculum|raeda	hamaksa|a'pēnē|'okʰos	*wegˆhnos|*kˆr̥sos
10-760	wheel	noun		rota	tro'kʰos|'kuklos	*h⅔r̥gis|*kʷekʷlo ́m|*ro ́th₂(o/e)hₐ-
10-770	axle	noun		axis	aksōn	*hₐekˆs-
10-780	yoke	noun		iugum	zu'gon|zu'gos	*dhwerhₓ-|*yugo ́m
10-810	ship	noun		nāvis|nāvigium	naus|'ploion	
10-830	boat	noun		linter|cymba|scapha	lembos|'skapʰē|'kumbē	*ne ́hₐus|*(s)kolmos
10-831	canoe	noun				*hₓoldhu-
10-832	outrigger	noun			statʰmē	
10-840	raft	noun		ratis	skʰe'diā	
10-850	oar	noun		rēmus|tōnsa	kōpē|ere'tmon	*h₁erh₁trom
10-851	paddle	noun				*h₁erh₁trom
10-852	row	noun		rēmigāre	e'ressō|kōpēla'teō	*h₁ erh₁-
10-860	rudder	noun		gubernāculum	pē'dalion	
10-870	mast	noun		mālus	hi'stos	
10-880	sail	noun		vēlum	hi'stion	
10-890	anchor	noun		ancora	aŋkūrā	
10-910	harbor|port	noun		portus	li'mēn	
10-920	land	verb		exponere|appellere	apo'bainō|ek'bainō	*pl̥th₂-ihₐ-
11-110	have	verb		habēre	ekʰō	
11-120	own|possess	verb		possidēre|tenēre	kektēmai	*h aeikˆ-
11-130	take	verb		capere|sūmere	lam'banō|hai'reō	*dekˆ-|*ghabh-|*ghrebh-|*h₁ep-|*nem-
11-140	seize|grasp	verb		praehendere|capere	hai'reō|har'pazō|'drassomai|lam'banō	*gh(a/e)bh|*h₁ep-|*kap-|*la(m)bh-
11-150	hold	verb		tenēre	ekʰō|kra'teō	*h₂ em-|*h₂ erk-|*segˆh-|*skabh-
11-160	get|obtain	verb		nancīscī|adipīscī|parāre	ktaomai	
11-170	keep|retain	verb		tenēre	ekʰō	
11-180	thing	noun		rēs	kʰrēma	
11-210	give	verb		dare	didōmi	*deh 3-|*hₐei-|*reh₁-
11-220	give back	verb		reddere|restituere	apo'didōmi	
11-240	preserve|look after	verb		servāre|custōdīre	pʰu'lassō|'sōzō	
11-250	save|rescue	verb		servāre|ēripere|salvāre	sōzō	
11-270	destroy	verb		perdere|abolēre|dēstruere	pʰtʰeirō|'ollūmi|a'pollūmi|kata'lūō|apʰa'nizō	*bhrehₓi-|*dhgʷhei-|*h₂ erhₓ-|*h₂erk-|*h3elh₁-
11-280	harm|injure|damage	verb		nocēre|laedere	blaptō|lū'mainomai	*dhebh-|*dhwerhₓ-|*mel-|*peh₁(i)-
11-310	seek|look for	verb		quaerere|petere	zē'teō	*hₐeis-|*sehₐg-|*sen(hₐ)-
11-320	find	verb		invenīre|reperīre	heu'riskō	*wer-
11-330	lose	verb		āmittere|perdere	a'pollūmi	
11-340	release|let go	verb		dīmittere|ēmittere|solvere	apo'lūō|'lūō|a'pʰiēmi|apal'lassō	*leuhₓ-|*selgˆ-|*TerK-
11-430	money	noun		pecūnia|aes|argentum	kʰrēmata|ar'gurion	
11-440	coin	noun		nummus|monēta	nomisma	
11-510	rich	noun		dīves|opulentus	plūsios	
11-520	poor	noun		pauper|inops	penēs	
11-530	beggar	noun		mendīcus	ptō'kʰos	
11-540	avaricious|stingy	adjective		avārus|tenāx|sordidus	pʰi'larguros|pʰilo'kʰrēmatos|pʰeidō'los	
11-610	lend	verb		mūtuum dāre	da'neizō|'kikʰrēmi	
11-620	borrow	verb		mūtuum sūmere|mūtuārī	da'neizomai	
11-630	owe	verb		dēbēre	o'pʰeilō	
11-640	debt	noun		dēbitum|aes aliēnum	kʰreos	
11-650	pay	verb		pendere|solvere	apo'didōmi|apo'tinō	*kʷrei(hₐ)-
11-660	account|reckoning	noun		ratiō	logos|logi'smos	
11-690	tax|tribute	noun		vectīgal|stipendium|tribūtum	pʰoros|'telos|eispʰo'rā	
11-770	hire	verb		condūcere	mi'stʰūmai	*kuhₓs-
11-780	wages	noun		mercēs	mi'stʰos	
11-790	earn	verb		merēre	ktaomai|'arnumai	
11-810	buy	verb		emere	ō'neomai|pi'praskomai|pi'praskō|ago'razō	*wes-
11-820	sell	verb		vendere	pō'leō	*pel-
11-830	trade|barter	verb		mercārī|negōtiārī	empo'reuomai	*per-
11-840	merchant	noun		mercātor|negōtiātor	emporos|'kapēlos	
11-850	market place	noun		forum|mercātus	ago'rā	
11-860	store|shop	noun		taberna	-'eion|-pō'leion	
11-870	price	noun		pretium	tī'mē|'ōnos	
11-880	dear|costly|expensive	adjective		cārus	polute'lēs|'tīmios	*hₓlehₐd-|*lehₐd-
11-890	cheap	noun		vīlis	eute'lēs|'euōnos	
11-910	share|distribute	verb		partīrī	me'rizō|diai'reō|'daiomai	*bhag-|*pr̥(h3)tis
11-920	weigh	verb		pendere	statʰ'maō	
12-10	after	adposition		post	eita|'epeita|'husteron	*posti
12-11	behind	adposition		pōne|post	o'pisō|'opistʰen	*h₄epe ́r-|*h₄e ́po|*po-skʷo-
12-110	place	verb		locus	topos	*ste ́h₂tis
12-120	put	verb		pōnere|collocāre	titʰēmi	
12-130	sit	verb		sedēre	hēmai|'katʰēmai|'hezomai	*h₁e ̄s-|*sed-
12-140	lie down	verb		iacēre|cubāre	keimai	*kˆei-|*legh-
12-150	stand	verb		stāre	histamai	*(s)teh₂-|*stembh-|*wredh-
12-160	remain|stay	verb		manēre	menō	*men-
12-170	remains|left overs	noun		reliquī|remanēre|restāre	leipsanon|'leimma	*(h₁eti)loikʷos
12-20	beside	adposition		juxtā	pa'ra|eŋ'gus	
12-210	collect|gather	verb		colligere	sul'legō|su'nagō	*kr(e)u-bh-|*legˆ-
12-212	pick up	verb		colligere	sumpʰo'reō|sum'pʰerō	
12-213	pile up	verb		struere	sō'reuō|a'tʰroizō	*kʷei-
12-220	join|unite	verb		iungere	zeugnūmi|su'naptō	*ghedh-|*h₂ep-|*yeu-|*yeug-
12-230	separate	verb		sēparāre|dīvidere|sēiungere	kʰō'rizō|'skʰizō	*widh-
12-232	divide	verb		partīre	diai'reō|dialam'banō	*bhag-|*dehₐ(i)-|*lenk-
12-240	open	verb		aperīre	a'noigō|a'noignūmi|'oigō|'oignūmi	*reu(hₓ)-
12-250	shut|close	verb		claudere|operīre	kleiō	
12-260	cover	verb		tegere|operīre	ka'luptō|ske'pazō|ske'paō|'stegō	*h₁eu-|*h₁rebh-|*kˆem-|*(s)keu(hₓ)-|*wer-
12-270	hide|conceal	verb		abdere|abscondere	kruptō	*gheigˆh-|*gheugˆh-|*kˆeudh-
12-30	down|below	adposition		infrā	katō|hu'po	*kathₐe
12-310	high	adjective		altus|celsus	hupsē'los	*bhergˆh-|*bhr̥gˆhu ́s  *bhr̥gˆhe ́nt-|*h₂erdus|*worhₓdhus
12-320	low	adjective		humilis	kʰtʰama'los|kʰamē'los	*n̥dhe ́s~*n̥dhero-
12-330	top	adjective		summus|cacūmen|columen	akros|'akron|koru'pʰē	
12-340	bottom	adjective		fundus	pu'tʰmēn	*bhudhno ́-
12-350	end	noun		extrēmus|extrēmum	akros|'akron|'akrā|'peras	*termn-
12-352	pointed	noun		cuspis|mucrō	o'ksus|aki'dōdēs|akidō'tos	*bharko-
12-353	edge	noun		aciēs|ōra|margō	a'kmē|'kraspedon|'kʰeilos	
12-360	side	noun		latus|costa	pleu'rai	*pokso ́s
12-370	middle|center	noun		medius	mesos	*(s)me
12-40	before	adposition		prae	pro|'proteron|'prostʰen	*pr̥hₐe ́h₁|*pr̥hₐe ́
12-41	front	noun		prae	prostʰen|'emprostʰen	*h₂enti|*pr̥hₐe ́h₁|*pr̥hₐe ́i|*pro ́ti-h3(o ̄)k w-(o/e)hₐ-
12-410	right	adjective		dexter	deksi'os	*de ́kˆsinos|*h3regˆtos
12-420	left	adjective		sinister|laevus|scaevus	ariste'ros|eu'ōnumos|skai'os|lai'os	*laiwo ́s|*seuyo ́s
12-430	near	adjective		prope|juxtā	eŋ'gus|plē'sion|'pelas	*h₁epi  *h₁opi
12-440	far	adjective		procul|longē	ma'krān|'porrō|'tēle|tē'lū	*witeros
12-450	east	adjective		oriēns	anato'lē|ē'ōs|'heōs	*hₐeust(e)ro-
12-460	west	adjective		occidēns|occāsus	he'sperā|du'smai|'dusis	
12-470	north	adjective		septentriō	bo'reās|bor'ras	
12-480	south	adjective		merīdiēs|auster	notos|mesēm'bria	
12-50	inside|in	adposition		intrā	en'tos|'esō|'eisō	*h₁e ́ndo|*h₁en(i)|*h₁ente ́r
12-530	grow	verb		crēscere|augēscere	au'ksanomai	*bheu(hₓ)-|*gˆerhₐ-|*h₁leudh-|*hₐeug-|*hₐwokse ́y(e/o)-|*kˆer-|*meh₁(i)-|*wredh-
12-540	measure	verb		mētīrī	me'treō	*deikˆ-|*med-|*me ́h₁tis
12-541	span|fathom	noun		ulna		
12-550	large|big	adjective		magnus|grandis	megas	*megˆhₐ-
12-560	small|little	adjective		parvus	mī'kros|o'ligos	
12-570	long	adjective		longus	ma'kros|doli'kʰos	*dl̥h₁ gho ́s|*dlonghos|*duhₐros|*mak-|*te ́nus
12-580	tall	adjective		celsus|altus|grandis	hupsē'los|ma'kros|eu'mēkēs	
12-590	short	adjective		brevis	bra'kʰus	*mr̥gˆhus
12-60	outside	adjective		extrā	e'ktos|'eksō	
12-610	wide|broad	adjective		lātus	pla'tus|eu'rus	*plet-|*pl̥th₂u ́-|*we ́rhₓus
12-620	narrow	adjective		angustus	ste'nos	*hₐengˆhus
12-630	thick	adjective		crassus	pa'kʰus	*bhe ́ngˆhus|*dheb-|*gʷhono ́s|*tegus|*tenk-
12-650	thin	adjective		tenuis	le'ptos	*kr̥kˆo ́s|*mak-|*menus/menwos|*te ́nus
12-670	deep	adjective		altus|profundus	ba'tʰus	*dheub-
12-680	shallow	adjective		nōn altus|brevis	aba'tʰēs	
12-70	under	adposition		sub|infra	katō|hu'po	*n̥dhe ́s~*n̥dhero-|*ner|*s-h₄upo ́
12-710	flat	adjective		plānus	pla'tus|'isos|pedi'nos	*plehₐk-
12-730	straight	adjective		rēctus|dīrēctus	eu'tʰus|or'tʰos	
12-740	crooked	adjective		curvus|prāvus	skoli'os|kam'pulos|aŋ'kulos	*(s)keng-
12-750	hook	noun		uncus|hāmus	aŋkistron	*h₂o ́nkos|*ko(n)gos
12-760	corner	verb		angulus	gō'niā	
12-770	cross	noun		crux	stau'ros	
12-780	square	noun		quadrātum|quadrum	te'tragōnon	
12-80	up|above	adposition		super	anō|e'panō|e'pi|hu'per|hupe'ranō|'hupertʰen	*h ₄upo ́|*ha en-hₐe|*u ̄ ̆d|E *hₐenu|*terh₂-
12-810	round	adjective		rotundus	stroŋ'gulos	
12-820	circle	noun		circulus	kuklos	*a ̄nos|*h3e ́rbhis|*serk-
12-830	sphere|ball	noun		globus|sphaera	spʰaira	
12-840	line	noun		līnea	stikʰos|'stoikʰos	*h₄erho-|*reik-
12-850	hole	noun		forāmen	o'pē|'trūpēma	*gˆhhₐwos|*kˆo ́uhₓr
12-920	like|similar	adposition		similis	homoios	
12-930	change	verb		mūtāre	al'lassō|a'meibō	
13-0	zero|nothing	numeral		nihil	ou'den|mē'den	
13-10	one	numeral		ūnus	heis	*h₁oinos
13-100	ten	numeral		decem	deka	
13-101	eleven	numeral		ūndecim	hendeka	
13-102	twelve	numeral		duodecim	dōdeka	
13-103	fifteen	numeral		quīndecim	pente kai 'deka	
13-104	twenty	numeral		vīgintī	eikosi	
13-105	hundred	numeral		centum	heka'ton	*kˆm̥to ́m
13-106	thousand	numeral		mīlle	kʰilioi	
13-107	count	noun		numerāre|computāre	lo'gizomai	
13-140	every|all	adjective		omnis|omnēs|quisque	pās|'pantes	
13-150	much|many	adjective		multus	po'lus	*te ́hₐwot(s)
13-160	more	adjective		plūs	pleiōn|'pleōn	
13-170	little|few	adjective		parvus|paucē	o'ligos|'pauros	
13-180	enough	adjective		satis	hika'nos|ar'kōn	
13-181	some	adjective		paulum	o'ligon|mī'kron	*sm̥o ́s
13-190	multitude|crowd	noun		multitūdō|turba	plētʰos|'okʰlos	
13-20	two	numeral		duo	duo	*dwe ́h3(u)
13-210	full	adjective		plēnus	plērēs|me'stos	*pl̥h₁no ́s
13-220	empty	adjective		vacuus|inānis|vānus	ke'nos	*h₁eu(hₐ)-|*teus-|*tusskˆyos|*wak-
13-230	part|piece	noun		pars	meros	
13-240	half	adjective		dīmidius|sēmi-	hēmisus|hēmi-	*se ̄mis
13-30	three	numeral		trēs	treis	*tre ́yes
13-330	alone|only	adjective		sōlus	monos|'monon	*kaiwelos|*h₁oinos
13-340	first	ordinal		prīmus	prōtos	*per(hₓ)-
13-350	last	adjective		ultimus|postrēmus	teleu'taios|'hustatos|'eskʰatos	
13-360	second	ordinal		secundus	deuteros	*dwi-yos ~ *dwi-tos
13-370	pair	noun		pār	zeugos	
13-380	twice	adverbial		bis	dis	*dwis
13-40	four	numeral		quattuor	tessares	*kʷetwo ́res
13-420	third	ordinal		tertius	tritos	*triyo ́s
13-440	thrice	adverbial		ter	tris	*tris
13-50	five	numeral		quīnque	pente	*pe ́nkʷe
13-60	six	numeral		sex	heks	*kswekˆs
13-70	seven	numeral		septem	he'pta	*septm̥ ́
13-80	eight	numeral		octō	o'ktō	*hₓokˆto ̄ ́(u)
13-90	nine	numeral		novem	en'nea	*h₁newh₁m̥ (*h₁ne ́wh₁n̥?)
14-110	time	noun		tempus	kʰronos	*prest-
14-120	age	noun		aetās	hēli'kiā	*gˆerhₐ-
14-130	new	adjective		novus	kai'nos|'neos	*ne ́wos
14-140	young	adjective		iuvenis	neos	*hₐyeu-
14-150	old	adjective		vetus|senex	palai'os|ar'kʰaios|'gerōn|gerai'os	*se ́nos
14-160	early	adjective		mātūrē|māne|mātūtinē	prō'i	*hₐeyer-|*pro ̄-
14-170	late	adjective		sērō	o'pse	
14-180	now	noun		nunc	nūn	*nu-
14-190	immediately	adverb		mox|statim	takʰa|au'tika|eu'tʰeōs	*pos
14-210	swift|fast|quick	adjective		celer|vēlōx	ta'kʰus|ō'kus|tʰo'os|o'ksus	*hₐegˆilos,  *h₁o ̄kˆ-us
