abearing	abear||pres|part
are	be||2|s|simple|pres
are	be||1|p|simple|pres
are	be||2|p|simple|pres
are	be||3|p|simple|pres
are	be||pres
written	write||past|part
been	be||past|part
been	be||finite usage
was	be||1|s|simple|past|ind
was	be||3|s|simple|past|ind
read	[[:en:#Etymology_1|read]]||simple|past|tense|;|past|part
arisen	arise||past|part
were	be||2|s|sim|past|ind
were	be||1//2//3|p|sim|past|ind
were	be||1//2//3|s//p|sim|present//past|sub
were	be||1//3|s|sim|past|ind
born	bear||past|part
borne	bear||past|part
beaten	beat||past|part
befallen	befall||past|part
bitten	bite||past|part
blown	blow||past|part
broken	break||past|part
burned	burn||past|part
chosen	choose||past|part
dived	dive||past|part
dove	dive||past|part
done	do||past|part
drunk	drink||past|part
eaten	eat||past|part
fallen	fall||past|part
fitted	fit||past|part|gloss=to tailor, change size
fitted	fit||past|part
flown	fly||past|part
forbidden	forbid||past|part
foregone	forego||past|part
foreseen	foresee||past|part
forgotten	forget||past|part
forgiven	forgive||past|part
forsaken	forsake||past|part
frozen	freeze||past|part
given	give||past|part
gone	go||past|part
grown	grow||past|part
interwoven	interweave||past|part
known	know||past|part
lain	lie|gloss=to be oriented in a horizontal position, situated||past|part
overdone	overdo||past|part
am	be||1|s|pres|indc
could	can||cond
tracing	trace||pres|part
lagging	lag||pres|part
running	run||pres|part
gridding	grid||pres|part
pushing up daisies	push up daisies||pres|part
bitten the dust	bite the dust||past|part
smoking	smoke||pres|part
nictitating	nictitate||pres|part
begging	beg||pres|part
moonlighting	moonlight||pres|part
casting	cast||pres|part
tithing	tithe||pres|part
unbroken	unbreak||past|part
birthing	birth||pres|part
wot	wit||1|s|pres|indc
outsourcing	outsource||pres|part
quacking	quack||pres|part
ganging	gang||pres|part
pitches	pitch||3|s|simple|pres|ind
doping	dope||pres|part
unforgotten	unforget||past|part
milking	milk||pres|part
cockfighting	cockfight||pres|part
graven	grave||past|part
cawing	caw||pres|part
hoven	heave||alternative|past|part
mobbing	mob||pres|part
disapproving	disapprove||pres|part
beknown	beknow||past|part
waltzing	waltz||pres|part
giuen	giue||past|part
broken into	break||past|part
run interference	run interference||past|part
junketing	junket||pres|part
there was	there be||sim|past|s
there were	there be||sim|past|p
fuckest	fuck||2|s
antisymmetrizing	antisymmetrize||pres|part
westing	west||pres|part
cusping	cusp||pres|part
glidden	glide||alternative|past|part
clumb	climb||alternative|past|part
inwrit	inwrite||alternative|past|part
folden	fold||alternative|past|part
sidecasting	sidecast||pres|part
impriming	imprime||pres|part
lookee	look||an|imp
derve	derven||1|pres|ind
junketting	junket||pres|part
was born	be born||1//3|s|simple|past|ind
testilying	testilie||pres|part
niggarding	niggard||pres|part
backpeddling	backpeddle||pres|part
was able to	be able to||1|s|simple|past|ind|;|3|s|simple|past|ind
been able to	be able to||past|part
blacklegging	blackleg||pres|part
vulturing	vulture||pres|part
uncasting	uncast||pres|part
forgrown	forgrow||past|part
running barefoot through	run barefoot through||pres|part
hanky-panking	hanky-pank||pres|part
given the dirts	give the dirts||past|part
sharemilking	sharemilk||pres|part
been had	be had||past|part
double-timing	double-time||pres|part
gotten in someone's pants	get in someone's pants||past|part
gotten into someone's pants	get into someone's pants||past|part
gotten inside someone's pants	get inside someone's pants||past|part
share-milking	share-milk||pres|part
share milking	share milk||pres|part
given someone a ring	give someone a ring||past|part
harkee	hark||an|imp
eaten lead	eat lead||past|part
underblown	underblow||past|part
underbound	underbind||past|part
deafing	deaf||pres|part
giddyuping	giddyup||pres|part
giddyaping	giddyap||pres|part
offthrown	offthrow||past|part
caregiven	caregive||past|part
given a fig	give a fig||past|part
gone to pieces	go to pieces||past|part
fallen together	fall together||past|part
tacoing	taco||pres|part
ridden dirty	ride dirty||past|part
asking for trouble	ask for trouble||pres|part
shown out	show out||past|part
misblown	misblow||past|part
sunk in	sink in||past|part
thrown hands	throw hands||past|part
yotten	yet||past|part
gotten busy	get busy||past|part
pitching woo	pitch woo||pres|part
torquing up	torque up||pres|part
been born	be born||past|part
jacklighting	jacklight||present|participle
was like	be like||1|s|simple|past|ind|;|3|s|simple|past|ind
