conjunction 	 et 	 and 	 and 	 and
pronoun 	 quis 	 which 	 who, what 	 which; who
pronoun 	 quī 	  	  	 
preposition 	 in 	 at; in 	  	 for; against; on; about; within; into; according to; in; at
pronoun 	 is 	 that 	  	 that; them; he
particle 	 non 	 no 	 not 	 no
conjunction 	 ut 	 so that 	 that, so that, to, in order to, in order that introduces the subject or object clause of a verb 	 so that; so; in order that; but; and; as; that
conjunction 	 cum 	 when 	 when 	 because; since
preposition 	 cum 	 with 	  	 with
conjunction 	 si 	 if 	 if, supposing that 	 if
preposition 	 ad 	 at 	  	 for; unto; to; at
pronoun 	 ego 	 i; me 	 * 4th century, St Jerome, Vulgate, Tobit 3:19 	 me; i
conjunction 	 quod 	 for 	 which 	 for; because
pronoun 	 hic 	 them 	 this one; this ; these ones in the plural; these ; he, she, it 	 them; he
conjunction 	 sed 	 but 	 but 	 but
preposition 	 ex 	 for 	  	 for; of; from; off; out of
pronoun 	 ille 	 that 	 that one; that ; those ones in the plural; those ; he, she, it 	 that; them; he
conjunction 	 quam 	  	 in what  way, to what  degree; how, how much, as much as, as far as 	 
preposition 	 de 	 concerning 	  	 concerning; on; about
conjunction 	 aut 	 or 	 or 	 or
pronoun 	 tū 	  	  	 
preposition 	 a 	 in 	  	 at the hands of; from; on; in respect of; out of; by; in; since; after
interjection 	 a 	  	 ah 	 
determiner 	 hic 	  	  	 
conjunction 	 nec 	 nor 	 nor 	 nor
pronoun 	 se 	 each other 	 the accusative of the reflexive pronoun meaning himself, herself, itself, themselves 	 each other
preposition 	 ab 	 in 	  	 at the hands of; from; on; by means of; in respect of; out of; by; in; since; after
preposition 	 per 	 throughout 	  	 throughout; through; by means of; by
conjunction 	 autem 	  	 but 	 
conjunction 	 ne 	  	 that not, in order not to and similar; lest 	 
interjection 	 ne 	  	 truly!, indeed!; commonly connected with other affirmative particles 	 
conjunction 	 ac 	 and 	  	 and
conjunction 	 nam 	 for 	 for 	 for
pronoun 	 suus 	 his 	  	 his; theirs; its; hers
conjunction 	 tamen 	  	 nevertheless, however, notwithstanding, in spite of 	 
pronoun 	 meus 	 mine 	  	 mine
preposition 	 pro 	 for 	  	 for; instead of; in front of
conjunction 	 quia 	 because 	 because, wherefore, for 	 because
pronoun 	 nihil 	 nothing 	 indefinite nothing 	 nothing
pronoun 	 ipse 	 himself 	  	 himself
conjunction 	 an 	  	 an potius 	 
preposition 	 inter 	 for 	  	 for; during; between
conjunction 	 nisi 	 unless 	 if not, unless, except 	 unless; except
determiner 	 ipse 	  	 himself, herself, itself, the very, the actual 	 
pronoun 	 tu 	 thou 	 you ; thou 	 thou; you
determiner 	 ille 	 that 	 that; those in the plural 	 that
preposition 	 ante 	 in front of 	  	 in front of; before
preposition 	 sine 	 without 	  	 without
determiner 	 idem 	  	 the same 	 
pronoun 	 sibi 	 himself 	 the dative of the reflexive pronoun meaning to himself, to herself, to itself, to themselves 	 himself; herself; itself
preposition 	 post 	 behind 	  	 behind; after
interjection 	 ei 	  	 oh! 	 
preposition 	 apud 	 chez 	  	 chez; by
conjunction 	 at 	  	 but, yet 	 
pronoun 	 noster 	 ours 	  	 ours
determiner 	 is 	 that 	 this, that adjective 	 that; this
preposition 	 re 	  	  	 
preposition 	 contra 	 against 	  	 against; with
pronoun 	 iste 	 that 	  	 that
preposition 	 e 	 for 	  	 for; from; out of
pronoun 	 tuus 	  	  	 
conjunction 	 quasi 	 as if 	 as if 	 as if
conjunction 	 ergo 	  	 therefore, because, hence, consequently, thus 	 
preposition 	 sub 	 under 	  	 under; unto
conjunction 	 dum 	 while 	 while, whilst, as, meanwhile 	 while; as
conjunction 	 sīve 	  	  	 
conjunction 	 quoniam 	 because 	 since, forasmuch, inasmuch as, now that 	 because; since
conjunction 	 alii 	  	 some . . . others 	 
preposition 	 ob 	 for 	  	 for; due to; because of; on account of
pronoun 	 quidam 	 some 	 someone, a certain one/thing; something 	 some; someone
pronoun 	 iis 	  	  	 
determiner 	 quantum 	  	 as much of ... as 	 
conjunction 	 uti 	  	  	 
pronoun 	 nemo 	  	 nobody, no one, no man 	 
preposition 	 supra 	 over 	  	 over; up; atop; on
interjection 	 o 	  	 o! 	 
preposition 	 circa 	 around 	  	 around; near
preposition 	 super 	 on 	  	 on; up; above
preposition 	 secundum 	 next to 	  	 next to; according to; after
preposition 	 praeter 	 except 	  	 except
determiner 	 tot 	  	 so many 	 
preposition 	 intra 	 within 	  	 within
conjunction 	 quando 	  	 when 	 
preposition 	 gratia 	  	  	 
pronoun 	 sese 	  	 the accusative of the reflexive pronoun meaning himself, herself, itself, themselves 	 
pronoun 	 egō 	  	  	 
determiner 	 meus 	 my 	 my, mine 	 my
conjunction 	 etsi 	 albeit 	 though, although, even if, yet 	 albeit
preposition 	 extra 	  	  	 
conjunction 	 seu 	 or 	 or 	 or
determiner 	 iste 	 that 	 that near you; those in the plural 	 that
interjection 	 malum 	  	 damn!, fuck!, alas!, misery! 	 
preposition 	 ultra 	 beyond 	  	 beyond
pronoun 	 nōs 	 we 	  	 we
pronoun 	 quālis 	 what kind of 	  	 what kind of
conjunction 	 sin 	  	 if however, if on the contrary, but if 	 
interjection 	 ecce 	 voilà 	 see!, look!, behold!, points out something with emphasis 	 voilà; lo; see; behold
conjunction 	 ni 	  	 not, that not, unless; like ne in imperative and intentional clauses 	 
preposition 	 dextra 	  	  	 
preposition 	 circum 	 around 	  	 around
preposition 	 palam 	  	  	 
determiner 	 quot 	 how many 	 how many; as many 	 how many
interjection 	 age 	  	 well now, well then, come now 	 
preposition 	 specie 	  	  	 
determiner 	 aliquot 	 few 	 some; several; a few 	 few; several
preposition 	 clam 	  	  	 
pronoun 	 equis 	  	 who, what 	 
preposition 	 erga 	  	  	 
preposition 	 prae 	 because of 	  	 because of; in front of; before
interjection 	 heu 	 alas 	 oh! alas! ah! expressing dismay or pain 	 alas
determiner 	 ambo 	  	 both 	 
preposition 	 infra 	 below 	  	 below
interjection 	 hercule 	  	 By Hercules! 	 
preposition 	 en 	  	  	 
interjection 	 en 	  	 lookǃ beholdǃ presenting something in a lively or indignant manner 	 
preposition 	 coram 	  	  	 
preposition 	 intro 	  	  	 
interjection 	 pax 	  	 enough talking! silence! hush! peace! 	 
preposition 	 secus 	  	  	 
preposition 	 penes 	  	  	 
preposition 	 trans 	 beyond 	  	 beyond
conjunction 	 neu 	  	  	 
interjection 	 pol 	  	 by Pollux!, truly!, really! 	 
pronoun 	 istic 	  	 this same, this very 	 
preposition 	 pone 	  	  	 
determiner 	 suus 	 his 	 his, her, its, their 	 his; their; her
pronoun 	 semet 	  	  	 
conjunction 	 prout 	  	 according as, in proportion 	 
conjunction 	 set 	  	 ** Six times twenty stone make the load of lead, scilicet the great London load, but the load of Peek is much less 	 
pronoun 	 tute 	 yourself 	 you yourself 	 yourself
interjection 	 em 	  	  	 
pronoun 	 siquis 	  	 if any 	 
interjection 	 heus 	  	 hey!, ho!, ho there!, listen! 	 
conjunction 	 ast 	  	 but, yet 	 
interjection 	 io 	  	 An exclamation of joy or pain, or for getting one's attention 	 
interjection 	 perge 	  	 go on!, proceed!, press on!, persist! 	 
interjection 	 ah 	  	 ah 	 
interjection 	 hem 	  	 eh?, well well! 	 
interjection 	 eho 	  	 look here!, look you!, holla!, hey! 	 
