#                 	                	                   	                	              	          	6.4.1.     	From the bases of the personal pronouns, the oldest possessive pronouns seem to have been mos, mine, ṇsmós, ours, twos, thine, usmós, yours, swos, own.                                                           
#                 	                	                   	                	              	          	6.4.2.     	The common Late Indo-European possessives were formed from the same bases with suffixes -(i)jo- in the singular, -(t)ero- in the plural; as, méwijos, menjos, my,ṇserós, our, téwijos, thy, userós, your, séwijos.
#                 	                	                   	                	              	          	6.4.3.     	Possessives are declined like adjectives of the first type, in -os, -ā, -om.                                                                                                                                      
# possessor-person	possessor-gender	possessor-plurality	possessed-gender	possessed-case	singular  	dual       	plural                                                                                                                                                                                                            
                  
1                 	neuter          	singular           	masculine       	nominative    	méwijos   	méwijoh₁   	méwijoes                                                                                                                                                                                                          
1                 	neuter          	singular           	masculine       	vocative      	méwije    	méwijoh₁   	méwijoes                                                                                                                                                                                                          
1                 	neuter          	singular           	masculine       	accusative    	méwijom   	méwijoh₁   	méwijoms                                                                                                                                                                                                          
1                 	neuter          	singular           	masculine       	genitive      	méwijosyo 	         	méwijoHom                                                                                                                                                                                                         
1                 	neuter          	singular           	masculine       	ablative      	méwijead  	         	méwijomos                                                                                                                                                                                                         
1                 	neuter          	singular           	masculine       	dative        	méwijoey  	         	méwijomos                                                                                                                                                                                                         
1                 	neuter          	singular           	masculine       	locative      	méwijoy   	         	méwijoysu                                                                                                                                                                                                         
1                 	neuter          	singular           	masculine       	instrumental  	méwijoh₁  	         	méwijōys                                                                                                                                                                                                          
                  
1                 	neuter          	singular           	feminine        	nominative    	méwijeh₂  	méwijeh₂h₁e	méwijeh₂es                                                                                                                                                                                                        
1                 	neuter          	singular           	feminine        	vocative      	méwijeh₂  	méwijeh₂h₁e	méwijeh₂es                                                                                                                                                                                                        
1                 	neuter          	singular           	feminine        	accusative    	méwijām   	méwijeh₂h₁e	méwijeh₂m̥s                                                                                                                                                                                                       
1                 	neuter          	singular           	feminine        	genitive      	méwijeh₂s 	         	méwijeh₂oHom                                                                                                                                                                                                      
1                 	neuter          	singular           	feminine        	ablative      	méwijeh₂s 	         	méwijeh₂mos                                                                                                                                                                                                       
1                 	neuter          	singular           	feminine        	dative        	méwijeh₂ey	         	méwijeh₂mos                                                                                                                                                                                                       
1                 	neuter          	singular           	feminine        	locative      	méwijeh₂  	         	méwijeh₂su                                                                                                                                                                                                        
1                 	neuter          	singular           	feminine        	instrumental  	méwijeh₂h₁	         	méwijeh₂bʰi                                                                                                                                                                                                       
                  
1                 	neuter          	singular           	neuter          	nominative    	méwijom   	méwijoyh₁	méwijeh₂                                                                                                                                                                                                          
1                 	neuter          	singular           	neuter          	vocative      	méwijom   	méwijoyh₁	méwijeh₂                                                                                                                                                                                                          
1                 	neuter          	singular           	neuter          	accusative    	méwijom   	méwijoyh₁	méwijeh₂                                                                                                                                                                                                          
1                 	neuter          	singular           	neuter          	genitive      	méwijosyo 	         	méwijoHom                                                                                                                                                                                                         
1                 	neuter          	singular           	neuter          	ablative      	méwijead  	         	méwijomos                                                                                                                                                                                                         
1                 	neuter          	singular           	neuter          	dative        	méwijoey  	         	méwijomos                                                                                                                                                                                                         
1                 	neuter          	singular           	neuter          	locative      	méwijoy   	         	méwijoysu                                                                                                                                                                                                         
1                 	neuter          	singular           	neuter          	instrumental  	méwijoh₁  	         	méwijōys                                                                                                                                                                                                          
                  
1                 	neuter          	plural             	masculine       	nominative    	ṇserós    	ṇseróh₁    	ṇseróes                                                                                                                                                                                                           
1                 	neuter          	plural             	masculine       	vocative      	ṇseré     	ṇseróh₁    	ṇseróes                                                                                                                                                                                                           
1                 	neuter          	plural             	masculine       	accusative    	ṇseróm    	ṇseróh₁    	ṇseróms                                                                                                                                                                                                           
1                 	neuter          	plural             	masculine       	genitive      	ṇserósyo  	         	ṇseróHom                                                                                                                                                                                                          
1                 	neuter          	plural             	masculine       	ablative      	ṇseréad   	         	ṇserómos                                                                                                                                                                                                          
1                 	neuter          	plural             	masculine       	dative        	ṇseróey   	         	ṇserómos                                                                                                                                                                                                          
1                 	neuter          	plural             	masculine       	locative      	ṇseróy    	         	ṇseróysu                                                                                                                                                                                                          
1                 	neuter          	plural             	masculine       	instrumental  	ṇseróh₁   	         	ṇserṓys                                                                                                                                                                                                           
                  
1                 	neuter          	plural             	feminine        	nominative    	ṇseréh₂   	ṇseréh₂h₁e 	ṇseréh₂es                                                                                                                                                                                                         
1                 	neuter          	plural             	feminine        	vocative      	ṇseréh₂   	ṇseréh₂h₁e 	ṇseréh₂es                                                                                                                                                                                                         
1                 	neuter          	plural             	feminine        	accusative    	ṇserā́m   	ṇseréh₂h₁e 	ṇseréh₂m̥s                                                                                                                                                                                                        
1                 	neuter          	plural             	feminine        	genitive      	ṇseréh₂s  	         	ṇseréh₂oHom                                                                                                                                                                                                       
