I	éǵh
you	túh₂
he, she, it	éy
we	wéy
you	yū
they	éyes
this	só, séh₂, tód
that	yós, yéh₂, yód
here	ḱi
there	h₂en
who	kʷis (pron.), kʷod (adj.)
what	kʷis
where	kʷesmi
when	
how	
not	n̥-, ne
all	
many	monogʰo-
some	kaylo-, solwo-
few	peh₂w-
other	h₂élyos, h₂el-nó-
one	(H)óynos, (H)óykos, (H)óywos, sḗm
two	dwóh₁; dwó
three	tréyes
four	kʷetwóres
five	pénkʷe
big	méǵh₂s
long	dl̥h₁gʰós
wide	stelh₃ós
thick	bʰenǵʰ, tégus
heavy	gʷréh₂us
small	mey-
short	mréǵʰus, (s)ker-
narrow	h₂enǵʰ-
thin	ténh₂us
woman	gʷḗn, h₁esor-
man (adult male)	h₂nḗr, wiHrós
man (human being)	mon-, ǵʰmṓ
child	
wife	pótnih₂
husband	wiHrós, pótis
mother	méh₂tēr
father	átta, ph₂tḗr
animal	dʰewsóm, ǵʰwer-
fish	dʰǵʰu-, peysḱ-
bird	h₂éwis
dog	ḱwṓ
louse	ḱ(o)nid-, lewH-
snake	h₂éngʷʰis, (s)neh₁tr-
worm	wr̥mis
tree	dóru (genitive dréws)
forest	
stick	ǵʰasto-
fruit	
seed	séh₁mn̥
leaf	lewbʰ-, bʰolh₃yom
root	wréh₂ds
bark (of a tree)	bʰérHǵos
flower	bʰleh₃-
grass	koyno-
rope	roypnós
skin	pel-, twékos
meat	mḗms, krewh₂-
blood	krewh₂-, h₁ésh₂r̥
bone	h₂óst, kost-
fat (noun)	smérus
egg	h₂ōwyóm
horn	ḱr̥nom, ḱerh₂(s), ḱerh₂sr̥, koru
tail	
feather	péth₂r̥
hair	pulh₂-
head	káput-, gʰebʰelo-
ear	h₂ṓws
eye	h₃ókʷs
nose	Hnéh₂s
mouth	h₃éh₁os
tooth	h₃dónts, ǵómbʰos
tongue (organ)	dn̥ǵʰwéh₂s
fingernail	h₃negʰ-
foot	pṓds
leg	kroksko
knee	ǵónu
hand	ǵʰésr̥, mar-
wing	péth₂r̥
belly	úderos
guts	eh₁ter-
neck	mon-
back	
breast	peg-, pstḗn
heart	ḱḗr (genitive ḱr̥dés)
liver	Hyékʷr̥
to drink	píph₃eti, h₁egʷʰ-
to eat	h₁ed-
to bite	denḱ-, h₁ed-
to suck	dʰeh₁(y)-
to spit	sp(y)ew-
to vomit	wemh₁-, h₁reug-
to blow	h₂weh₁-
to breathe	pnew-
to laugh	(s)mey-
to see	derḱ-, weyd-
to hear	ḱlew-
to know	ǵneh₃-, ǵnéh₃-sḱ-, weyd-
to think	memóne, teng-
to smell	h₃ed-
to fear	
to sleep	swep-, drem-
to live	gʷeyh₃-
to die	mer-, dʰew-
to kill	gʷʰen-
to fight	
to hunt	weyh₁-, sekʷh₃-
to hit	pleh₂k-
to cut	kr̥t-
to split	skéydt, skinédti
to stab	dʰeygʷ-, bʰod-
to scratch	gerbʰ-
to dig	dʰeygʷ-
to swim	(s)neh₂-
to fly	peth₂-, gʷel-
to walk	gʰredʰ-
to come	gʷémt, gʷm̥sḱéti, gʷeh₂-
to lie (as in a bed)	légʰyeti, ḱéytor
to sit	sédt, sísdeti
to stand	stéh₂t, stestóh₂e, stísteh₂ti
to turn (intransitive)	wértti
to fall	ḱh₂d-
to give	déh₃t, dédeh₃ti
to hold	segʰ-
to squeeze	
to rub	melh₂-
to wash	lewh₃-, neygʷ-
to wipe	
to pull	tragʰ-
to push	
to throw	swep-
to tie	
to sew	syuh₁-
to count	dol-, del-
to say	sekʷ-, wéwket
to sing	kan-
to play	
to float	plew-
to flow	plew-
to freeze	gel-
to swell	tewh₂-
sun	sóh₂wl̥
moon	mḗh₁n̥s, lówksneh₂
star	h₂stḗr
water	h₂ekʷeh₂, h₂ep-, wódr̥
rain	h₂ekmon
river	h₂ékʷeh₂
lake	h₂ep-
sea	móri
salt	séh₂ls
stone	h₂éḱmō
sand	sámh₂dʰos
dust	pers-
earth	dʰéǵʰōm
cloud	nébʰos
fog	snewdʰ-
sky	dyḗws
wind	ḱewero-, h₂wéh₁n̥ts
snow	snóygʷʰos
ice	yeǵ-
smoke	dʰuh₂mós
fire	h₁eh₂ter-, h₁n̥gʷnis, péh₂wr̥
ash	h₃és-no-, h₃és-i-
to burn	dʰegʷʰ-, swel-, h₁ews-
road	pónth₁s
mountain	men-, bʰerǵʰ-
red	h₁rewdʰós
green	ǵʰelh₃-, gʰreh₁-
yellow	ǵʰelh₃-
white	h₂elbʰós
black	swordós, h₂ems-, kr̥snós
night	nókʷts
day	h₂eǵh-, dei-n-
year	yeh₁-, wétos
warm	tep-, gʷʰer-
cold	gel-
full	pl̥h₁nós
new	néwos
old	sénos
good	bʰed-, h₁su-, h₁wésus
bad	h₂wap-, dus-
rotten	pu-
dirty	swerd-
straight	h₃reǵtós
round	
sharp (as a knife)	h₁edʰ-, h₂ḱrós
dull (as a knife)	dʰwel-
smooth	
wet	wed-
dry	ters-
correct	weh₁-
near	h₁opi, h₁epi, h₂énti
far	wi
right	deḱs-
left	leh₂ywós
at	h₁epi, opi, h₂éd, h₃ebʰi, h₃bʰi
in	h₁en, h₁(e)ntér
with	ḱóm, pe, me
and	-kʷe, de, nu, h₁é
if	
because	
name	h₁nómn̥
