	noun	I	éǵh₂(om)
🧍🧍	noun	you	túh₂
🧍🧍🧍‍♂️	noun	he, she, it	éy, is
🧑‍🤝‍🧑	noun	we	wéy
🧍🧍	noun	you	yū
	noun	they	éyes
←	noun	this	só, séh₂, tód
←	noun	that	yós, yéh₂, yód
🗺️←	noun	here	ḱi
🗺️←	noun	there	h₂en
🧍?	noun	who	kʷis (pron.), kʷod (adj.)
?	noun	what	kʷis
🗺️?	noun	where	kʷesmi
	adverb	not	n̥-, ne
	determiner	many	monogʰo-
	determiner	some	kaylo-, solwo-
	determiner	few	peh₂w-
	determiner	other	h₂élyos, h₂el-nó-
1	noun	one	(H)óynos, (H)óykos, (H)óywos, sḗm
2	noun	two	dwóh₁; dwó
3	noun	three	tréyes
4	noun	four	kʷetwóres
5	noun	five	pénkʷe
6	noun	six	swéḱs
7	noun	seven	septḿ̥
8	noun	eight	oḱtṓw
9	noun	nine	h₁néwn̥
10	noun	ten	déḱm̥
100	noun	hundred	ḱm̥tóm
1000	noun	thousand	tuHsont
🐘	adjective	big	méǵh₂s
🐍	adjective	long	dl̥h₁gʰós
👐	adjective	wide	stelh₃ós
👐	adjective	thick	bʰenǵʰ, tégus
🐘	adjective	heavy	gʷréh₂us
🐁	adjective	small	mey-
<sub>🦔</sub>	adjective	short	mréǵʰus, (s)ker-
🤏	adjective	narrow	h₂enǵʰ-
🤏	adjective	thin	ténh₂us
👩	noun	woman	gʷḗn, h₁esor-
👨	noun	man	h₂nḗr, wiHrós
🧍	noun	human	dʰéǵʰōm
👰‍♀️	noun	wife	pótnih₂
🤵	noun	husband	wiHrós, pótis
👩‍👦‍👦	noun	mother	méh₂tēr
👨‍👧‍👦	noun	father	ph₂tḗr
🐃	noun	animal	dʰewsóm, ǵʰwer-
🪱	noun	worm	wr̥mis
<sub>🐜</sub>	noun	louse	ḱ(o)nid-, lewH-
🐟	noun	fish	dʰǵʰu-, peysḱ-
🐍	noun	snake	h₂éngʷʰis, (s)neh₁tr-
🐦	noun	bird	h₂éwis
🌾	noun	grass	koyno-
🌳	noun	tree	dóru (genitive dréws)
	noun	marsh	sélos
🥢	noun	stick	ǵʰasto-
🍏	noun	fruit, crop, harvest	(s)h₁es-
🌰	noun	seed	séh₁mn̥
🍃	noun	leaf	lewbʰ-, bʰolh₃yom
🌳↙	noun	root	wréh₂ds
🐕	noun	bark	bʰérHǵos
🌻	noun	flower	bʰleh₃-
🪢	noun	rope	roypnós
	noun	skin	pel-, twékos
🍖	noun	meat	mḗms, krewh₂-
🩸	noun	blood	krewh₂-, h₁ésh₂r̥
🦴	noun	bone	h₂óst, kost-
🧈	noun	fat	smérus
🥚	noun	egg	h₂ōwyóm
🐏	noun	horn	ḱr̥nom, ḱerh₂(s), ḱerh₂sr̥, koru
🪶	noun	feather	péth₂r̥
🧑‍🦱	noun	hair	pulh₂-
🧔	noun	beard	bʰardʰéh₂
😶	noun	head	káput-, gʰebʰelo-
👂	noun	ear	h₂ṓws
👁️	noun	eye	h₃ókʷs
👃	noun	nose	Hnéh₂s
👄	noun	mouth	h₃éh₁os
🦷	noun	tooth	h₃dónts, ǵómbʰos
👅	noun	tongue	dn̥ǵʰwéh₂s
💋	noun	lip	leb-
😐↙	noun	cheek, jaw, chin	ǵénus
😐↖	noun	forehead	h₂énts
	noun	eyebrow	h₃bʰrúhs
💅	noun	fingernail	h₃negʰ-
🦶	noun	foot	pṓds
🦵	noun	leg	kroksko
🧎	noun	knee	ǵónu
🖐️	noun	hand	ǵʰésr̥, mar-
	noun	belly	úderos
🌭	noun	guts	eh₁ter-
🧑‍🦱←	noun	neck	mon-, gʷrihwéh₂
	noun	shoulder	h₂ṓms
🧍←	noun	chest, rib	pérḱus
	noun	navel	h₃nebʰ-
🤱	noun	breast	peg-, pstḗn
🍑	noun	buttocks, hip	ḱlównis
🐱	noun	vulva	písdeh₂
🍆	noun	penis	pes-
🥚🥚	noun	testicle	h₄órǵʰis
🫀	noun	heart	ḱḗr (genitive ḱr̥dés)
🧠	noun	brain, marrow	mosgʰós
	noun	liver	Hyékʷr̥
	noun	kidney	negʷʰrós
🫁	noun	lung	pléwmō
	noun	womb	gʷelbʰ-
	noun	wing	péth₂r̥
🍽️	verb	eat	h₁ed-
🥛	verb	drink	píph₃eti, h₁egʷʰ-
😮‍💨	verb	breathe	pnew-
😴	verb	sleep	swep-, drem-
💩	verb	defecate	kakka-
🚽	verb	urinate	h₃méyǵʰeti
🔞	verb	copulate	h₃yebʰ-
🍑💨	verb	fart	perd-
💩	noun	excrement	múhtrom
😓	verb	sweat	sweyd-
😾	verb	bite	denḱ-, h₁ed-
🍼	verb	suck	dʰeh₁(y)-
😪	verb	spit	sp(y)ew-
🤮	verb	vomit	wemh₁-, h₁reug-
💨	verb	blow	h₂weh₁-
😆	verb	laugh	(s)mey-
👀	verb	see	derḱ-, weyd-
👂	verb	hear	ḱlew-
👃	verb	smell	h₃ed-
👅	verb	taste	ǵéwstus, ǵews-, sep-
💡	verb	know	ǵneh₃-, ǵnéh₃-sḱ-, weyd-
💭	verb	think	memóne, teng-
😨	verb	fear	pr̥k-
🌹	verb	live	gʷeyh₃-
🪦	verb	die	mer-, dʰew-
🌹	adjective	alive, living	gʷih₃wós, gʷíh₃weti
🪦	adjective	dead, mortal	mr̥tós
😐🔫😐	verb	kill	gʷʰen-
🤼	verb	fight	keh₃-
🥆	verb	hunt	weyh₁-, sekʷh₃-
🔨	verb	hit	pleh₂k-
🔪	verb	cut	kr̥t-
	verb	split	skéydt, skinédti
🤺	verb	stab	dʰeygʷ-, bʰod-
😼	verb	scratch	gerbʰ-
	verb	dig	dʰeygʷ-
🏊	verb	swim	(s)neh₂-
🦅	verb	fly	peth₂-, gʷel-
🚶	verb	walk	gʰredʰ-
🧗	verb	climb	steygʰ-
🐇	verb	jump	prew-
←🚶	verb	go	h₁ey-, gʷem-, ǵʰeh₁-
👷	verb	do, make, build	kʷer-
🧑‍🔧	verb	work, make	wérǵom, h₃ep-
🏠←🚶	verb	come	gʷémt, gʷm̥sḱéti, gʷeh₂-
🛌	verb	lay	légʰyeti, ḱéytor
🪑	verb	sit	sédt, sísdeti
🧍	verb	stand	stéh₂t, stestóh₂e, stísteh₂ti
	verb	turn	wértti
