pronoun 	 я 	 me; i 	  	 i; me
interjection 	 не 	  	 no used to show disagreement or negation 	 
particle 	 не 	  	 negative in full not, no, -n't, without 	 
pronoun 	 что 	 what 	 what 	 who; that; what
conjunction 	 что 	 that 	 that 	 that
pronoun 	 ты 	 one; you 	 second-person singular, nominative case: you, thou 	 thou; one; you
preposition 	 в 	 into; at; on 	  	 into; to; on; in; inside; per; upon; at
conjunction 	 и 	 and 	 and 	 and; so
particle 	 и 	  	  	 
pronoun 	 он 	 he; it 	 third-person masculine singular pronoun: he, it 	 he; it
pronoun 	 мы 	 we 	 we 	 we
pronoun 	 вы 	 you 	 you plural or formal 	 y'all; you
preposition 	 на 	 into; over; at 	  	 to; into; toward; on; times; over; per; upon; by; against; astride; at; onto; for
particle 	 на 	  	 here! 	 
preposition 	 с 	 off; from; with 	  	 on; as of; from; with; since; off
pronoun 	 оно́ 	 it 	  	 it
conjunction 	 как 	 how 	 how 	 as; how
conjunction 	 да 	 and 	 and (сочинительный, соединительный союз 	 and
interjection 	 да 	 really 	 really 	 eh; huh; yes; really
particle 	 да 	 yes 	 let + verb 	 yes
pronoun 	 весь 	  	 all, the whole, the whole of 	 
preposition 	 у 	 at; by 	  	 at; apud; by; near
conjunction 	 но 	 but, yet 	 but, yet 	 only; yet; but; and
interjection 	 но 	 giddyup 	  	 giddyup
interjection 	 а 	 oh! 	 oh! 	 eh; oh; huh; aha; ah
conjunction 	 а 	 but; and 	 but, and introduces a new or different meaning 	 but; and
particle 	 а 	  	 colloquial particle used to seek confirmation: eh 	 
pronoun 	 а 	  	 he, she or it 	 
pronoun 	 тот 	 that one 	  	 that one
pronoun 	 она 	  	 she, it third-person feminine singular pronoun 	 
preposition 	 о 	 about 	  	 toward; about; regarding
interjection 	 о 	 oh 	 oh 	 why; ah; oh
particle 	 бы 	  	 A verbal particle used to render conditional and subjunctive patterns 	 
preposition 	 за 	 after; over; by 	  	 in; in favor of; over; beyond; by; behind; after; out of; for
pronoun 	 они́ 	 them; they 	  	 them; they
pronoun 	 мой 	 mine 	 my, mine 	 mine
conjunction 	 же 	  	 and, but 	 
particle 	 же 	  	 Emphasises identity: very, same 	 
pronoun 	 она́ 	 her; she; it 	  	 her; she; it
interjection 	 есть 	 yessir 	 yes!, hooray! 	 yessir; aye; roger
preposition 	 из 	 from; out; in 	  	 out; in; from; of; out of
interjection 	 ну 	 well 	 well 	 meh; well
preposition 	 к 	 by; for; to 	  	 to; toward; by; for
preposition 	 по 	 through; down; about 	  	 in; via; along; per; about; through; by; against; upon; as to; down
conjunction 	 то 	  	 then 	 
preposition 	 от 	 off; from 	  	 as of; off; against; from
interjection 	 вот 	 behold 	 here, look 	 behold; lo
particle 	 вот 	  	 here , this , there , that  directing attention towards something 	 
particle 	 уже 	  	  	 
conjunction 	 или 	  	 or 	 
pronoun 	 твой 	 thine 	 your, yours, thy, thine ' 	 thine; yours
conjunction 	 где 	 where 	 where 	 where
pronoun 	 ее 	  	  	 
preposition 	 до 	 until; before; by 	  	 before; until; by; prior to
preposition 	 со 	  	  	 
conjunction 	 раз 	  	 if, since; as long as 	 
preposition 	 надо 	  	  	 
pronoun 	 ваш 	 yours 	 your, yours 2nd-person singular formal or 2nd-person plural 	 yours
