राजा	noun	राजन्
पिता	noun	पितृ
वे	noun	वि
आत्मा	noun	आत्मन्
युवा	noun	युवन्
अधिकारी	noun	
भ्राता	noun	भ्रातृ
जन्म	noun	जन्मन्
अस्मि	verb	अस्ति
वेदी	noun	वेदि
कर्म	noun	कर्मन्
यातु	verb	याति
नि	noun	नी
नि	noun	निषाध
कर्ता	noun	कर्तृ
महान्	adjective	महत्
परा	adjective	पर
अपरा	adjective	अपर
महात्मा	adjective	महात्मन्
तत्	pronoun	तद्
धनी	noun	धनिन्
धनी	adjective	धनिन्
रोगी	noun	रोगिन्
गते	noun	गति
तिथे	noun	तिथि
वाचा	noun	वाच्
उच्चैः	adjective	उच्च
मांसम्	noun	
सः	pronoun	स
ते	pronoun	युष्मद्
ते	pronoun	तद्
तानि	pronoun	तद्
उच्चे	adjective	उच्च
उच्चः	adjective	उच्च
दुःखी	adjective	
महाभारतः	noun	महाभारत
योद्धा	noun	योद्धृ
दानी	noun	
दानी	adjective	
दाता	noun	दातृ
मा	pronoun	अहम्
आस	verb	अस्
ज्ञाता	verb	ज्ञा
संघ	noun	सङ्घ
अर्थात्	noun	अर्थ
त्व	pronoun	त्वम्
असिना	noun	असि
यात्री	noun	
प्राणी	noun	
सर्गः	noun	सर्ग
मे	pronoun	अस्मद्
सखा	noun	सखि
उत्तराधिकारी	noun	
स्वार्थी	adjective	
प्रत्याशी	noun	
सन्ति	verb	अस्ति
संन्यासी	noun	
गच्छतु	verb	गच्छति
करोतु	verb	करोति
शिवाय	noun	शिव
उरणे	noun	उरण
गच्छन्ति	verb	गच्छति
गच्छसि	verb	गच्छति
गच्छथ	verb	गच्छति
गच्छामि	verb	गच्छति
गच्छन्तु	verb	गच्छति
गच्छ	verb	गच्छति
गच्छाम	verb	गच्छति
भवतु	verb	भवति
देवेन	noun	देव
मया	pronoun	अहम्
मयि	pronoun	अस्मद्
एते	pronoun	एतद्
त्वया	pronoun	युष्मद्
मनसा	noun	मनस्
भवन्ति	verb	भवति
भवसि	verb	भवति
भवथ	verb	भवति
जग्म	verb	गम्
ददातु	verb	ददाति
सेने	verb	सनति
सेने	verb	सनोति
ब्रह्मा	noun	
शत्रू	noun	
चरणे	noun	चरण
कृष्णा	adjective	कृष्ण
क्रेता	noun	क्रेतृ
मन्त्री	noun	मन्त्रिन्
पराक्रमी	adjective	पराक्रमिन्
យេ	noun	យទ៑
केले	noun	
दायी	noun	दायिन्
साक्षी	noun	साक्षिन्
छत्र	noun	छत्त्र
अभियन्ता	noun	अभियन्तृ
संयमिनी	adjective	
ऋणी	adjective	
विद्वान्	noun	
विद्वान्	adjective	
सादस्य	noun	साद
कदम्	noun	कद
