gratis 	 adjective 	 charge 	 free, without charge
gratis 	 adjective 	 free 	 free, without charge
gratis 	 adverb 	 charge 	 free, without charge
gratis 	 adverb 	 free 	 free, without charge
pie 	 noun 	 foot 	 foot of a person
pie 	 noun 	 foot 	 foot
pie 	 noun 	 pieEnglish 	 pie
a 	 noun 	 bishop 	 bishop
fa 	 interjection 	 ew 	 ew, phew
fa 	 interjection 	 phew 	 ew, phew
abada 	 noun 	 rhinoceros 	 rhinoceros
abdominal 	 noun 	 sit-up 	 sit-up
abdominales 	 noun 	 exercise 	 series of any abdominal exercises
absconder 	 verb 	 hide 	 to hide
quiz 	 noun 	 quiz show 	 quiz show
raptor 	 noun 	 kidnapper 	 kidnapper; abductor
raptor 	 noun 	 abductor 	 kidnapper; abductor
lente 	 noun 	 lens 	 lens
lente 	 noun 	 glasses 	 glasses
y 	 conjunction 	 and 	 and
y 	 conjunction 	 and 	 and
y 	 conjunction 	 and 	 plus, and
y 	 conjunction 	 plus 	 plus, and
y 	 conjunction 	 well 	 well
y 	 conjunction 	 what about 	 what about, how about, where is/are the
y 	 conjunction 	 how about 	 what about, how about, where is/are the
absolver 	 verb 	 absolve 	 to absolve
absolver 	 verb 	 acquit 	 to acquit
absorber 	 verb 	 absorb 	 to absorb
absorber 	 verb 	 use up 	 to use up
accidental 	 adjective 	 nonessential 	 nonessential
plural 	 adjective 	 multiple 	 plural, multiple
plural 	 adjective 	 English 	 plural, multiple
plural 	 noun 	 English 	 plural
avatar 	 noun 	 ups and downs 	 vicissitudes, ups and downs plural
avatar 	 noun 	 vicissitudes 	 vicissitudes, ups and downs plural
pez 	 noun 	 tar 	 pitch, tar
pez 	 noun 	 pitch 	 pitch, tar
pez 	 noun 	 fish 	 fish
pez 	 noun 	 idiot 	 idiot, dimwit
pez 	 noun 	 dimwit 	 idiot, dimwit
libre 	 adjective 	 free 	 free
libre 	 adjective 	 free 	 free
libre 	 adjective 	 free 	 free
libre 	 adjective 	 free 	 free
libre 	 adjective 	 free 	 free
color 	 noun 	 hue 	 color, colour, hue
color 	 noun 	 rouge 	 rouge
color 	 noun 	 pretext 	 pretext, motive, reason
color 	 noun 	 reason 	 pretext, motive, reason
color 	 noun 	 motive 	 pretext, motive, reason
color 	 noun 	 character 	 character; special quality
color 	 noun 	 special 	 character; special quality
color 	 noun 	 side 	 side, party, faction
color 	 noun 	 faction 	 side, party, faction
color 	 noun 	 party 	 side, party, faction
color 	 noun 	 race 	 race, ethnicity
color 	 noun 	 ethnicity 	 race, ethnicity
color 	 noun 	 complexion 	 complexion
color 	 noun 	 flush 	 flush
te 	 pronoun 	 yourself 	 yourself
can 	 noun 	 dog 	 dog, hound
can 	 noun 	 hound 	 dog, hound
o 	 conjunction 	 or 	 or
o 	 conjunction 	 either 	 either … or
o 	 conjunction 	 or 	 either … or
bit 	 noun 	 English 	 bit
man 	 noun 	 dude 	 man, guy, dude
man 	 noun 	 English 	 man, guy, dude
man 	 noun 	 guy 	 man, guy, dude
be 	 noun 	 baa 	 baa
rape 	 noun 	 monkfish 	 monkfish
rape 	 noun 	 crop 	 shaving, hair crop
rape 	 noun 	 shaving 	 shaving, hair crop
rape 	 noun 	 hair 	 shaving, hair crop
os 	 pronoun 	 you 	 you, to you, for you; dative and accusative of vosotros
os 	 pronoun 	 vosotros 	 you, to you, for you; dative and accusative of vosotros
perro 	 noun 	 dog 	 dog
perro 	 noun 	 asshole 	 asshole
perro 	 adjective 	 doggish 	 doggy, doggish
perro 	 adjective 	 doggy 	 doggy, doggish
perro 	 adjective 	 awful 	 awful
perro 	 adjective 	 mean 	 wicked, mean
perro 	 adjective 	 wicked 	 wicked, mean
peso 	 noun 	 weight 	 weight
peso 	 noun 	 weight 	 weight
peso 	 noun 	 weight class 	 weight class
peso 	 noun 	 weight 	 weight
peso 	 noun 	 brunt 	 weight, burden, load, brunt
peso 	 noun 	 burden 	 weight, burden, load, brunt
peso 	 noun 	 load 	 weight, burden, load, brunt
peso 	 noun 	 weight 	 weight, burden, load, brunt
centavo 	 noun 	 cent 	 cent
estar 	 verb 	 be 	 to be . Compare ser, quedar
estar 	 verb 	 be 	 to be . Compare ser
estar 	 verb 	 be 	 to be
estar 	 verb 	 be 	 to be
estar 	 verb 	 be 	 To be, feel
estar 	 verb 	 feel 	 To be, feel
gnosis 	 noun 	 English 	 gnosis
reality 	 noun 	 reality show 	 reality show
andante 	 adjective 	 errant 	 walking, who roams, who wanders, errant
andante 	 adjective 	 walking 	 walking, who roams, who wanders, errant
stock 	 noun 	 inventory 	 stock, inventory
guerra 	 noun 	 warfare 	 war, warfare
guerra 	 noun 	 war 	 war, warfare
dls 	 noun 	 dollar 	 |dollars
maquiladora 	 noun 	 plant 	 assembly plant
maquiladora 	 noun 	 assembly 	 assembly plant
derecho 	 adjective 	 right 	 right , right-hand
derecho 	 adjective 	 right-hand 	 right , right-hand
derecho 	 adjective 	 upright 	 straight, upright
derecho 	 adjective 	 straight 	 straight, upright
derecho 	 adjective 	 correct 	 correct, appropriate, right
derecho 	 adjective 	 appropriate 	 correct, appropriate, right
derecho 	 noun 	 right 	 right
derecho 	 noun 	 law 	 law
derecho 	 noun 	 road 	 path, road
derecho 	 noun 	 path 	 path, road
derecho 	 noun 	 right 	 right side
derecho 	 noun 	 duties 	 duties, taxes, fees, charges
derecho 	 noun 	 tax 	 duties, taxes, fees, charges
derecho 	 noun 	 charge 	 duties, taxes, fees, charges
derecho 	 noun 	 fee 	 duties, taxes, fees, charges
gobierno 	 noun 	 government 	 government
mundial 	 adjective 	 global 	 related to all the parts of the world; global
mundial 	 noun 	 w:FIFA World Cup 	 FIFA World Cup
menos 	 adverb 	 less 	 less
menos 	 adverb 	 least 	 often with definite article least
menos 	 adjective 	 less 	 less, fewer
menos 	 adjective 	 fewer 	 less, fewer
menos 	 adjective 	 fewest 	 least, fewest
menos 	 adjective 	 least 	 least, fewest
menos 	 noun 	 minus sign 	 minus sign
monetario 	 adjective 	 currency 	 Related to the currency; monetary
monetario 	 adjective 	 monetary 	 Related to the currency; monetary
digital 	 adjective 	 English 	 digital; having to do with the fingers or toes
digital 	 adjective 	 values 	 digital; dealing with discrete values rather than a continuous spectrum of values
digital 	 adjective 	 English 	 digital; dealing with discrete values rather than a continuous spectrum of values
digital 	 adjective 	 discrete 	 digital; dealing with discrete values rather than a continuous spectrum of values
digital 	 adjective 	 numerical 	 digital; dealing with the display of numerical values
digital 	 adjective 	 English 	 digital; dealing with the display of numerical values
digital 	 noun 	 foxglove 	 foxglove
radio 	 noun 	 radius 	 radius
radio 	 noun 	 radius 	 radius
radio 	 noun 	 radium 	 radium
mi 	 adjective 	 my 	 mío, my
mi 	 noun 	 mu 	 mu; the Greek letter
ami 	 noun 	 friend 	 friend; bud
ami 	 noun 	 bud 	 friend; bud
país 	 noun 	 country 	 country
país 	 noun 	 country 	 country, land
país 	 noun 	 land 	 country, land
paceño 	 adjective 	 La Paz 	 Of or relating to the city of La Paz, in several countries
paceño 	 noun 	 La Paz 	 Someone from La Paz
amigo 	 noun 	 friend 	 friend
amigo 	 noun 	 penis 	 penis
amar 	 verb 	 love 	 to love, have great affection for, care about
amar 	 verb 	 affection 	 to love, have great affection for, care about
amar 	 verb 	 care 	 to love, have great affection for, care about
paraguas 	 noun 	 umbrella 	 umbrella, brolly UK
paraguas 	 noun 	 brolly 	 umbrella, brolly UK
pluvia 	 noun 	 rain 	 rain
pluvia 	 noun 	 shower 	 shower
poison 	 noun 	 poison 	 poison
bancario 	 adjective 	 bank 	 related to banks
bancario 	 noun 	 banker 	 banker
touring 	 noun 	 touring car 	 touring car
radar 	 noun 	 English 	 radar
president 	 noun 	 Catalonia 	 president of Catalonia
presidente 	 noun 	 president 	 president
generar 	 verb 	 create 	 to generate, to create, to produce, to cause
generar 	 verb 	 generate 	 to generate, to create, to produce, to cause
generar 	 verb 	 produce 	 to generate, to create, to produce, to cause
generar 	 verb 	 cause 	 to generate, to create, to produce, to cause
generar 	 verb 	 engender 	 to engender, to breed
generar 	 verb 	 breed 	 to engender, to breed
crear 	 verb 	 create 	 to create
after 	 noun 	 after-party 	 after-party
after 	 noun 	 bar 	 late-night bar
after 	 noun 	 late-night 	 late-night bar
dar 	 verb 	 give 	 to give, to give out
dar 	 verb 	 give out 	 to give, to give out
dar 	 verb 	 hand over 	 to hand over
dar 	 verb 	 hit 	 to hit
dar 	 verb 	 emit 	 to emit
dar 	 verb 	 produce 	 to produce
dar 	 verb 	 perform 	 to perform
dar 	 verb 	 consider 	 to consider
dar 	 verb 	 find 	 con to encounter; to find with effort
dar 	 verb 	 encounter 	 con to encounter; to find with effort
dar 	 verb 	 upon 	 to hit upon
dar 	 verb 	 hit 	 to hit upon
dar 	 verb 	 activate 	 intr=1 to press, activate
dar 	 verb 	 press 	 intr=1 to press, activate
dar 	 verb 	 mess up 	 to ruin; mess up
dar 	 verb 	 ruin 	 to ruin; mess up
dar 	 verb 	 occur 	 to occur
dar 	 verb 	 grow 	 to grow naturally
dar 	 verb 	 hit 	 to hit
dar 	 verb 	 assume 	 to assume
dar 	 verb 	 as though 	 to pretend to be, to present oneself as though one were
dar 	 verb 	 pretend 	 to pretend to be, to present oneself as though one were
dar 	 verb 	 present 	 to pretend to be, to present oneself as though one were
dar 	 verb 	 surrender 	 to surrender
paralipsis 	 noun 	 paraleipsis 	 paraleipsis
tigre 	 noun 	 tiger 	 tiger
tigre 	 noun 	 angry 	 angry or fierce person
tigre 	 noun 	 fierce 	 angry or fierce person
tigre 	 noun 	 expert 	 an energic or expert male lover
tigre 	 noun 	 energic 	 an energic or expert male lover
grey 	 noun 	 herd 	 flock, herd
grey 	 noun 	 flock 	 flock, herd
grey 	 noun 	 flock 	 flock
red 	 noun 	 mesh 	 web, mesh
red 	 noun 	 web 	 web, mesh
red 	 noun 	 net 	 net
red 	 noun 	 spiderweb 	 spiderweb
red 	 noun 	 snare 	 trap, snare
red 	 noun 	 trap 	 trap, snare
red 	 noun 	 net 	 net, network
red 	 noun 	 network 	 net, network
red 	 noun 	 goal 	 net, goal
red 	 noun 	 net 	 net, goal
red 	 noun 	 grid 	 grid
red 	 noun 	 Internet 	 Web, Internet
red 	 noun 	 Web 	 Web, Internet
red 	 noun 	 social networks 	 social networks
diccionario 	 noun 	 wordbook 	 dictionary, wordbook
diccionario 	 noun 	 dictionary 	 dictionary, wordbook
musical 	 adjective 	 English 	 musical
musical 	 noun 	 English 	 musical
pi 	 noun 	 English 	 pi; the Greek letter
sol 	 noun 	 sun 	 sun
sol 	 noun 	 sunlight 	 sunlight
sol 	 noun 	 side 	 sunny side of a place
sol 	 noun 	 sunny 	 sunny side of a place
sol 	 noun 	 daylight 	 daylight
humor 	 noun 	 mood 	 mood
alpaca 	 noun 	 English 	 alpaca
lama 	 noun 	 slime 	 slime, mud
lama 	 noun 	 mud 	 slime, mud
lama 	 noun 	 sand 	 fine sand
lama 	 noun 	 moss 	 moss
lama 	 noun 	 lama 	 lama
llama 	 noun 	 flame 	 flame
guanaco 	 noun 	 riot 	 water cannon used for riot control
guanaco 	 adjective 	 Salvadoran 	 Salvadoran, pertaining to El Salvador
guanaco 	 adjective 	 El Salvador 	 Salvadoran, pertaining to El Salvador
abandonar 	 verb 	 abandon 	 to abandon, to leave
abandonar 	 verb 	 leave 	 to abandon, to leave
abandonar 	 verb 	 neglect 	 to neglect
abandono 	 noun 	 abandonment 	 abandonment
ate 	 noun 	 quince 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
