🧘	verb	ser	14812665	to be [inherently]
←🚶🏠	preposition	de	12218247	of; from
>	preposition	que	12131641	than
🧍?	pronoun	que	12131641	who; that
🧍🧍🧍‍♀️	pronoun	ella	9603814	she
🏠←🚶	preposition	a	8038631	to
🧍🧍🧍‍♂️	pronoun	él	7091742	he
∧	conjunction	y	6044670	and
→🕳️	preposition	en	5770082	in; on
🧘	verb	estar	5327785	to be [presently]
🧍	pronoun	yo	4935816	I
💡	verb	saber	4728733	to know
←🚶	verb	ir	4642160	to go
🧘	verb	haber	4010692	to have; to be; to exist
→🕳️	preposition	por	3748676	through; by; for
?	pronoun	qué	3490218	what
🧍🧍	pronoun	tú	3320955	you
🧍🧍👫	pronoun	ellos	3129983	they
🧍<sub>💎</sub>	verb	tener	2652512	to have; to own
	pronoun	se	2578296	self
🧍🧍	preposition	con	2558479	with
	preposition	para	2388336	by; for; to
🏋️	verb	poder	2113357	to be able to; can
→	conjunction	si	1993102	if
∧	conjunction	pero	1986438	but
👍	particle	sí	1947538	yes
🤑	verb	querer	1942467	to want
🧑‍🔧	verb	hacer	1836993	to do
🧍🧍👫	pronoun	ellas	1736610	they [the women]
👍	adjective	bien	1722794	ok; good; well
🍽️	verb	comer	1628213	to eat
👀	verb	ver	1461533	to see
🗺️←	adverb	aquí	1423584	here
::	preposition	como	1383708	such as; like
📝?	conjunction	como	1383708	how; like
🧍🧍🐍	pronoun	ello	1290439	it
>	conjunction	más	1262973	more; plus
←	determiner	este	1234577	this
🧍🧍	pronoun	usted	1214678	you [respectfully]
∀	pronoun	todo	1090900	everything
🥵	adjective	bueno	1055843	good
🧑‍🤝‍🧑	pronoun	nosotros	1031360	we
💸	verb	creer	1010097	to believe
🚸	verb	pasar	968982	to pass, to hand, to slip
	conjunction	ya	930618	already
📝←	adverb	así	917855	so
🤔	adverb	muy	914390	very
🕐←	conjunction	ahora	913738	now; today
🗣️	verb	decir	910188	to speak; to read; to say
∃	pronoun	algo	879387	something; anything
⌛	noun	vez	814527	[that one] time
🕐?	conjunction	cuando	789081	when
¬∃	pronoun	nada	728452	nothing
🤗	verb	sentir	726279	to feel
📝?	adverb	cómo	718768	how
∨	conjunction	o	718066	or
🏠←🚶	verb	venir	708649	to come
	verb	crear	694561	to create
🪄🤵	noun	gracia	672146	grace; charm
🎁	verb	dar	665762	to give
⌛	noun	era	649417	era, age
	adverb	sólo	645307	only; just
🤞	verb	esperar	641195	to hope
🪑	verb	sentar	602240	to sit
🔩	noun	cosa	583660	thing
×1	adjective	solo	578650	single; alone
∵	conjunction	porque	573387	because
🌅🏙️🌇🌃	noun	día	561061	day
	pronoun	otro	557943	other
	pronoun	mucho	551429	a lot
🗣️	verb	hablar	521254	to speak; to talk; to call
👨	noun	hombre	521233	man
👀	verb	mirar	518740	to look at
🏠	noun	casa	514176	house
	verb	deber	499931	to owe; should
🐁	adjective	chico	494557	small
🧍?	pronoun	quién	494311	who
T	noun	verdad	492329	truth
⌛	noun	tiempo	489708	time
	determiner	tan	486423	such, such a
	adverb	solo	479808	alone; only
🙇	verb	gustar	474999	to be pleasing to
👨‍💼	noun	señor	474514	mister, sir, lord
2	numeral	dos	471218	two
¬∃🕐	adverb	nunca	469608	never
🌱🌿🍂☃️	noun	año	457382	year
🗺️?	adverb	dónde	452438	where
	noun	favor	447055	favor
🤗	verb	parecer	429075	to seem, to see fit
⌚→	adverb	también	423551	also; too; then
	preposition	hace	419857	it's been
🧓	noun	dios	417834	god
	verb	necesitar	417823	to need
🌹	noun	vida	414419	life
💸	verb	salir	408445	to rise; to sell; to leave
	preposition	sobre	407448	on; about; concerning
🥛	verb	tomar	402871	to take
	preposition	sin	398566	without
💭	verb	pensar	389016	to think
🏠←🚶	verb	entrar	388830	to enter
∃🧍	pronoun	alguien	379064	somebody
🗺️←	adverb	ahí	373264	there
🔉	adjective	poco	372840	quiet; little
🧑‍🔧	verb	trabajar	372359	to work
👨‍👧‍👦	noun	padre	366380	father
∀🕐	adverb	siempre	359032	always
	preposition	hasta	358369	until
🧑‍🤝‍🧑	noun	amigo	356180	friend
🤔	verb	dejar	352001	to set; to forget; to leave
👦	noun	chico	345632	lad; kid; boy
👂	verb	oír	342827	to hear
	preposition	antes	341676	until
🆕	adjective	nuevo	341514	new
	conjunction	ni	336697	neither; nor
ι	noun	poco	336411	iota
🐁	adverb	poco	336411	little
🌃	noun	noche	334738	night
1	numeral	uno	333623	one
🔎	verb	encontrar	325355	to meet
🚗	verb	volver	316914	to return; to drive; to become
🌹	noun	trabajo	307970	work, job
🧑‍🤝‍🧑	noun	gente	300838	people
←🚶🚶	verb	partir	299947	to divide, split
🎯	noun	mira	296953	sight
💁‍♂️	verb	llevar	290566	to bear; to carry; to lead
🏋️	verb	tratar	284267	to try
😐🔫😐	verb	matar	283880	to kill
	verb	quedar	281932	to stay; to remain
🌹	verb	vivir	278832	to live; to be alive
⏭️	adverb	después	275660	later; next; after
🗣️	verb	llamar	275174	to call
🇪🇸	noun	estado	269327	state
📥	verb	llegar	269089	to get
🆘	verb	ayudar	268700	to help
	verb	podar	267646	to prune
🏙️	adjective	claro	265042	light, bright
🏁	verb	acabar	264829	to have just
←	determiner	ese	264614	that
🗡️	noun	momento	264607	moment, instant
❓	verb	preguntar	264298	to ask
	adverb	fuera	263924	outside
📝	noun	problema	263352	problem
🕰️	noun	hora	260395	hour
←🚶🏠	preposition	desde	257268	from; since
🐈	noun	tipo	256522	fellow; type; cat
🌍	noun	mundo	255454	world
🛌	verb	poner	253221	to lay; to stick; to stand
📍	noun	lugar	253110	place
💰	verb	valer	252437	to value
🧍🧍	pronoun	ustedes	249063	you all [respectfully]
👂	verb	escuchar	248630	to listen
	noun	claro	248501	sunny spell
	adverb	claro	248501	of course
👩‍👦‍👦	noun	madre	243957	mother
📅→	adverb	mañana	240468	tomorrow
📅→	noun	mañana	240468	the morning
	adjective	primero	240167	first, first up
🗺️?	preposition	donde	239143	where
